"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-303","ABARTH","fa-1965","500","mo-5629","Nuova 500 (07/2012 - 01/2015)","07/2012","01/2015","41417","ABARTH 500","ABARTH 500 Nuova 500 1.4 TB 16V 135 cv","Essence"
"ma-303","ABARTH","fa-1965","500","mo-5629","Nuova 500 (07/2012 - 01/2015)","07/2012","01/2015","41416","ABARTH 500","ABARTH 500 Nuova 500 1.4 TB 16V Dualogic 140 cv Caixa Automática","Essence"
"ma-303","ABARTH","fa-1965","500","mo-5629","Nuova 500 (07/2012 - 01/2015)","07/2012","01/2015","58619","ABARTH 500","ABARTH 500 Nuova 500 1.4 TB 16V 140 cv","Essence"
"ma-303","ABARTH","fa-1965","500","mo-5629","Nuova 500 (07/2012 - 01/2015)","07/2012","01/2015","41419","ABARTH 500","ABARTH 500 Nuova 500 1.4 TB 16V 180 cv","Essence"
"ma-303","ABARTH","fa-1965","500","mo-5629","Nuova 500 (07/2012 - 01/2015)","07/2012","01/2015","41418","ABARTH 500","ABARTH 500 Nuova 500 1.4 TB 16V 160 cv","Essence"
"ma-303","ABARTH","fa-1965","500","mo-5629","Nuova 500 (07/2012 - 01/2015)","07/2012","01/2015","59244","ABARTH 500","ABARTH 500 Nuova 500 1.4 TB 16V Dualogic 160 cv Caixa Automática","Essence"
"ma-303","ABARTH","fa-1965","500","mo-6510","MCA (01/2015 - 01/2023)","01/2015","01/2023","57491","ABARTH 500","ABARTH 500 MCA 1.4 TB 16V 160 cv","Essence"
"ma-303","ABARTH","fa-1965","500","mo-6510","MCA (01/2015 - 01/2023)","01/2015","01/2023","55588","ABARTH 500","ABARTH 500 MCA 1.4 TB 16V Dualogic 145 cv Caixa Automática","Essence"
"ma-303","ABARTH","fa-1965","500","mo-6510","MCA (01/2015 - 01/2023)","01/2015","01/2023","57634","ABARTH 500","ABARTH 500 MCA 1.4 TB 16V 163 cv","Essence"
"ma-303","ABARTH","fa-1965","500","mo-6510","MCA (01/2015 - 01/2023)","01/2015","01/2023","55589","ABARTH 500","ABARTH 500 MCA 1.4 TB 16V Dualogic 165 cv Caixa Automática","Essence"
"ma-303","ABARTH","fa-1965","500","mo-6510","MCA (01/2015 - 01/2023)","01/2015","01/2023","57974","ABARTH 500","ABARTH 500 MCA 1.4 TB 16V 135 cv","Essence"
"ma-303","ABARTH","fa-1965","500","mo-6510","MCA (01/2015 - 01/2023)","01/2015","01/2023","56954","ABARTH 500","ABARTH 500 MCA Biposto 1.4 TB 16V Dualogic 190 cv Caixa Automática","Essence"
"ma-303","ABARTH","fa-1965","500","mo-6510","MCA (01/2015 - 01/2023)","01/2015","01/2023","57492","ABARTH 500","ABARTH 500 MCA 1.4 TB 16V Dualogic 180 cv Caixa Automática","Essence"
"ma-303","ABARTH","fa-1965","500","mo-6510","MCA (01/2015 - 01/2023)","01/2015","01/2023","55590","ABARTH 500","ABARTH 500 MCA 1.4 TB 16V 145 cv","Essence"
"ma-303","ABARTH","fa-1965","500","mo-6510","MCA (01/2015 - 01/2023)","01/2015","01/2023","57490","ABARTH 500","ABARTH 500 MCA 1.4 TB 16V Dualogic 160 cv Caixa Automática","Essence"
