brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,16,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.9 JTD 16V 136cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,138,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 2.0 i 16V Twin Spark 150cv,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,546,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.9 JTDM 16V 115cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,27632,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.9 JTD 170 cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,76,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.9 JTDm 16V 150cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,75,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.6 i 16V Twin Spark 120cv,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,136,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.9 JTD 100cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,137,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.9 16V JTDM 140cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,18,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 2.0 i 16V Twin Spark 150cv Selespeed Transmisión automática,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,15,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.9 JTD 126cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,544,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.6 i 16V Twin Spark 120cv Selespeed Transmisión automática,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,17,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.9 JTDM 120cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,19,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 3.2 i V6 GTA 250cv Selespeed Transmisión automática,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,547,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 3.2 i V6 GTA 250cv,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,14,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.6 i 16V Twin Spark 105cv,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-53,Fase 2 (10/2004 - 01/2010),10/2004,01/2010,545,ALFA ROMEO 147,ALFA ROMEO 147 Fase 2 1.9 JTD 115cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,71,ALFA ROMEO 147,ALFA ROMEO 147 1.9 JTD 100cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,10,ALFA ROMEO 147,ALFA ROMEO 147 1.6 i 16V Twin Spark 105cv,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,72,ALFA ROMEO 147,ALFA ROMEO 147 1.9 JTD 126cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,11,ALFA ROMEO 147,ALFA ROMEO 147 1.9 JTD 16V 136cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,74,ALFA ROMEO 147,ALFA ROMEO 147 3.2 i V6 GTA 250cv,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,13,ALFA ROMEO 147,ALFA ROMEO 147 3.2 i V6 GTA 250cv Selespeed Transmisión automática,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,12,ALFA ROMEO 147,ALFA ROMEO 147 2.0 i 16V Twin Spark 150cv Selespeed Transmisión automática,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,73,ALFA ROMEO 147,ALFA ROMEO 147 2.0 i 16V Twin Spark 150cv,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,543,ALFA ROMEO 147,ALFA ROMEO 147 1.9 JTD 115cv,Diesel
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,135,ALFA ROMEO 147,ALFA ROMEO 147 1.6 i 16V Twin Spark 120cv,Gasolina
ma-12,ALFA ROMEO,fa-4,147,mo-52, (10/2000 - 09/2004),10/2000,09/2004,61462,ALFA ROMEO 147,ALFA ROMEO 147 1.9 JTDM 16V 140 cv,Diesel
