brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-272,ALPINA,fa-1291,B3,mo-3000,(E30) (09/1987 - 06/1992),09/1987,06/1992,27137,ALPINA B3,ALPINA B3 (E30) 2.7 traction intégrale 204 cv,Essence
ma-272,ALPINA,fa-1291,B3,mo-3000,(E30) (09/1987 - 06/1992),09/1987,06/1992,27568,ALPINA B3,ALPINA B3 (E30) 2.7 204 cv,Essence
ma-272,ALPINA,fa-1291,B3,mo-3007,(E46) (05/1999 - Hoje),05/1999,,27334,ALPINA B3,ALPINA B3 (E46) 3.4 S 305 cv,Essence
ma-272,ALPINA,fa-1291,B3,mo-3007,(E46) (05/1999 - Hoje),05/1999,,27227,ALPINA B3,ALPINA B3 (E46) 3.3 traction intégrale 280 cv,Essence
ma-272,ALPINA,fa-1291,B3,mo-3007,(E46) (05/1999 - Hoje),05/1999,,27429,ALPINA B3,ALPINA B3 (E46) 3.3 280 cv,Essence
ma-272,ALPINA,fa-1291,B3,mo-7685,Touring (G21) (09/2019 - Hoje),09/2019,,68268,ALPINA B3,ALPINA B3 Touring (G21) BITURBO Traction intégrale 462 cv Caixa Automática,Essence
ma-272,ALPINA,fa-1291,B3,mo-3008,Coupé (E46) (09/1999 - Hoje),09/1999,,27435,ALPINA B3,ALPINA B3 Coupé (E46) 3.3 280 cv,Essence
ma-272,ALPINA,fa-1291,B3,mo-3008,Coupé (E46) (09/1999 - Hoje),09/1999,,27389,ALPINA B3,ALPINA B3 Coupé (E46) 3.4 S 305 cv,Essence
ma-272,ALPINA,fa-1291,B3,mo-7678,Coupé (E92) (09/2007 - 02/2014),09/2007,02/2014,68251,ALPINA B3,ALPINA B3 Coupé (E92) S Bi-Turbo 400 cv Caixa Automática,Essence
ma-272,ALPINA,fa-1291,B3,mo-7678,Coupé (E92) (09/2007 - 02/2014),09/2007,02/2014,68250,ALPINA B3,ALPINA B3 Coupé (E92) S Bi-Turbo Traction intégrale 400 cv Caixa Automática,Essence
ma-272,ALPINA,fa-1291,B3,mo-7678,Coupé (E92) (09/2007 - 02/2014),09/2007,02/2014,68249,ALPINA B3,ALPINA B3 Coupé (E92) GT3 408 cv Caixa Automática,Essence
ma-272,ALPINA,fa-1291,B3,mo-7678,Coupé (E92) (09/2007 - 02/2014),09/2007,02/2014,68248,ALPINA B3,ALPINA B3 Coupé (E92) Bi-Turbo 360 cv Caixa Automática,Essence
ma-272,ALPINA,fa-1291,B3,mo-7678,Coupé (E92) (09/2007 - 02/2014),09/2007,02/2014,68247,ALPINA B3,ALPINA B3 Coupé (E92) Bi-Turbo Traction intégrale 360 cv Caixa Automática,Essence
ma-272,ALPINA,fa-1291,B3,mo-3001,Touring (E30) (09/1987 - 06/1992),09/1987,06/1992,27593,ALPINA B3,ALPINA B3 Touring (E30) 2.7 204 cv,Essence
ma-272,ALPINA,fa-1291,B3,mo-7682,(F30) (03/2013 - 08/2018),03/2013,08/2018,68261,ALPINA B3,ALPINA B3 (F30) S BITURBO Traction intégrale 440 cv Caixa Automática,Essence
ma-272,ALPINA,fa-1291,B3,mo-7682,(F30) (03/2013 - 08/2018),03/2013,08/2018,68259,ALPINA B3,ALPINA B3 (F30) BITURBO Traction intégrale 409 cv Caixa Automática,Essence
ma-272,ALPINA,fa-1291,B3,mo-7682,(F30) (03/2013 - 08/2018),03/2013,08/2018,68262,ALPINA B3,ALPINA B3 (F30) S BITURBO 440 cv Caixa Automática,Essence
ma-272,ALPINA,fa-1291,B3,mo-7682,(F30) (03/2013 - 08/2018),03/2013,08/2018,68260,ALPINA B3,ALPINA B3 (F30) BITURBO 409 cv Caixa Automática,Essence
ma-272,ALPINA,fa-1291,B3,mo-7677,(E90) (09/2007 - 05/2013),09/2007,05/2013,68244,ALPINA B3,ALPINA B3 (E90) Bi-Turbo 360 cv Caixa Automática,Essence
