"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-277","ARO","fa-1686","240","mo-3241"," (01/1980 - 12/2007)","01/1980","12/2007","27654","ARO 240","ARO 240 2.7 D 4x4 Familiar 68 cv","Diesel"
"ma-277","ARO","fa-1686","240","mo-3241"," (01/1980 - 12/2007)","01/1980","12/2007","27653","ARO 240","ARO 240 2.5 D 4x4 Familiar 75 cv","Diesel"
"ma-277","ARO","fa-1686","240","mo-3241"," (01/1980 - 12/2007)","01/1980","12/2007","27652","ARO 240","ARO 240 2.5 4x4 Familiar 85 cv","Gasolina"
"ma-277","ARO","fa-1686","240","mo-3241"," (01/1980 - 12/2007)","01/1980","12/2007","32625","ARO 240","ARO 240 Aro 244 2.5 D 4x4 Familiar 95 cv","Diesel"
"ma-277","ARO","fa-1685","10","mo-3239"," (04/1980 - 12/2007)","04/1980","12/2007","27648","ARO 10","ARO 10 1.6 D 4x4 Familiar 54 cv","Diesel"
"ma-277","ARO","fa-1685","10","mo-3239"," (04/1980 - 12/2007)","04/1980","12/2007","27649","ARO 10","ARO 10 1.4 4x4 Familiar 62 cv","Gasolina"
"ma-277","ARO","fa-1685","10","mo-3239"," (04/1980 - 12/2007)","04/1980","12/2007","40496","ARO 10","ARO 10 1.9 TD 4x4 Pickup 80 cv","Diesel"
"ma-277","ARO","fa-1685","10","mo-3239"," (04/1980 - 12/2007)","04/1980","12/2007","27647","ARO 10","ARO 10 1.3 4x4 Familiar 56 cv","Gasolina"
"ma-277","ARO","fa-1685","10","mo-3239"," (04/1980 - 12/2007)","04/1980","12/2007","27651","ARO 10","ARO 10 1.9 TD 4x4 Familiar 92 cv","Diesel"
"ma-277","ARO","fa-1685","10","mo-3239"," (04/1980 - 12/2007)","04/1980","12/2007","36248","ARO 10","ARO 10 1.9 TD 4x4 Familiar 80 cv","Diesel"
"ma-277","ARO","fa-1685","10","mo-3239"," (04/1980 - 12/2007)","04/1980","12/2007","27650","ARO 10","ARO 10 1.9 D 4x4 Familiar 65 cv","Diesel"
"ma-277","ARO","fa-1685","10","mo-3239"," (04/1980 - 12/2007)","04/1980","12/2007","41833","ARO 10","ARO 10 1.9 D 4x4 Pickup 65 cv","Diesel"
"ma-277","ARO","fa-1685","10","mo-3240","0 (04/1980 - 12/2007)","04/1980","12/2007","69387","ARO 10","ARO 10 0 2.5 4x4 descapotable 85 cv","Gasolina"
"ma-277","ARO","fa-1685","10","mo-3240","0 (04/1980 - 12/2007)","04/1980","12/2007","69386","ARO 10","ARO 10 0 2.5 4x4 descapotable Hard Top 85 cv","Gasolina"
"ma-277","ARO","fa-2119","Spartana","mo-5557"," (03/1997 - 12/2000)","03/1997","12/2000","40320","ARO Spartana","ARO Spartana 1.3 4x2 Descapotable 54 cv","Gasolina"
"ma-277","ARO","fa-2119","Spartana","mo-5557"," (03/1997 - 12/2000)","03/1997","12/2000","41815","ARO Spartana","ARO Spartana 1.3 4x4 Descapotable 54 cv","Gasolina"
