"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-273","ASTON MARTIN","fa-1314","DB9","mo-3050","Vantage (01/2004 - 10/2016)","01/2004","10/2016","27456","ASTON MARTIN DB9","ASTON MARTIN DB9 Vantage 4.2 V8 385 cv","Gasolina"
"ma-273","ASTON MARTIN","fa-1314","DB9","mo-3050","Vantage (01/2004 - 10/2016)","01/2004","10/2016","69077","ASTON MARTIN DB9","ASTON MARTIN DB9 Vantage 6.0 V12 476 cv Transmisión automática","Gasolina"
"ma-273","ASTON MARTIN","fa-1314","DB9","mo-3050","Vantage (01/2004 - 10/2016)","01/2004","10/2016","69071","ASTON MARTIN DB9","ASTON MARTIN DB9 Vantage 6.0 V12 450 cv Transmisión automática","Gasolina"
"ma-273","ASTON MARTIN","fa-1314","DB9","mo-3050","Vantage (01/2004 - 10/2016)","01/2004","10/2016","69078","ASTON MARTIN DB9","ASTON MARTIN DB9 Vantage 6.0 V12 517 cv Transmisión automática","Gasolina"
"ma-273","ASTON MARTIN","fa-1314","DB9","mo-7725","Volante (04/2004 - 10/2016)","04/2004","10/2016","69074","ASTON MARTIN DB9","ASTON MARTIN DB9 Volante 6.0 V12 450 cv Transmisión automática","Gasolina"
"ma-273","ASTON MARTIN","fa-1314","DB9","mo-7725","Volante (04/2004 - 10/2016)","04/2004","10/2016","69076","ASTON MARTIN DB9","ASTON MARTIN DB9 Volante 6.0 V12 517 cv Transmisión automática","Gasolina"
"ma-273","ASTON MARTIN","fa-1314","DB9","mo-7725","Volante (04/2004 - 10/2016)","04/2004","10/2016","69075","ASTON MARTIN DB9","ASTON MARTIN DB9 Volante 6.0 V12 476 cv Transmisión automática","Gasolina"
"ma-273","ASTON MARTIN","fa-1693","Vantage","mo-7722"," (10/2005 - Hoy)","10/2005","","68854","ASTON MARTIN Vantage","ASTON MARTIN Vantage 4.3 385 cv Transmisión automática","Gasolina"
"ma-273","ASTON MARTIN","fa-1692","Vanquish","mo-3247"," (03/2001 - 09/2004)","03/2001","09/2004","27665","ASTON MARTIN Vanquish","ASTON MARTIN Vanquish 6.0 i V12 Coupe 460 cv","Gasolina"
"ma-273","ASTON MARTIN","fa-1313","DB7","mo-3048","Vantage (01/1994 - Hoy)","01/1994","","69067","ASTON MARTIN DB7","ASTON MARTIN DB7 Vantage 3.2 340 cv","Gasolina"
"ma-273","ASTON MARTIN","fa-1313","DB7","mo-3048","Vantage (01/1994 - Hoy)","01/1994","","27518","ASTON MARTIN DB7","ASTON MARTIN DB7 Vantage 5.9 420 cv","Gasolina"
"ma-273","ASTON MARTIN","fa-1313","DB7","mo-3048","Vantage (01/1994 - Hoy)","01/1994","","69068","ASTON MARTIN DB7","ASTON MARTIN DB7 Vantage 3.2 317 cv","Gasolina"
"ma-273","ASTON MARTIN","fa-1313","DB7","mo-3049","Volante (01/1996 - Hoy)","01/1996","","69070","ASTON MARTIN DB7","ASTON MARTIN DB7 Volante 3.2 340 cv","Gasolina"
"ma-273","ASTON MARTIN","fa-1313","DB7","mo-3049","Volante (01/1996 - Hoy)","01/1996","","27423","ASTON MARTIN DB7","ASTON MARTIN DB7 Volante 5.9 420 cv","Gasolina"
"ma-273","ASTON MARTIN","fa-1313","DB7","mo-3049","Volante (01/1996 - Hoy)","01/1996","","69069","ASTON MARTIN DB7","ASTON MARTIN DB7 Volante 3.2 340 cv","Gasolina"
"ma-273","ASTON MARTIN","fa-1394","V8","mo-3176","Vantage (01/1969 - 12/1989)","01/1969","12/1989","69072","ASTON MARTIN V8","ASTON MARTIN V8 Vantage 5.3 557 cv","Gasolina"
"ma-273","ASTON MARTIN","fa-1394","V8","mo-3176","Vantage (01/1969 - 12/1989)","01/1969","12/1989","27291","ASTON MARTIN V8","ASTON MARTIN V8 Vantage 5.3 340 cv Transmisión automática","Gasolina"
"ma-273","ASTON MARTIN","fa-1394","V8","mo-3176","Vantage (01/1969 - 12/1989)","01/1969","12/1989","27434","ASTON MARTIN V8","ASTON MARTIN V8 Vantage 5.3 511 cv Transmisión automática","Gasolina"
"ma-273","ASTON MARTIN","fa-1394","V8","mo-3176","Vantage (01/1969 - 12/1989)","01/1969","12/1989","69073","ASTON MARTIN V8","ASTON MARTIN V8 Vantage 5.3 i 340 cv","Gasolina"
"ma-273","ASTON MARTIN","fa-1394","V8","mo-3177","Volante (01/1978 - 12/1989)","01/1978","12/1989","27480","ASTON MARTIN V8","ASTON MARTIN V8 Volante 5.3 375 cv Transmisión automática","Gasolina"
