"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","794","AUDI A4","AUDI A4 (8E2) 3.0 i V6 218cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","785","AUDI A4","AUDI A4 (8E2) 1.8 i Turbo 150cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","9606","AUDI A4","AUDI A4 (8E2) 1.8 i Turbo 163cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","786","AUDI A4","AUDI A4 (8E2) 1.8 i Turbo 163cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","11897","AUDI A4","AUDI A4 (8E2) 3.0 i 220cv Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","1768","AUDI A4","AUDI A4 (8E2) 2.5 TDi V6 155cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","11895","AUDI A4","AUDI A4 (8E2) 2.4 i V6 170cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","792","AUDI A4","AUDI A4 (8E2) 2.5 TDi V6 163cv Multitronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","723","AUDI A4","AUDI A4 (8E2) 1.9 TDi 131cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","1769","AUDI A4","AUDI A4 (8E2) 2.5 TDi V6 155cv Multitronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","791","AUDI A4","AUDI A4 (8E2) 2.5 TDi V6 163cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","9608","AUDI A4","AUDI A4 (8E2) 1.9 TDi 116cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","1770","AUDI A4","AUDI A4 (8E2) 3.0 i V6 218cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","9605","AUDI A4","AUDI A4 (8E2) 1.8 i Turbo 150cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","9610","AUDI A4","AUDI A4 (8E2) 2.0 i 130cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","11896","AUDI A4","AUDI A4 (8E2) 3.0 i 220cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","1163","AUDI A4","AUDI A4 (8E2) 1.9 TDi 130cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","721","AUDI A4","AUDI A4 (8E2) 1.8 i Turbo 193cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","787","AUDI A4","AUDI A4 (8E2) 1.8 i Turbo 170cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","790","AUDI A4","AUDI A4 (8E2) 2.4 i V6 170cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","788","AUDI A4","AUDI A4 (8E2) 1.8 i Turbo 170cv Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","9607","AUDI A4","AUDI A4 (8E2) 1.9 TDi 100cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","47811","AUDI A4","AUDI A4 (8E2) 2.0 FSI 16V Multitronic 150 cv Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","1162","AUDI A4","AUDI A4 (8E2) 1.8 i Turbo 170cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","1164","AUDI A4","AUDI A4 (8E2) 2.0 i 130cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","789","AUDI A4","AUDI A4 (8E2) 2.0 FSI 150cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","793","AUDI A4","AUDI A4 (8E2) 3.0 i 220cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","9609","AUDI A4","AUDI A4 (8E2) 1.9 TDi 130cv Multitronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","722","AUDI A4","AUDI A4 (8E2) 1.8 i Turbo 193cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-312","(8E2) (12/2000 - 12/2004)","12/2000","12/2004","784","AUDI A4","AUDI A4 (8E2) 1.6 i 102cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","1783","AUDI A4","AUDI A4 (8EC) 2.0 TDi 140cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","869","AUDI A4","AUDI A4 (8EC) 1.9 TDi 116cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","800","AUDI A4","AUDI A4 (8EC) 1.6 i 102cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","1785","AUDI A4","AUDI A4 (8EC) 2.0 TFSi 220cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","11915","AUDI A4","AUDI A4 (8EC) 2.0 TDi 140cv Multitronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","1788","AUDI A4","AUDI A4 (8EC) 2.7 TDi 163cv Multitronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","806","AUDI A4","AUDI A4 (8EC) 2.5 TDi V6 163cv Multitronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","803","AUDI A4","AUDI A4 (8EC) 2.0 TDi 136cv Tiptronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","11912","AUDI A4","AUDI A4 (8EC) 1.8 i Turbo 163cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","1786","AUDI A4","AUDI A4 (8EC) 2.0 TFSi 200cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","11918","AUDI A4","AUDI A4 (8EC) 2.7 TDi 163cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","11914","AUDI A4","AUDI A4 (8EC) 2.0 TDi 121cv Multitronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","804","AUDI A4","AUDI A4 (8EC) 2.0 TDi 140cv Tiptronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","808","AUDI A4","AUDI A4 (8EC) 3.0 i 218cv Tiptronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","801","AUDI A4","AUDI A4 (8EC) 2.0 i 131cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","27700","AUDI A4","AUDI A4 (8EC) 2.0 TFSi Berlina 170 cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","11919","AUDI A4","AUDI A4 (8EC) 2.7 TDi 180cv Multitronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","11917","AUDI A4","AUDI A4 (8EC) 2.5 TDi V6 163cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","27701","AUDI A4","AUDI A4 (8EC) 2.0 TDi Berlina 163 cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","11916","AUDI A4","AUDI A4 (8EC) 2.0 TFSi 200cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","870","AUDI A4","AUDI A4 (8EC) 2.0 i 131cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","872","AUDI A4","AUDI A4 (8EC) 3.2 FSi V6 255cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","11913","AUDI A4","AUDI A4 (8EC) 2.0 TDi 136cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","11920","AUDI A4","AUDI A4 (8EC) 3.0 i 218cv","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","1787","AUDI A4","AUDI A4 (8EC) 2.7 TDi 180cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","802","AUDI A4","AUDI A4 (8EC) 2.0 TDi 170cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","868","AUDI A4","AUDI A4 (8EC) 1.8 i Turbo 163cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","871","AUDI A4","AUDI A4 (8EC) 2.0 TDi 126cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","48561","AUDI A4","AUDI A4 (8EC) 2.0 TDi 140 cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","1784","AUDI A4","AUDI A4 (8EC) 2.0 TDi 136cv Multitronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","805","AUDI A4","AUDI A4 (8EC) 2.0 TFSi 200cv Tiptronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","809","AUDI A4","AUDI A4 (8EC) 3.2 FSi V6 255cv Multitronic Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-316","(8EC) (11/2004 - 06/2008)","11/2004","06/2008","807","AUDI A4","AUDI A4 (8EC) 2.5 TDi V6 163cv Tiptronic Transmisión automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-3260","(8K2) (11/2007 - 10/2011)","11/2007","10/2011","29485","AUDI A4","AUDI A4 (8K2) 3.2 FSi V6 Multitronic 265 cv Transmisión automática","Gasolina"
"ma-21","AUDI","fa-36","A4","mo-3260","(8K2) (11/2007 - 10/2011)","11/2007","10/2011","27713","AUDI A4","AUDI A4 (8K2) 2.0 TDi Berlina 143 cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-3260","(8K2) (11/2007 - 10/2011)","11/2007","10/2011","47248","AUDI A4","AUDI A4 (8K2) 2.7 TDi FAP V6 24V Multitronic 190 cv Transmisión automática","Diesel"
