"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","724","AUDI A4","AUDI A4 Série 2 Avant (8E5) 1.8 i Turbo 20V 190cv","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","796","AUDI A4","AUDI A4 Série 2 Avant (8E5) 1.8 i Turbo 20V 150cv","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","795","AUDI A4","AUDI A4 Série 2 Avant (8E5) 1.6 i 102cv","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","11903","AUDI A4","AUDI A4 Série 2 Avant (8E5) 2.0 i 20V 131cv","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","859","AUDI A4","AUDI A4 Série 2 Avant (8E5) 2.5 TDi V6 24V 163cv Multitronic Caixa Automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","11898","AUDI A4","AUDI A4 Série 2 Avant (8E5) 1.8 i Turbo 20V 150cv Multitronic Caixa Automática","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","11904","AUDI A4","AUDI A4 Série 2 Avant (8E5) 2.4 i V6 30V 170cv","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","725","AUDI A4","AUDI A4 Série 2 Avant (8E5) 1.9 TDi 131cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","1775","AUDI A4","AUDI A4 Série 2 Avant (8E5) 3.0 i V6 30V 218cv Multitronic Caixa Automática","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","726","AUDI A4","AUDI A4 Série 2 Avant (8E5) 2.0 FSI 16V 150cv Multitronic Caixa Automática","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","860","AUDI A4","AUDI A4 Série 2 Avant (8E5) 3.0 i V6 30V 218cv","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","727","AUDI A4","AUDI A4 Série 2 Avant (8E5) 2.5 TDi V6 24V 155cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","798","AUDI A4","AUDI A4 Série 2 Avant (8E5) 2.0 FSI 16V 150cv","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","858","AUDI A4","AUDI A4 Série 2 Avant (8E5) 2.4 i V6 30V 170cv Multitronic Caixa Automática","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","797","AUDI A4","AUDI A4 Série 2 Avant (8E5) 1.8 i Turbo 20V 163cv","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","861","AUDI A4","AUDI A4 Série 2 Avant (8E5) 3.0 i V6 30V 220cv Multitronic Caixa Automática","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","1772","AUDI A4","AUDI A4 Série 2 Avant (8E5) 2.0 i 20V 131cv Multitronic Caixa Automática","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","1771","AUDI A4","AUDI A4 Série 2 Avant (8E5) 1.9 TDi 130cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","11900","AUDI A4","AUDI A4 Série 2 Avant (8E5) 1.9 TDi 100cv","Diesel"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","1773","AUDI A4","AUDI A4 Série 2 Avant (8E5) 2.5 TDi V6 24V 155cv Multitronic Caixa Automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","1774","AUDI A4","AUDI A4 Série 2 Avant (8E5) 3.0 i V6 30V 220cv Caixa Automática","Essence"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","11902","AUDI A4","AUDI A4 Série 2 Avant (8E5) 1.9 TDi 130cv Multitronic Caixa Automática","Diesel"
"ma-21","AUDI","fa-36","A4","mo-313","Série 2 Avant (8E5) (09/2001 - 12/2004)","09/2001","12/2004","11901","AUDI A4","AUDI A4 Série 2 Avant (8E5) 1.9 TDi 116cv","Diesel"
