"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-260","AUSTIN","fa-1359","MINI","mo-3123","MK I (01/1967 - Aujourd'hui)","01/1967","","27184","AUSTIN MINI","AUSTIN MINI MK I 1000 35 cv","Essence"
"ma-260","AUSTIN","fa-1359","MINI","mo-3123","MK I (01/1967 - Aujourd'hui)","01/1967","","27500","AUSTIN MINI","AUSTIN MINI MK I 1275 GT 53 cv","Essence"
"ma-260","AUSTIN","fa-1359","MINI","mo-3123","MK I (01/1967 - Aujourd'hui)","01/1967","","27577","AUSTIN MINI","AUSTIN MINI MK I 1000 Mayfair 42 cv","Essence"
"ma-260","AUSTIN","fa-1359","MINI","mo-3123","MK I (01/1967 - Aujourd'hui)","01/1967","","27401","AUSTIN MINI","AUSTIN MINI MK I 1000 39 cv","Essence"
"ma-260","AUSTIN","fa-1359","MINI","mo-3123","MK I (01/1967 - Aujourd'hui)","01/1967","","27310","AUSTIN MINI","AUSTIN MINI MK I 1000 Mayfair Sport 41 cv","Essence"
"ma-260","AUSTIN","fa-1359","MINI","mo-3123","MK I (01/1967 - Aujourd'hui)","01/1967","","27192","AUSTIN MINI","AUSTIN MINI MK I 1100 Special 45 cv","Essence"
"ma-260","AUSTIN","fa-1357","METRO","mo-3121"," (10/1980 - 04/1990)","10/1980","04/1990","27623","AUSTIN METRO","AUSTIN METRO 1.3 L,HLE,S 60 cv","Essence"
"ma-260","AUSTIN","fa-1357","METRO","mo-3121"," (10/1980 - 04/1990)","10/1980","04/1990","27406","AUSTIN METRO","AUSTIN METRO 1.3 Surf (XF) 60 cv","Essence"
"ma-260","AUSTIN","fa-1357","METRO","mo-3121"," (10/1980 - 04/1990)","10/1980","04/1990","27276","AUSTIN METRO","AUSTIN METRO 1.0 Surf HLE 48 cv","Essence"
"ma-260","AUSTIN","fa-1357","METRO","mo-3121"," (10/1980 - 04/1990)","10/1980","04/1990","27571","AUSTIN METRO","AUSTIN METRO 1.3 Turbo 90 cv","Essence"
"ma-260","AUSTIN","fa-1357","METRO","mo-3121"," (10/1980 - 04/1990)","10/1980","04/1990","27391","AUSTIN METRO","AUSTIN METRO 1.0 45 cv","Essence"
