"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-23","AUTOBIANCHI","fa-56","A112","mo-290"," (10/1969 - 12/1985)","10/1969","12/1985","27730","AUTOBIANCHI A112","AUTOBIANCHI A112 982 58 cv","Essence"
"ma-23","AUTOBIANCHI","fa-56","A112","mo-290"," (10/1969 - 12/1985)","10/1969","12/1985","2627","AUTOBIANCHI A112","AUTOBIANCHI A112 1050 70cv","Essence"
"ma-23","AUTOBIANCHI","fa-56","A112","mo-290"," (10/1969 - 12/1985)","10/1969","12/1985","14094","AUTOBIANCHI A112","AUTOBIANCHI A112 903 44cv","Essence"
"ma-23","AUTOBIANCHI","fa-56","A112","mo-290"," (10/1969 - 12/1985)","10/1969","12/1985","2628","AUTOBIANCHI A112","AUTOBIANCHI A112 965 LX 48cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2245","I (07/1985 - 12/1988)","07/1985","12/1988","2629","AUTOBIANCHI Y10","AUTOBIANCHI Y10 I 1.0 Fire 50cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2245","I (07/1985 - 12/1988)","07/1985","12/1988","1334","AUTOBIANCHI Y10","AUTOBIANCHI Y10 I 1.0 Fire 45cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2245","I (07/1985 - 12/1988)","07/1985","12/1988","1335","AUTOBIANCHI Y10","AUTOBIANCHI Y10 I 1050 Turbo 85cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2245","I (07/1985 - 12/1988)","07/1985","12/1988","2630","AUTOBIANCHI Y10","AUTOBIANCHI Y10 I 1050 Touring 55cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","14095","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.0 Fire 45cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","24865","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.1 ie Avenue 54cv 4WD","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","24863","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.0 45cv 4WD","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","24532","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.1 ie Fire 50cv 4WD","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","14098","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.1 ie Avenue 57cv Boîte auto","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","14097","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.1 ie Avenue 57cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","2631","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.1 ie Touring 50cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","1337","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.3 GT 74cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","1336","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.1 ie 50cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","24864","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.0 ie 45cv 4WD","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","14096","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.0 ie 45cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","14100","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.3 GT 78cv","Essence"
"ma-23","AUTOBIANCHI","fa-57","Y10","mo-2246","II (01/1989 - 10/1995)","01/1989","10/1995","14099","AUTOBIANCHI Y10","AUTOBIANCHI Y10 II 1.1 ie 50cv Selectronic Boîte auto","Essence"
"ma-23","AUTOBIANCHI","fa-1699","110","mo-3271"," (01/1966 - 12/1976)","01/1966","12/1976","69393","AUTOBIANCHI 110","AUTOBIANCHI 110 500 Cabriolet 15cv","Essence"
"ma-23","AUTOBIANCHI","fa-1699","110","mo-3271"," (01/1966 - 12/1976)","01/1966","12/1976","69389","AUTOBIANCHI 110","AUTOBIANCHI 110 500 Berline 18cv","Essence"
"ma-23","AUTOBIANCHI","fa-1699","110","mo-3271"," (01/1966 - 12/1976)","01/1966","12/1976","69391","AUTOBIANCHI 110","AUTOBIANCHI 110 500 Break 22cv","Essence"
"ma-23","AUTOBIANCHI","fa-1699","110","mo-3271"," (01/1966 - 12/1976)","01/1966","12/1976","69394","AUTOBIANCHI 110","AUTOBIANCHI 110 500 Berline 17cv","Essence"
"ma-23","AUTOBIANCHI","fa-1699","110","mo-3271"," (01/1966 - 12/1976)","01/1966","12/1976","69390","AUTOBIANCHI 110","AUTOBIANCHI 110 500 Berline 21cv","Essence"
"ma-23","AUTOBIANCHI","fa-1699","110","mo-3271"," (01/1966 - 12/1976)","01/1966","12/1976","69392","AUTOBIANCHI 110","AUTOBIANCHI 110 500 Cabriolet 21cv","Essence"
"ma-23","AUTOBIANCHI","fa-1701","Primula","mo-3273"," (02/1965 - 12/1971)","02/1965","12/1971","30171","AUTOBIANCHI Primula","AUTOBIANCHI Primula 1200 Coupé 65 cv","Essence"
"ma-23","AUTOBIANCHI","fa-1701","Primula","mo-3273"," (02/1965 - 12/1971)","02/1965","12/1971","69398","AUTOBIANCHI Primula","AUTOBIANCHI Primula 65 1200 Berline 65 cv","Essence"
"ma-23","AUTOBIANCHI","fa-1701","Primula","mo-3273"," (02/1965 - 12/1971)","02/1965","12/1971","30172","AUTOBIANCHI Primula","AUTOBIANCHI Primula 1200 Hatchback 59 cv","Essence"
