"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","14104","BEDFORD CF","BEDFORD CF 250 2.0 D Fourgon 60cv","Diesel"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","1257","BEDFORD CF","BEDFORD CF 350L 2.3 D Châssis cabine court 61cv","Diesel"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","14108","BEDFORD CF","BEDFORD CF 280 2.0 D Fourgon 60cv","Diesel"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","14102","BEDFORD CF","BEDFORD CF 220 1.8 Fourgon 67cv","Essence"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","14112","BEDFORD CF","BEDFORD CF 350 2.3 D Châssis cabine court 61cv","Diesel"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","2975","BEDFORD CF","BEDFORD CF 340 2.1 D Fourgon 60cv ( VU)","Diesel"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","14107","BEDFORD CF","BEDFORD CF 280 2.0 D Châssis cabine court 60cv","Diesel"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","14114","BEDFORD CF","BEDFORD CF 350L 2.1 D Châssis cabine court 60cv (VU)","Diesel"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","2634","BEDFORD CF","BEDFORD CF 280 2.3 Fourgon 79cv","Essence"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","1340","BEDFORD CF","BEDFORD CF 280 2.3 Châssis cabine court 79cv","Essence"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","1249","BEDFORD CF","BEDFORD CF 250 2.3 D Châssis cabine court 61cv","Diesel"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","14110","BEDFORD CF","BEDFORD CF 280 2.1 D Fourgon 60cv (VU)","Diesel"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","1339","BEDFORD CF","BEDFORD CF 250 2.3 Châssis cabine court 79cv","Essence"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","14111","BEDFORD CF","BEDFORD CF 350 2.3 Châssis cabine court 79cv","Essence"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","2633","BEDFORD CF","BEDFORD CF 250 2.3 Fourgon 79cv","Essence"
"ma-25","BEDFORD","fa-59","CF","mo-605"," (07/1977 - 07/1984)","07/1977","07/1984","1256","BEDFORD CF","BEDFORD CF 350L 2.3 Châssis cabine court 79cv","Essence"
