brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-280,BENTLEY,fa-1703,Continental,mo-3275,Berlina (03/2005 - 12/2013),03/2005,12/2013,69440,BENTLEY Continental,BENTLEY Continental Berlina Speed 6.0 610 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-1703,Continental,mo-3275,Berlina (03/2005 - 12/2013),03/2005,12/2013,27731,BENTLEY Continental,BENTLEY Continental Berlina 6.0 4WD Berlina 560 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-1703,Continental,mo-6786,Coupe (3W_) (06/2003 - Hoy),06/2003,,68948,BENTLEY Continental,BENTLEY Continental Coupe (3W_) GT 6.0 V12 FLEX 575 cv Transmisión automática,Flex Fuel
ma-280,BENTLEY,fa-1703,Continental,mo-6786,Coupe (3W_) (06/2003 - Hoy),06/2003,,59046,BENTLEY Continental,BENTLEY Continental Coupe (3W_) 6.0 560 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-1703,Continental,mo-3276,Coupe (07/1984 - 03/2004),07/1984,03/2004,69432,BENTLEY Continental,BENTLEY Continental Coupe T Mulliner 6.8 i V8 426 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-1703,Continental,mo-3276,Coupe (07/1984 - 03/2004),07/1984,03/2004,69100,BENTLEY Continental,BENTLEY Continental Coupe Turbo R 6.8 16V 320 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-1703,Continental,mo-3276,Coupe (07/1984 - 03/2004),07/1984,03/2004,69431,BENTLEY Continental,BENTLEY Continental Coupe R 6.8 i V8 408 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-1703,Continental,mo-3276,Coupe (07/1984 - 03/2004),07/1984,03/2004,69103,BENTLEY Continental,BENTLEY Continental Coupe R 6.8 i 16V 360 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-1703,Continental,mo-3276,Coupe (07/1984 - 03/2004),07/1984,03/2004,69101,BENTLEY Continental,BENTLEY Continental Coupe S 6.8 i 16V 389 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-2218,Bentayga,mo-6517, (11/2015 - Hoy),11/2015,,69112,BENTLEY Bentayga,BENTLEY Bentayga 4.0 TDI V8 32V 4WD 421 cv Transmisión automática,Diesel
ma-280,BENTLEY,fa-2218,Bentayga,mo-6517, (11/2015 - Hoy),11/2015,,56266,BENTLEY Bentayga,BENTLEY Bentayga 4.0 TDI V8 4WD 32V 435 cv Transmisión automática,Diesel
ma-280,BENTLEY,fa-2218,Bentayga,mo-6517, (11/2015 - Hoy),11/2015,,56268,BENTLEY Bentayga,BENTLEY Bentayga 6.0 TSI ACT W12 4WD 48V 608 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-1708,Turbo R,mo-3281, (01/1986 - 12/1998),01/1986,12/1998,35000,BENTLEY Turbo R,BENTLEY Turbo R 6.8 V8 320 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-2426,Arrnage,mo-7733,Arnage (RBS_) (03/1998 - 12/2013),03/1998,12/2013,69430,BENTLEY Arrnage,BENTLEY Arrnage Arnage (RBS_) T 6.8 V8 507 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-2426,Arrnage,mo-7733,Arnage (RBS_) (03/1998 - 12/2013),03/1998,12/2013,69427,BENTLEY Arrnage,BENTLEY Arrnage Arnage (RBS_) 6.7 V8 405 cv Transmisión automática,Gasolina
ma-280,BENTLEY,fa-2426,Arrnage,mo-7733,Arnage (RBS_) (03/1998 - 12/2013),03/1998,12/2013,69428,BENTLEY Arrnage,BENTLEY Arrnage Arnage (RBS_) T 6.7 V8 457 cv Transmisión automática,Gasolina
