"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","1500","BMW Série 3","BMW Série 3 (E46) Berlina 325xi 2.5 i 192cv","Gasolina"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","1422","BMW Série 3","BMW Série 3 (E46) Berlina 320i 2.0 i 150cv","Gasolina"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","63312","BMW Série 3","BMW Série 3 (E46) Berlina 318d 2.0 d 16V (204D4) 115 cv","Diesel"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","3217","BMW Série 3","BMW Série 3 (E46) Berlina 330xd 3.0 TD 204cv","Diesel"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","34143","BMW Série 3","BMW Série 3 (E46) Berlina 330d 3.0 TD 163 cv","Diesel"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","65555","BMW Série 3","BMW Série 3 (E46) Berlina 318 i 2.0 i 16V 143 cv","Gasolina"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","1419","BMW Série 3","BMW Série 3 (E46) Berlina 318d 2.0 d 115cv","Diesel"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","68618","BMW Série 3","BMW Série 3 (E46) Berlina 320d 2.0 TD 16V BVM5 150cv","Diesel"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","1702","BMW Série 3","BMW Série 3 (E46) Berlina 328i 2.8 i 193cv","Gasolina"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","3212","BMW Série 3","BMW Série 3 (E46) Berlina 323i 2.5 i 170cv","Gasolina"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","60574","BMW Série 3","BMW Série 3 (E46) Berlina 320i 2.0 i 24V Automatic 163 cv Transmisión automática","Gasolina"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","3216","BMW Série 3","BMW Série 3 (E46) Berlina 330d 3.0 TD 204cv Transmisión automática","Diesel"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","1496","BMW Série 3","BMW Série 3 (E46) Berlina 316i 1.8 i 115cv Transmisión automática","Gasolina"
"ma-33","BMW","fa-67","Série 3","mo-1840","(E46) Berlina (03/1998 - 02/2005)","03/1998","02/2005","44439","BMW Série 3","BMW Série 3 (E46) Berlina 318i 2.0 i 143 cv Transmisión automática","Gasolina"
