brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-257,CADILLAC,fa-1964,Seville,mo-3738, (10/1987 - 03/2005),10/1987,03/2005,30209,CADILLAC Seville,CADILLAC Seville 4.5 i V8 Berlina 158 cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-1964,Seville,mo-3738, (10/1987 - 03/2005),10/1987,03/2005,30211,CADILLAC Seville,CADILLAC Seville 4.9 i V8 Berlina 203 cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-1964,Seville,mo-3738, (10/1987 - 03/2005),10/1987,03/2005,29927,CADILLAC Seville,CADILLAC Seville 4.6 i V8 STS Berlina 32V 305 cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-1964,Seville,mo-3738, (10/1987 - 03/2005),10/1987,03/2005,30210,CADILLAC Seville,CADILLAC Seville 4.5 i V8 Berlina 183 cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-1964,Seville,mo-3738, (10/1987 - 03/2005),10/1987,03/2005,57907,CADILLAC Seville,CADILLAC Seville STS 4.6 i V8 berlina 32V 299 cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-1964,Seville,mo-3738, (10/1987 - 03/2005),10/1987,03/2005,29926,CADILLAC Seville,CADILLAC Seville 4.6 i V8 SLS Berlina 32V 279 cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-80,SRX,mo-1976, (07/2004 - 12/2009),07/2004,12/2009,24533,CADILLAC SRX,CADILLAC SRX 3.6 i V6 4x4 258cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-80,SRX,mo-1976, (07/2004 - 12/2009),07/2004,12/2009,24707,CADILLAC SRX,CADILLAC SRX 4.6 i V8 4x4 325cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-80,SRX,mo-1976, (07/2004 - 12/2009),07/2004,12/2009,7949,CADILLAC SRX,CADILLAC SRX 4.6 i V8 325cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-80,SRX,mo-1976, (07/2004 - 12/2009),07/2004,12/2009,1624,CADILLAC SRX,CADILLAC SRX 3.6 i V6 258cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-80,SRX,mo-5178,II (09/2010 - Hoy),09/2010,,59442,CADILLAC SRX,CADILLAC SRX II 2.8 T V6 4WD familiar 24V Automatic 305 cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-80,SRX,mo-5178,II (09/2010 - Hoy),09/2010,,41503,CADILLAC SRX,CADILLAC SRX II 3.6 i V6 Familiar 24V 313 cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-80,SRX,mo-5178,II (09/2010 - Hoy),09/2010,,41500,CADILLAC SRX,CADILLAC SRX II 3.0 i V6 4WD Familiar 24V 271 cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-80,SRX,mo-5178,II (09/2010 - Hoy),09/2010,,33522,CADILLAC SRX,CADILLAC SRX II 3.0 i V6 4WD 24V 268 cv Transmisión automática,Gasolina
ma-257,CADILLAC,fa-80,SRX,mo-5178,II (09/2010 - Hoy),09/2010,,41502,CADILLAC SRX,CADILLAC SRX II 3.6 i V6 AWD Familiar 24V 318 cv Transmisión automática,Gasolina
