"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-257","CADILLAC","fa-2014","Escalade","mo-4864","III (05/2005 - 12/2015)","05/2005","12/2015","32696","CADILLAC Escalade","CADILLAC Escalade III 6.2 i V8 16V RWD 409 cv Boîte auto","Essence"
"ma-257","CADILLAC","fa-2014","Escalade","mo-4864","III (05/2005 - 12/2015)","05/2005","12/2015","67245","CADILLAC Escalade","CADILLAC Escalade III ESV 6.2 i V8 16V AWD 410 cv Boîte auto","Essence"
"ma-257","CADILLAC","fa-2014","Escalade","mo-4864","III (05/2005 - 12/2015)","05/2005","12/2015","37144","CADILLAC Escalade","CADILLAC Escalade III 6.0 i V8 16V Hybrid AWD 337 cv Boîte auto","Essence"
"ma-257","CADILLAC","fa-2014","Escalade","mo-4864","III (05/2005 - 12/2015)","05/2005","12/2015","32362","CADILLAC Escalade","CADILLAC Escalade III 6.2 i V8 16V AWD 409 cv Boîte auto","Essence"
"ma-257","CADILLAC","fa-2014","Escalade","mo-6675","IV (09/2014 - Aujourd'hui)","09/2014","","67244","CADILLAC Escalade","CADILLAC Escalade IV 6.2 V8 16V AWD 426 cv Boîte auto","Essence"
"ma-257","CADILLAC","fa-2014","Escalade","mo-6675","IV (09/2014 - Aujourd'hui)","09/2014","","57859","CADILLAC Escalade","CADILLAC Escalade IV ESV 6.2 i V8 16V AWD 426 cv Boîte auto","Essence"
"ma-257","CADILLAC","fa-2014","Escalade","mo-6689","II (10/2000 - 12/2006)","10/2000","12/2006","57906","CADILLAC Escalade","CADILLAC Escalade II Crew Cab 6.0 i V8 16V Pickup double cabine AWD 349 cv Boîte auto","Essence"
"ma-257","CADILLAC","fa-2014","Escalade","mo-6689","II (10/2000 - 12/2006)","10/2000","12/2006","57904","CADILLAC Escalade","CADILLAC Escalade II 6.0 i V8 16V AWD 349 cv Boîte auto","Essence"
"ma-257","CADILLAC","fa-2014","Escalade","mo-6689","II (10/2000 - 12/2006)","10/2000","12/2006","57905","CADILLAC Escalade","CADILLAC Escalade II 6.0 i V8 16V RWD 349 cv Boîte auto","Essence"
"ma-257","CADILLAC","fa-79","CTS","mo-812"," (03/2002 - 09/2007)","03/2002","09/2007","1953","CADILLAC CTS","CADILLAC CTS 3.6 i V6 257cv Boîte auto","Essence"
