brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,31316,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.6 i Berlina 16V 113 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,69901,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 2.0 VCDi 16V DPF S&S 163 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,33537,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.6 i 16V 124 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,40862,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.6 i 16V 124 cv Transmisión automática,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,33539,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 2.0 VCDi DPF 163 16V 163 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,33538,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 2.0 VCDi DPF 163 16V 163 cv Transmisión automática,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,32717,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.6 i Berlina 16V 109 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,31320,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 2.0 VCDi Berlina 16V 125 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,35483,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.7 VCDi DPF 131 16V S&S 131 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,31315,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.6 i Berlina 16V 113 cv Transmisión automática,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,31321,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 2.0 VCDi Berlina 16V 150 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,31317,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.8 i Berlina 16V 141 cv Transmisión automática,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,58067,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.4 Turbo 16V 140 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,32716,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.6 i Berlina 16V 109 cv Transmisión automática,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,31318,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.8 i Berlina 16V 141 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,40861,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.6 i 16V 117 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,31319,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 2.0 VCDi Berlina 16V 150 cv Transmisión automática,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,67423,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.8 i 16V LPG 141 cv,GPL
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,40572,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.4 i 16V S&S 100 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5144,Berlina (J300) (05/2009 - Hoy),05/2009,,40573,CHEVROLET Cruze,CHEVROLET Cruze Berlina (J300) 1.7 VCDi DPF 16V S&S 110 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,69902,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 2.0 VCDi 16V DPF S&S 163 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,34202,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.8 i 16V 141 cv Transmisión automática,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,40569,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.7 VCDi DPF 16V S&S 110 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,34205,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 2.0 VCDi DPF 16V 163 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,40859,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.6 i 16V 124 cv Transmisión automática,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,34204,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 2.0 VCDi DPF 16V 163 cv Transmisión automática,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,67422,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.8 i 16V LPG 141 cv,GPL
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,34203,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.8 i 16V 141 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,34201,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.6 i 16V 124 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,40568,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.4 i 16V S&S 100 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,40857,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.6 i 16V 117 cv Transmisión automática,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,40858,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.6 i 16V 117 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,35482,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.7 VCDi DPF 16V S&S 131 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5145,Hatchback (J305) (09/2011 - Hoy),09/2011,,37702,CHEVROLET Cruze,CHEVROLET Cruze Hatchback (J305) 1.4 Turbo 16V 140 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5278,Familiar (J308) (07/2012 - Hoy),07/2012,,35488,CHEVROLET Cruze,CHEVROLET Cruze Familiar (J308) SW 1.8 i 16V 141 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5278,Familiar (J308) (07/2012 - Hoy),07/2012,,35487,CHEVROLET Cruze,CHEVROLET Cruze Familiar (J308) SW 1.8 i 16V 141 cv Transmisión automática,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5278,Familiar (J308) (07/2012 - Hoy),07/2012,,35489,CHEVROLET Cruze,CHEVROLET Cruze Familiar (J308) SW 2.0 VCDi DPF 16V 163 cv Transmisión automática,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5278,Familiar (J308) (07/2012 - Hoy),07/2012,,40570,CHEVROLET Cruze,CHEVROLET Cruze Familiar (J308) SW 1.4 i 16V S&S 100 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5278,Familiar (J308) (07/2012 - Hoy),07/2012,,40860,CHEVROLET Cruze,CHEVROLET Cruze Familiar (J308) SW 1.6 i 117 16V 117 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5278,Familiar (J308) (07/2012 - Hoy),07/2012,,40571,CHEVROLET Cruze,CHEVROLET Cruze Familiar (J308) SW 1.7 VCDi DPF 16V S&S 110 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5278,Familiar (J308) (07/2012 - Hoy),07/2012,,35485,CHEVROLET Cruze,CHEVROLET Cruze Familiar (J308) SW 1.6 i 16V 124 cv,Gasolina
ma-46,CHEVROLET,fa-1988,Cruze,mo-5278,Familiar (J308) (07/2012 - Hoy),07/2012,,35490,CHEVROLET Cruze,CHEVROLET Cruze Familiar (J308) SW 2.0 VCDi DPF 16V S&S 163 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5278,Familiar (J308) (07/2012 - Hoy),07/2012,,35486,CHEVROLET Cruze,CHEVROLET Cruze Familiar (J308) SW 1.7 VCDi DPF 16V S&S 131 cv,Diesel
ma-46,CHEVROLET,fa-1988,Cruze,mo-5278,Familiar (J308) (07/2012 - Hoy),07/2012,,35484,CHEVROLET Cruze,CHEVROLET Cruze Familiar (J308) SW 1.4 Turbo 16V S&S 140 cv,Gasolina
ma-46,CHEVROLET,fa-83,Aveo,mo-3312,T250/2 (05/2008 - 12/2011),05/2008,12/2011,43698,CHEVROLET Aveo,CHEVROLET Aveo T250/2 Ecologic 1.2 i 16V GPL 84 cv,GPL
ma-46,CHEVROLET,fa-83,Aveo,mo-3312,T250/2 (05/2008 - 12/2011),05/2008,12/2011,43697,CHEVROLET Aveo,CHEVROLET Aveo T250/2 Ecologic 1.2 i Berlina 16V GPL 84 cv,GPL
ma-46,CHEVROLET,fa-83,Aveo,mo-3312,T250/2 (05/2008 - 12/2011),05/2008,12/2011,67418,CHEVROLET Aveo,CHEVROLET Aveo T250/2 1.2 i 16V 75 cv,Gasolina
ma-46,CHEVROLET,fa-83,Aveo,mo-3312,T250/2 (05/2008 - 12/2011),05/2008,12/2011,29960,CHEVROLET Aveo,CHEVROLET Aveo T250/2 1.4 Berlina 16V 101 cv Transmisión automática,Gasolina
ma-46,CHEVROLET,fa-83,Aveo,mo-3312,T250/2 (05/2008 - 12/2011),05/2008,12/2011,29959,CHEVROLET Aveo,CHEVROLET Aveo T250/2 1.2 Hatchback 16V 84 cv,Gasolina
ma-46,CHEVROLET,fa-83,Aveo,mo-3312,T250/2 (05/2008 - 12/2011),05/2008,12/2011,29962,CHEVROLET Aveo,CHEVROLET Aveo T250/2 1.4 Hatchback 16V 101 cv Transmisión automática,Gasolina
