"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","56075","CHEVROLET Captiva","CHEVROLET Captiva (C140) 2.0 VCDi DPF 163 FWD 16V 163 cv Boîte auto","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","32707","CHEVROLET Captiva","CHEVROLET Captiva (C140) 2.2 VCDi AWD 16V 163 cv","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","32706","CHEVROLET Captiva","CHEVROLET Captiva (C140) 2.2 VCDi AWD 16V 163 cv Boîte auto","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","32712","CHEVROLET Captiva","CHEVROLET Captiva (C140) 2.4 i AWD 16V 167 cv Boîte auto","Essence"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","32715","CHEVROLET Captiva","CHEVROLET Captiva (C140) 3.0 i V6 AWD 24V 258 cv Boîte auto","Essence"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","32711","CHEVROLET Captiva","CHEVROLET Captiva (C140) 2.2 VCDi AWD 16V 184 cv","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","32709","CHEVROLET Captiva","CHEVROLET Captiva (C140) 2.2 VCDi FWD 16V 163 cv","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","32714","CHEVROLET Captiva","CHEVROLET Captiva (C140) 2.4 i FWD 16V 167 cv","Essence"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","32710","CHEVROLET Captiva","CHEVROLET Captiva (C140) 2.2 VCDi AWD 16V 184 cv Boîte auto","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","32708","CHEVROLET Captiva","CHEVROLET Captiva (C140) 2.2 VCDi FWD 16V 163 cv Boîte auto","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5007","(C140) (02/2011 - 12/2015)","02/2011","12/2015","32713","CHEVROLET Captiva","CHEVROLET Captiva (C140) 2.4 i AWD 16V 167 cv","Essence"
"ma-46","CHEVROLET","fa-84","Captiva","mo-559","(C100) (09/2006 - 09/2009)","09/2006","09/2009","32698","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.4 i 2WD 16V 136 cv","Essence"
"ma-46","CHEVROLET","fa-84","Captiva","mo-559","(C100) (09/2006 - 09/2009)","09/2006","09/2009","1956","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.0 VCDI 150cv","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-559","(C100) (09/2006 - 09/2009)","09/2006","09/2009","32699","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.4 i GPL 2WD 16V 136 cv","GPL"
"ma-46","CHEVROLET","fa-84","Captiva","mo-559","(C100) (09/2006 - 09/2009)","09/2006","09/2009","1957","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.0 VCDI 150cv Boîte auto","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-559","(C100) (09/2006 - 09/2009)","09/2006","09/2009","27740","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.0 VCDI 2WD 150 cv","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-559","(C100) (09/2006 - 09/2009)","09/2006","09/2009","51762","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.4 i 4WD 16V 136 cv","Essence"
"ma-46","CHEVROLET","fa-84","Captiva","mo-559","(C100) (09/2006 - 09/2009)","09/2006","09/2009","37146","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.0 VCDI 127 4WD 16V 127 cv","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-559","(C100) (09/2006 - 09/2009)","09/2006","09/2009","14875","CHEVROLET Captiva","CHEVROLET Captiva (C100) 3.2 V6 230cv Boîte auto","Essence"
"ma-46","CHEVROLET","fa-84","Captiva","mo-559","(C100) (09/2006 - 09/2009)","09/2006","09/2009","32697","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.0 VCDI 127 2WD 16V 127 cv","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-559","(C100) (09/2006 - 09/2009)","09/2006","09/2009","51763","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.4 i GPL 4WD 16V 136 cv","Flex Fuel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5006","(C100) (09/2009 - 12/2011)","09/2009","12/2011","32700","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.0 VCDI 2WD 16V 127 cv","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5006","(C100) (09/2009 - 12/2011)","09/2009","12/2011","32704","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.4 i 2WD 16V 136 cv","Essence"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5006","(C100) (09/2009 - 12/2011)","09/2009","12/2011","32702","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.0 VCDI 4WD 16V 150 cv Boîte auto","Diesel"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5006","(C100) (09/2009 - 12/2011)","09/2009","12/2011","32705","CHEVROLET Captiva","CHEVROLET Captiva (C100) 3.2 V6 4WD 24V 230 cv Boîte auto","Essence"
"ma-46","CHEVROLET","fa-84","Captiva","mo-5006","(C100) (09/2009 - 12/2011)","09/2009","12/2011","32703","CHEVROLET Captiva","CHEVROLET Captiva (C100) 2.0 VCDI 4WD 16V 150 cv","Diesel"
