"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","15304","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 2.0 i 141 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","15305","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 2.0 i 141 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","56309","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 2.0 i 16V 136 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","1663","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 1.6 i 115 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","15309","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 2.4 i 16V 150 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","7982","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 2.2 CRD 121 cv","Diesel"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","7984","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 2.4 i Turbo 223 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","69803","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 2.4 i 143 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","69804","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 2.4 i 143 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","15307","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 2.4 i 16V 150 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1638"," (06/2000 - 11/2007)","06/2000","11/2007","37706","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser 2.0 i 16V 136 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-5045","Phase 2 (08/2005 - 07/2010)","08/2005","07/2010","15306","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser Phase 2 2.4 i 143 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-5045","Phase 2 (08/2005 - 07/2010)","08/2005","07/2010","15308","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser Phase 2 2.4 i 143 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-5045","Phase 2 (08/2005 - 07/2010)","08/2005","07/2010","7983","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser Phase 2 2.2 CRD 150 cv","Diesel"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-5045","Phase 2 (08/2005 - 07/2010)","08/2005","07/2010","32734","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser Phase 2 2.4 i 16V 150 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-5045","Phase 2 (08/2005 - 07/2010)","08/2005","07/2010","32736","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser Phase 2 2.4 i Turbo 16V 223 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-5045","Phase 2 (08/2005 - 07/2010)","08/2005","07/2010","32735","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser Phase 2 2.4 i 16V 150 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-5045","Phase 2 (08/2005 - 07/2010)","08/2005","07/2010","58058","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser Phase 2 2.4 i Turbo 16V 230 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1639","Cabriolet (08/2003 - 11/2007)","08/2003","11/2007","7981","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser Cabriolet 2.4 i Cabriolet 143 cv","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1639","Cabriolet (08/2003 - 11/2007)","08/2003","11/2007","1662","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser Cabriolet 2.4 i Cabriolet 143 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-105","PT Cruiser","mo-1639","Cabriolet (08/2003 - 11/2007)","08/2003","11/2007","15303","CHRYSLER PT Cruiser","CHRYSLER PT Cruiser Cabriolet 2.4 i Turbo Cabriolet 223 cv","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-118","Berline (06/2004 - 09/2007)","06/2004","09/2007","1969","CHRYSLER 300C","CHRYSLER 300C Berline 3.5 i V6 249cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-118","Berline (06/2004 - 09/2007)","06/2004","09/2007","29971","CHRYSLER 300C","CHRYSLER 300C Berline 6.1 SRT-8 V8 16V 431 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-118","Berline (06/2004 - 09/2007)","06/2004","09/2007","7961","CHRYSLER 300C","CHRYSLER 300C Berline 3.0 CRD V6 218cv Boîte auto","Diesel"
"ma-47","CHRYSLER","fa-94","300C","mo-118","Berline (06/2004 - 09/2007)","06/2004","09/2007","15292","CHRYSLER 300C","CHRYSLER 300C Berline 5.7 i V8 340cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-118","Berline (06/2004 - 09/2007)","06/2004","09/2007","1642","CHRYSLER 300C","CHRYSLER 300C Berline 2.7 i V6 193cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-119","Touring (06/2004 - 09/2007)","06/2004","09/2007","7962","CHRYSLER 300C","CHRYSLER 300C Touring 2.7 i V6 193cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-119","Touring (06/2004 - 09/2007)","06/2004","09/2007","29972","CHRYSLER 300C","CHRYSLER 300C Touring SRT-8 6.1 V8 16V 431 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-119","Touring (06/2004 - 09/2007)","06/2004","09/2007","7963","CHRYSLER 300C","CHRYSLER 300C Touring 3.5 i V6 249cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-119","Touring (06/2004 - 09/2007)","06/2004","09/2007","24534","CHRYSLER 300C","CHRYSLER 300C Touring 5.7 i V8 340cv 4WD Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-119","Touring (06/2004 - 09/2007)","06/2004","09/2007","15293","CHRYSLER 300C","CHRYSLER 300C Touring 3.0 CRD V6 218cv Boîte auto","Diesel"
"ma-47","CHRYSLER","fa-94","300C","mo-119","Touring (06/2004 - 09/2007)","06/2004","09/2007","1643","CHRYSLER 300C","CHRYSLER 300C Touring 5.7 i V8 340cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-119","Touring (06/2004 - 09/2007)","06/2004","09/2007","24708","CHRYSLER 300C","CHRYSLER 300C Touring 3.5 i V6 249cv 4WD Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-5044","Phase 2 Touring (09/2007 - 01/2012)","09/2007","01/2012","32733","CHRYSLER 300C","CHRYSLER 300C Phase 2 Touring 6.1 SRT-8 V8 Break 16V 431 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-5044","Phase 2 Touring (09/2007 - 01/2012)","09/2007","01/2012","32729","CHRYSLER 300C","CHRYSLER 300C Phase 2 Touring 3.5 i V6 Break 24V 249 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-5044","Phase 2 Touring (09/2007 - 01/2012)","09/2007","01/2012","32728","CHRYSLER 300C","CHRYSLER 300C Phase 2 Touring 3.5 i V6 4WD Break 24V 249 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-5044","Phase 2 Touring (09/2007 - 01/2012)","09/2007","01/2012","57726","CHRYSLER 300C","CHRYSLER 300C Phase 2 Touring 3.0 CRD V6 Break 24V 211 cv Boîte auto","Diesel"
"ma-47","CHRYSLER","fa-94","300C","mo-5044","Phase 2 Touring (09/2007 - 01/2012)","09/2007","01/2012","32726","CHRYSLER 300C","CHRYSLER 300C Phase 2 Touring 2.7 i V6 Break 24V 193 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-5044","Phase 2 Touring (09/2007 - 01/2012)","09/2007","01/2012","32730","CHRYSLER 300C","CHRYSLER 300C Phase 2 Touring 5.7 i V8 4WD Break 16V 340 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-5044","Phase 2 Touring (09/2007 - 01/2012)","09/2007","01/2012","32727","CHRYSLER 300C","CHRYSLER 300C Phase 2 Touring 3.0 CRD V6 Break 24V 218 cv Boîte auto","Diesel"
"ma-47","CHRYSLER","fa-94","300C","mo-5044","Phase 2 Touring (09/2007 - 01/2012)","09/2007","01/2012","56308","CHRYSLER 300C","CHRYSLER 300C Phase 2 Touring 2.7 i V6 Break 24V 177 cv Boîte auto","Essence"
"ma-47","CHRYSLER","fa-94","300C","mo-5044","Phase 2 Touring (09/2007 - 01/2012)","09/2007","01/2012","32731","CHRYSLER 300C","CHRYSLER 300C Phase 2 Touring 5.7 i V8 Break 16V 340 cv Boîte auto","Essence"
