brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,31327,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 1.6 i 16V 110 cv,Gasolina
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,15332,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 2.0 HDi 90cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,24891,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 2.0 HDi 4x4 90cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,2474,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 1.4 GPL 72cv,GPL
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,2472,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 1.4 GNV 68cv,GPL
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,2478,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 1.6 i 110cv,Gasolina
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,15331,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 1.6 HDi 75cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,27830,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 1.9 D 4x4 70 cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,1690,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 1.9 D 70cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,30176,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 1.6 HDi 4x4 Dangel Familiar 90 cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,2476,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 1.6 HDi 92cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-3195,(M59) Familiar (12/2002 - 05/2008),12/2002,05/2008,31326,CITROËN Berlingo,CITROËN Berlingo (M59) Familiar 1.4 i 75 cv,Gasolina
ma-49,CITROËN,fa-116,Berlingo,mo-478,(M49) (07/1996 - 12/2002),07/1996,12/2002,2484,CITROËN Berlingo,CITROËN Berlingo (M49) 1.8 D 60cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-478,(M49) (07/1996 - 12/2002),07/1996,12/2002,8701,CITROËN Berlingo,CITROËN Berlingo (M49) 1.9 D Furgón 71cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-478,(M49) (07/1996 - 12/2002),07/1996,12/2002,2481,CITROËN Berlingo,CITROËN Berlingo (M49) 1.4 i Furgón 75cv,Gasolina
ma-49,CITROËN,fa-116,Berlingo,mo-478,(M49) (07/1996 - 12/2002),07/1996,12/2002,1694,CITROËN Berlingo,CITROËN Berlingo (M49) 1.9 D Furgón 70cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-478,(M49) (07/1996 - 12/2002),07/1996,12/2002,2483,CITROËN Berlingo,CITROËN Berlingo (M49) 1.8 D Furgón 60cv,Diesel
ma-49,CITROËN,fa-116,Berlingo,mo-478,(M49) (07/1996 - 12/2002),07/1996,12/2002,46179,CITROËN Berlingo,CITROËN Berlingo (M49) 2.0 HDi suelo cabina 90 cv,Diesel
