"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","51826","CITROËN C3","CITROËN C3 III (B618) 1.6 BlueHDi S&S 99 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","51830","CITROËN C3","CITROËN C3 III (B618) 1.2 VTi PureTech 12V 68 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","51828","CITROËN C3","CITROËN C3 III (B618) 1.2 THP PureTech 12V EAT6 S&S 110 cv Caixa Automática","Essence"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","57739","CITROËN C3","CITROËN C3 III (B618) 1.2 VTi PureTech 12V GPL 82 cv","GPL"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","58930","CITROËN C3","CITROËN C3 III (B618) 1.6 VTi PureTech 16V S&S 115 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","63639","CITROËN C3","CITROËN C3 III (B618) 1.5 BlueHDi 16V BVM6 S&S 102 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","51829","CITROËN C3","CITROËN C3 III (B618) 1.2 THP PureTech 12V S&S 110 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","51827","CITROËN C3","CITROËN C3 III (B618) 1.6 BlueHDi S&S 75 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","64317","CITROËN C3","CITROËN C3 III (B618) 1.2 THP PureTech 12V BVM6 S&S 110 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","51831","CITROËN C3","CITROËN C3 III (B618) 1.2 VTi PureTech 12V 82 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","58928","CITROËN C3","CITROËN C3 III (B618) 1.5 BlueHDi 16V S&S 102 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-6364","III (B618) (07/2016 - 06/2020)","07/2016","06/2020","58929","CITROËN C3","CITROËN C3 III (B618) 1.2 VTi PureTech 12V 83 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","9624","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 i 16V Sensodrive S&S 90cv Caixa Automática","Essence"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","16454","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 i 16V 90 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","2653","CITROËN C3","CITROËN C3 I (FC/FN) 1.6 i 16V 110 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","1862","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 HDi 16V 90 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","1860","CITROËN C3","CITROËN C3 I (FC/FN) 1.1 i Entreprise 60 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","9623","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 i 75 cv Caixa Automática","Essence"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","9621","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 HDi Entreprise 70 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","2651","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 HDi 68 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","2650","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 HDi 16V Entreprise 90 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","16455","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 i 16V Sensodrive 90 cv Caixa Automática","Essence"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","45936","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 HDi 70 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","9622","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 i GNV Entreprise 68 cv","GPL"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","1864","CITROËN C3","CITROËN C3 I (FC/FN) 1.6 i 16V Sensodrive 110 cv Caixa Automática","Essence"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","27840","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 HDi Sensodrive 68 cv Caixa Automática","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","1861","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 HDi Entreprise 68 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","2649","CITROËN C3","CITROËN C3 I (FC/FN) 1.1 i 60 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","2652","CITROËN C3","CITROËN C3 I (FC/FN) 1.6 HDi 16V 90 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","1863","CITROËN C3","CITROËN C3 I (FC/FN) 1.4 i 75 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-518","I (FC/FN) (04/2002 - 10/2005)","04/2002","10/2005","33593","CITROËN C3","CITROËN C3 I (FC/FN) 1.6 i 16V 110 cv Caixa Automática","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","45937","CITROËN C3","CITROËN C3 II (A51) 1.2 e-VTi 12V 82 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","51620","CITROËN C3","CITROËN C3 II (A51) Entreprise 1.2 e-VTi PureTech 12V 82 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","68005","CITROËN C3","CITROËN C3 II (A51) Entreprise 1.6 HDi FAP Airdream 92 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","51615","CITROËN C3","CITROËN C3 II (A51) Entreprise 1.4 HDi FAP Airdream BMP5 S&S 68 cv Caixa Automática","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","45940","CITROËN C3","CITROËN C3 II (A51) 1.4 VTi 16V Airdream BMP5 (boîte pilotée) 95 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","37712","CITROËN C3","CITROËN C3 II (A51) 1.6 e-HDi FAP Airdream S&S 114 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","32747","CITROËN C3","CITROËN C3 II (A51) 1.6 HDi FAP Airdream S&S 92 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","51619","CITROËN C3","CITROËN C3 II (A51) Entreprise 1.6 e-HDi FAP Airdream S&S 92 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","33594","CITROËN C3","CITROËN C3 II (A51) 1.4 HDi FAP Airdream 68 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","48022","CITROËN C3","CITROËN C3 II (A51) 1.6 e-HDi FAP Airdream S&S 92 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","32745","CITROËN C3","CITROËN C3 II (A51) 1.4 i Airdream GPL 73 cv","GPL"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","30696","CITROËN C3","CITROËN C3 II (A51) 1.6 HDi 16V Airdream 90 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","30697","CITROËN C3","CITROËN C3 II (A51) 1.6 VTi 16V Airdream 120 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","51618","CITROËN C3","CITROËN C3 II (A51) Entreprise 1.6 e-HDi FAP Airdream BMP6 S&S 92 cv Caixa Automática","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","37164","CITROËN C3","CITROËN C3 II (A51) 1.2 VTi 12V 82 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","45943","CITROËN C3","CITROËN C3 II (A51) 1.2 THP PureTech 12V S&S 110 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","41868","CITROËN C3","CITROËN C3 II (A51) 1.2 e-VTi 12V ETG S&S 82 cv Caixa Automática","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","30692","CITROËN C3","CITROËN C3 II (A51) 1.1 i Airdream 60 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","31782","CITROËN C3","CITROËN C3 II (A51) 1.6 VTi 16V Airdream 120 cv Caixa Automática","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","51616","CITROËN C3","CITROËN C3 II (A51) Entreprise 1.4 HDi FAP Airdream 68 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","30694","CITROËN C3","CITROËN C3 II (A51) 1.4 i Airdream 75 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","32258","CITROËN C3","CITROËN C3 II (A51) 1.6 HDi FAP Airdream 112 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","48014","CITROËN C3","CITROËN C3 II (A51) 1.2 e-VTi PureTech 12V ETG S&S 82 cv","Essence"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","45941","CITROËN C3","CITROËN C3 II (A51) Entreprise 1.6 BlueHDi 99 cv","Diesel"
"ma-49","CITROËN","fa-122","C3","mo-4521","II (A51) (10/2009 - 07/2016)","10/2009","07/2016","51617","CITROËN C3","CITROËN C3 II (A51) Entreprise 1.4 i Airdream 73 cv","Essence"
