"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-398","CUPRA","fa-2340","Formentor","mo-7284"," (07/2020 - 04/2024)","07/2020","04/2024","64516","CUPRA Formentor","CUPRA Formentor V 1.5 TSI 16V GPF DSG7 150 cv Caixa Automática","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7284"," (07/2020 - 04/2024)","07/2020","04/2024","66030","CUPRA Formentor","CUPRA Formentor V 2.0 TDI 16V DPF 4Drive DSG7 150 cv Caixa Automática","Diesel"
"ma-398","CUPRA","fa-2340","Formentor","mo-7284"," (07/2020 - 04/2024)","07/2020","04/2024","66029","CUPRA Formentor","CUPRA Formentor V 2.0 TDI 16V DPF 150 cv","Diesel"
"ma-398","CUPRA","fa-2340","Formentor","mo-7284"," (07/2020 - 04/2024)","07/2020","04/2024","64520","CUPRA Formentor","CUPRA Formentor V e-Hybrid 1.4 TSI 16V GPF 204 Plug in Hybrid DSG6 150 cv Caixa Automática","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7284"," (07/2020 - 04/2024)","07/2020","04/2024","67255","CUPRA Formentor","CUPRA Formentor VZ5 2.5 TSI 20V GPF 4Drive DSG7 390 cv Caixa Automática","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7284"," (07/2020 - 04/2024)","07/2020","04/2024","64519","CUPRA Formentor","CUPRA Formentor VZ 2.0 TSI 16V GPF 4Drive DSG7 310 cv Caixa Automática","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7284"," (07/2020 - 04/2024)","07/2020","04/2024","64518","CUPRA Formentor","CUPRA Formentor V 2.0 TSI 16V GPF 4Drive DSG7 190 cv Caixa Automática","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7284"," (07/2020 - 04/2024)","07/2020","04/2024","66031","CUPRA Formentor","CUPRA Formentor VZ 2.0 TFSI 16V GPF DSG7 245 cv Caixa Automática","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7284"," (07/2020 - 04/2024)","07/2020","04/2024","64517","CUPRA Formentor","CUPRA Formentor V 1.5 TSI 16V GPF 150 cv","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7284"," (07/2020 - 04/2024)","07/2020","04/2024","64521","CUPRA Formentor","CUPRA Formentor VZ e-Hybrid 1.4 TSI 16V GPF 245 Plug n Hybrid DSG6 150 cv Caixa Automática","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7839","Phase 2 (05/2024 - Hoje)","05/2024","","70346","CUPRA Formentor","CUPRA Formentor Phase 2 VZ 2.0 TSI 16V 4Drive DSG7 333 cv Caixa Automática","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7839","Phase 2 (05/2024 - Hoje)","05/2024","","70344","CUPRA Formentor","CUPRA Formentor Phase 2 V 1.5 eTSI 16V DSG7 150 cv Caixa Automática","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7839","Phase 2 (05/2024 - Hoje)","05/2024","","70345","CUPRA Formentor","CUPRA Formentor Phase 2 VZ e-Hybrid 1.5 TSI 16V 272 Plug in Hybrid DSG6 177 cv Caixa Automática","Essence"
"ma-398","CUPRA","fa-2340","Formentor","mo-7839","Phase 2 (05/2024 - Hoje)","05/2024","","70347","CUPRA Formentor","CUPRA Formentor Phase 2 V 2.0 TDI 16V DSG7 150 cv Caixa Automática","Diesel"
"ma-398","CUPRA","fa-2335","Leon","mo-7283"," (09/2020 - 06/2024)","09/2020","06/2024","69556","CUPRA Leon","CUPRA Leon V Sportstourer 2.0 TDI 16V DSG7 150 cv Caixa Automática","Diesel"
