brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,37111,DACIA Sandero,DACIA Sandero 2 1.5 dCi eco2 75 cv,Diesel
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,37113,DACIA Sandero,DACIA Sandero 2 1.5 dCi eco2 90 cv,Diesel
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,37115,DACIA Sandero,DACIA Sandero 2 Stepway 0.9 TCe 12V eco2 90 cv,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,50098,DACIA Sandero,DACIA Sandero 2 1.5 dCi Easy R eco2 90 cv Transmisión automática,Diesel
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,49327,DACIA Sandero,DACIA Sandero 2 1.2 i 16V 73 cv,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,68002,DACIA Sandero,DACIA Sandero 2 Stepway 0.9 TCe 12V GPL eco2 90 cv,GPL
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,37109,DACIA Sandero,DACIA Sandero 2 1.2 i 16V 75 cv,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,50599,DACIA Sandero,DACIA Sandero 2 Stepway 0.9 TCe 12V Easy R 90 cv Transmisión automática,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,56342,DACIA Sandero,DACIA Sandero 2 Stepway 1.5 dCi Easy R eco2 90 cv Transmisión automática,Diesel
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,37108,DACIA Sandero,DACIA Sandero 2 0.9 TCe 12V eco2 90 cv,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,37114,DACIA Sandero,DACIA Sandero 2 1.6 i 82 cv,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,50097,DACIA Sandero,DACIA Sandero 2 0.9 TCe 12V Easy R eco2 90 cv Transmisión automática,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,37112,DACIA Sandero,DACIA Sandero 2 1.5 dCi eco2 86 cv,Diesel
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,53368,DACIA Sandero,DACIA Sandero 2 0.9 TCe GPL 12V eco2 90 cv,GPL
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,50600,DACIA Sandero,DACIA Sandero 2 Stepway 0.9 TCe 12V 90 cv,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,37110,DACIA Sandero,DACIA Sandero 2 1.2 i GPL 16V eco2 73 cv,GPL
ma-54,DACIA,fa-1741,Sandero,mo-5400,2 (10/2012 - 12/2016),10/2012,12/2016,37116,DACIA Sandero,DACIA Sandero 2 Stepway 1.5 dCi eco2 90 cv,Diesel
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,61392,DACIA Sandero,DACIA Sandero 2 fase 2 1.5 dCi S&S 95 cv,Diesel
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,56337,DACIA Sandero,DACIA Sandero 2 fase 2 Stepway 0.9 TCe 12V Easy R S&S 90 cv Transmisión automática,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,61394,DACIA Sandero,DACIA Sandero 2 fase 2 Stepway 1.5 dCi S&S 95 cv,Diesel
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,56338,DACIA Sandero,DACIA Sandero 2 fase 2 Stepway 0.9 TCe 12V S&S 90 cv,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,56334,DACIA Sandero,DACIA Sandero 2 fase 2 1.5 dCi Easy R S&S 90 cv Transmisión automática,Diesel
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,56333,DACIA Sandero,DACIA Sandero 2 fase 2 1.0 SCe 12V 73 cv,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,56332,DACIA Sandero,DACIA Sandero 2 fase 2 0.9 TCe GPL 12V S&S 90 cv,GPL
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,56339,DACIA Sandero,DACIA Sandero 2 fase 2 Stepway 0.9 TCe GPL 12V S&S 90 cv,GPL
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,56331,DACIA Sandero,DACIA Sandero 2 fase 2 0.9 TCe 12V S&S 90 cv,Gasolina
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,63618,DACIA Sandero,DACIA Sandero 2 fase 2 1.0 SCe 12V Hi-Flex 73 cv,Flex Fuel
ma-54,DACIA,fa-1741,Sandero,mo-6554,2 fase 2 (10/2016 - 11/2020),10/2016,11/2020,65065,DACIA Sandero,DACIA Sandero 2 fase 2 Stepway 1.0 SCe 12V 75 cv,Gasolina
