"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","33637","DACIA Sandero","DACIA Sandero 1.5 dCi FAP 75 cv","Diesel"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","33638","DACIA Sandero","DACIA Sandero 1.6 MPI 84 cv","Essence"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","30718","DACIA Sandero","DACIA Sandero 1.4 MPI GPL eco2 72 cv","GPL"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","31706","DACIA Sandero","DACIA Sandero Stepway 1.6 MPI 87 cv","Essence"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","31336","DACIA Sandero","DACIA Sandero 1.6 MPI Bioéthanol 87 cv","Flex Fuel"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","32294","DACIA Sandero","DACIA Sandero 1.5 dCi FAP eco2 90 cv","Diesel"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","36185","DACIA Sandero","DACIA Sandero Stepway 1.6 MPI 16V Bioéthanol eco2 105 cv","Flex Fuel"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","36184","DACIA Sandero","DACIA Sandero Stepway 1.5 dCi FAP 90 cv","Diesel"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","29942","DACIA Sandero","DACIA Sandero 1.5 dCi eco2 70 cv","Diesel"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","63617","DACIA Sandero","DACIA Sandero 1.6 MPI GPL 84 cv","GPL"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","41526","DACIA Sandero","DACIA Sandero 1.6 MPI 16V Bioéthanol eco2 105 cv","Flex Fuel"
"ma-54","DACIA","fa-1741","Sandero","mo-3328"," (06/2008 - 10/2012)","06/2008","10/2012","34909","DACIA Sandero","DACIA Sandero 1.2 i 16V GPL 73 cv","GPL"
