"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-55","DAEWOO","fa-167","Lanos","mo-5154","(T100) 5p (09/1997 - 07/2005)","09/1997","07/2005","2171","DAEWOO Lanos","DAEWOO Lanos (T100) 5p 1.5 i 86cv Caixa Automática","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5154","(T100) 5p (09/1997 - 07/2005)","09/1997","07/2005","59444","DAEWOO Lanos","DAEWOO Lanos (T100) 5p 1.5 i 16V 99 cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5154","(T100) 5p (09/1997 - 07/2005)","09/1997","07/2005","12019","DAEWOO Lanos","DAEWOO Lanos (T100) 5p 1.5 i 86cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5154","(T100) 5p (09/1997 - 07/2005)","09/1997","07/2005","18261","DAEWOO Lanos","DAEWOO Lanos (T100) 5p 1.6 i 16V 106cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5154","(T100) 5p (09/1997 - 07/2005)","09/1997","07/2005","2170","DAEWOO Lanos","DAEWOO Lanos (T100) 5p 1.3 i 75cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5154","(T100) 5p (09/1997 - 07/2005)","09/1997","07/2005","18262","DAEWOO Lanos","DAEWOO Lanos (T100) 5p 1.6 i 16V 106cv Caixa Automática","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5153","(T100) 3p (09/1997 - 07/2005)","09/1997","07/2005","35749","DAEWOO Lanos","DAEWOO Lanos (T100) 3p 1.5 i 86 cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5153","(T100) 3p (09/1997 - 07/2005)","09/1997","07/2005","35751","DAEWOO Lanos","DAEWOO Lanos (T100) 3p 1.6 i 16V 106 cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5153","(T100) 3p (09/1997 - 07/2005)","09/1997","07/2005","35748","DAEWOO Lanos","DAEWOO Lanos (T100) 3p 1.5 i 86 cv Caixa Automática","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5153","(T100) 3p (09/1997 - 07/2005)","09/1997","07/2005","35747","DAEWOO Lanos","DAEWOO Lanos (T100) 3p 1.3 i 75 cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5153","(T100) 3p (09/1997 - 07/2005)","09/1997","07/2005","35750","DAEWOO Lanos","DAEWOO Lanos (T100) 3p 1.6 i 16V 106 cv Caixa Automática","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5155","(T100) Berline 4p (09/1997 - 07/2005)","09/1997","07/2005","3171","DAEWOO Lanos","DAEWOO Lanos (T100) Berline 4p 1.3 i Berline 75cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5155","(T100) Berline 4p (09/1997 - 07/2005)","09/1997","07/2005","2172","DAEWOO Lanos","DAEWOO Lanos (T100) Berline 4p 1.5 i Berline 86cv Caixa Automática","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5155","(T100) Berline 4p (09/1997 - 07/2005)","09/1997","07/2005","58364","DAEWOO Lanos","DAEWOO Lanos (T100) Berline 4p 1.5 i 16V 99 cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5155","(T100) Berline 4p (09/1997 - 07/2005)","09/1997","07/2005","12021","DAEWOO Lanos","DAEWOO Lanos (T100) Berline 4p 1.6 i 16V Berline 106cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5155","(T100) Berline 4p (09/1997 - 07/2005)","09/1997","07/2005","12020","DAEWOO Lanos","DAEWOO Lanos (T100) Berline 4p 1.5 i Berline 86cv","Essence"
"ma-55","DAEWOO","fa-167","Lanos","mo-5155","(T100) Berline 4p (09/1997 - 07/2005)","09/1997","07/2005","2173","DAEWOO Lanos","DAEWOO Lanos (T100) Berline 4p 1.6 i 16V Berline 106cv Caixa Automática","Essence"
"ma-55","DAEWOO","fa-170","Matiz","mo-1335","Phase 2 (M100) (10/2000 - 01/2005)","10/2000","01/2005","12089","DAEWOO Matiz","DAEWOO Matiz Phase 2 (M100) 1.0 i 64cv","Essence"
