"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-57","DAIHATSU","fa-200","Terios","mo-2050"," (03/1997 - 04/2006)","03/1997","04/2006","12146","DAIHATSU Terios","DAIHATSU Terios 1.3 i Break 86cv","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2050"," (03/1997 - 04/2006)","03/1997","04/2006","12145","DAIHATSU Terios","DAIHATSU Terios 1.3 i Break 81cv","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2050"," (03/1997 - 04/2006)","03/1997","04/2006","25032","DAIHATSU Terios","DAIHATSU Terios 1.3 i 4x4 Break 87cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2050"," (03/1997 - 04/2006)","03/1997","04/2006","24817","DAIHATSU Terios","DAIHATSU Terios 1.3 i 4x4 Break 87cv","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2050"," (03/1997 - 04/2006)","03/1997","04/2006","19498","DAIHATSU Terios","DAIHATSU Terios 1.3 i Break 81cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2050"," (03/1997 - 04/2006)","03/1997","04/2006","19499","DAIHATSU Terios","DAIHATSU Terios 1.3 i Break 86cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2051","2 (05/2006 - 01/2013)","05/2006","01/2013","12147","DAIHATSU Terios","DAIHATSU Terios 2 1.5 VVT Break 105cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2051","2 (05/2006 - 01/2013)","05/2006","01/2013","24554","DAIHATSU Terios","DAIHATSU Terios 2 1.5 16V VVT 4x4 Break 105cv","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2051","2 (05/2006 - 01/2013)","05/2006","01/2013","37374","DAIHATSU Terios","DAIHATSU Terios 2 1.5 VVT 2WD Break 16V 102 cv","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2051","2 (05/2006 - 01/2013)","05/2006","01/2013","37375","DAIHATSU Terios","DAIHATSU Terios 2 1.5 VVT 4WD Break 16V 102 cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2051","2 (05/2006 - 01/2013)","05/2006","01/2013","19500","DAIHATSU Terios","DAIHATSU Terios 2 1.3 VVT 4WD Break 86cv","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2051","2 (05/2006 - 01/2013)","05/2006","01/2013","37373","DAIHATSU Terios","DAIHATSU Terios 2 1.5 VVT 2WD Break 16V 102 cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2051","2 (05/2006 - 01/2013)","05/2006","01/2013","24818","DAIHATSU Terios","DAIHATSU Terios 2 1.5 16V VVT 4x4 Break 105cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2051","2 (05/2006 - 01/2013)","05/2006","01/2013","2364","DAIHATSU Terios","DAIHATSU Terios 2 1.5 VVT Break 105cv","Essence"
"ma-57","DAIHATSU","fa-200","Terios","mo-2051","2 (05/2006 - 01/2013)","05/2006","01/2013","37376","DAIHATSU Terios","DAIHATSU Terios 2 1.5 VVT 4WD Break 16V 102 cv","Essence"
"ma-57","DAIHATSU","fa-187","Feroza","mo-958"," (10/1988 - 12/1997)","10/1988","12/1997","2349","DAIHATSU Feroza","DAIHATSU Feroza 1.6 i 16V Cabriolet 95cv","Essence"
"ma-57","DAIHATSU","fa-187","Feroza","mo-958"," (10/1988 - 12/1997)","10/1988","12/1997","2348","DAIHATSU Feroza","DAIHATSU Feroza 1.6 16V Cabriolet 86cv","Essence"
"ma-57","DAIHATSU","fa-187","Feroza","mo-958"," (10/1988 - 12/1997)","10/1988","12/1997","2350","DAIHATSU Feroza","DAIHATSU Feroza 1.6 i Wagon 16V Break 95cv","Essence"
"ma-57","DAIHATSU","fa-187","Feroza","mo-958"," (10/1988 - 12/1997)","10/1988","12/1997","3351","DAIHATSU Feroza","DAIHATSU Feroza 1.6 Wagon 16V Break 86cv","Essence"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1729","(F7) (04/1984 - 04/1993)","04/1984","04/1993","12142","DAIHATSU Rocky","DAIHATSU Rocky (F7) 2.8 D 4WD Break Baché 73cv","Diesel"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1729","(F7) (04/1984 - 04/1993)","04/1984","04/1993","19491","DAIHATSU Rocky","DAIHATSU Rocky (F7) 2.8 D 4WD Break 73cv","Diesel"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1729","(F7) (04/1984 - 04/1993)","04/1984","04/1993","2359","DAIHATSU Rocky","DAIHATSU Rocky (F7) 2.0 4WD Pickup long 87cv","Essence"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1729","(F7) (04/1984 - 04/1993)","04/1984","04/1993","3370","DAIHATSU Rocky","DAIHATSU Rocky (F7) 2.2 4WD Break 93cv","Essence"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1729","(F7) (04/1984 - 04/1993)","04/1984","04/1993","19492","DAIHATSU Rocky","DAIHATSU Rocky (F7) 2.8 TD 4x4 Break 102cv","Diesel"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1729","(F7) (04/1984 - 04/1993)","04/1984","04/1993","3371","DAIHATSU Rocky","DAIHATSU Rocky (F7) 2.8 D 4WD Pickup long 73cv","Diesel"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1729","(F7) (04/1984 - 04/1993)","04/1984","04/1993","2360","DAIHATSU Rocky","DAIHATSU Rocky (F7) 2.8 TD 4WD Break baché 102cv","Diesel"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1729","(F7) (04/1984 - 04/1993)","04/1984","04/1993","2358","DAIHATSU Rocky","DAIHATSU Rocky (F7) 2.0 4WD Break 87cv","Essence"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1728"," (05/1993 - 06/2001)","05/1993","06/2001","3368","DAIHATSU Rocky","DAIHATSU Rocky 2.8 D 4WD Break 73cv","Diesel"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1728"," (05/1993 - 06/2001)","05/1993","06/2001","3369","DAIHATSU Rocky","DAIHATSU Rocky 2.8 TD 4WD Break 102cv","Diesel"
"ma-57","DAIHATSU","fa-196","Rocky","mo-1728"," (05/1993 - 06/2001)","05/1993","06/2001","19490","DAIHATSU Rocky","DAIHATSU Rocky 2.2 4WD Break 93cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","3344","DAIHATSU Charade","DAIHATSU Charade 1.3 i 90cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","12126","DAIHATSU Charade","DAIHATSU Charade 1.3 i Berline 90cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","2336","DAIHATSU Charade","DAIHATSU Charade 1.0 D 37cv","Diesel"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","24581","DAIHATSU Charade","DAIHATSU Charade 1.3 i 4x4 84cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","12125","DAIHATSU Charade","DAIHATSU Charade 1.3 90cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","2338","DAIHATSU Charade","DAIHATSU Charade 1.0 TD 48cv","Diesel"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","18302","DAIHATSU Charade","DAIHATSU Charade 1.3 i Berline 90cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","3341","DAIHATSU Charade","DAIHATSU Charade 1.0 52cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","2335","DAIHATSU Charade","DAIHATSU Charade 1.0 D 37cv","Diesel"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","3342","DAIHATSU Charade","DAIHATSU Charade 1.0 Turbo 68cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","3340","DAIHATSU Charade","DAIHATSU Charade 1.0 52cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","2337","DAIHATSU Charade","DAIHATSU Charade 1.0 i 100cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","2339","DAIHATSU Charade","DAIHATSU Charade 1.3 90cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","3343","DAIHATSU Charade","DAIHATSU Charade 1.0 i 56cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-610"," (02/1987 - 01/1993)","02/1987","01/1993","3345","DAIHATSU Charade","DAIHATSU Charade 1.3 i 90cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-609","(G200/1/2/3/4) (03/1993 - 03/2001)","03/1993","03/2001","2332","DAIHATSU Charade","DAIHATSU Charade (G200/1/2/3/4) 1.0 52cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-609","(G200/1/2/3/4) (03/1993 - 03/2001)","03/1993","03/2001","2334","DAIHATSU Charade","DAIHATSU Charade (G200/1/2/3/4) 1.3 i 16V 84cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-609","(G200/1/2/3/4) (03/1993 - 03/2001)","03/1993","03/2001","3337","DAIHATSU Charade","DAIHATSU Charade (G200/1/2/3/4) 1.3 i 84cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-609","(G200/1/2/3/4) (03/1993 - 03/2001)","03/1993","03/2001","12122","DAIHATSU Charade","DAIHATSU Charade (G200/1/2/3/4) 1.6 i GTI 105cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-609","(G200/1/2/3/4) (03/1993 - 03/2001)","03/1993","03/2001","12121","DAIHATSU Charade","DAIHATSU Charade (G200/1/2/3/4) 1.5 i 16V 90cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-609","(G200/1/2/3/4) (03/1993 - 03/2001)","03/1993","03/2001","2333","DAIHATSU Charade","DAIHATSU Charade (G200/1/2/3/4) 1.3 i 84cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-609","(G200/1/2/3/4) (03/1993 - 03/2001)","03/1993","03/2001","27858","DAIHATSU Charade","DAIHATSU Charade (G200/1/2/3/4) 1.5 i Berline 90 cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-609","(G200/1/2/3/4) (03/1993 - 03/2001)","03/1993","03/2001","12120","DAIHATSU Charade","DAIHATSU Charade (G200/1/2/3/4) 1.3 i 16V 84cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-609","(G200/1/2/3/4) (03/1993 - 03/2001)","03/1993","03/2001","18301","DAIHATSU Charade","DAIHATSU Charade (G200/1/2/3/4) 1.5 i 16V 90cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-612","(G11/30) (02/1983 - 12/1986)","02/1983","12/1986","3335","DAIHATSU Charade","DAIHATSU Charade (G11/30) 1.0 D 37cv","Diesel"
"ma-57","DAIHATSU","fa-182","Charade","mo-612","(G11/30) (02/1983 - 12/1986)","02/1983","12/1986","3336","DAIHATSU Charade","DAIHATSU Charade (G11/30) 1.0 D 37cv","Diesel"
"ma-57","DAIHATSU","fa-182","Charade","mo-612","(G11/30) (02/1983 - 12/1986)","02/1983","12/1986","18298","DAIHATSU Charade","DAIHATSU Charade (G11/30) 1.0 Turbo 68cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-612","(G11/30) (02/1983 - 12/1986)","02/1983","12/1986","18297","DAIHATSU Charade","DAIHATSU Charade (G11/30) 1.0 52cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-612","(G11/30) (02/1983 - 12/1986)","02/1983","12/1986","2330","DAIHATSU Charade","DAIHATSU Charade (G11/30) 1.0 TD 45cv","Diesel"
"ma-57","DAIHATSU","fa-182","Charade","mo-612","(G11/30) (02/1983 - 12/1986)","02/1983","12/1986","12119","DAIHATSU Charade","DAIHATSU Charade (G11/30) 1.0 52cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-5065"," (06/2011 - Hoje)","06/2011","","33641","DAIHATSU Charade","DAIHATSU Charade 1.3 VVTi 99 16V 99 cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-5065"," (06/2011 - Hoje)","06/2011","","33642","DAIHATSU Charade","DAIHATSU Charade 1.3 VVTi 99 16V MMT 99 cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-611","(G10/20) (01/1978 - 12/1982)","01/1978","12/1982","18299","DAIHATSU Charade","DAIHATSU Charade (G10/20) 1.0 52cv","Essence"
"ma-57","DAIHATSU","fa-182","Charade","mo-611","(G10/20) (01/1978 - 12/1982)","01/1978","12/1982","18300","DAIHATSU Charade","DAIHATSU Charade (G10/20) 1.0 52cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-197","Sirion","mo-1899","II (02/2005 - 01/2013)","02/2005","01/2013","35211","DAIHATSU Sirion","DAIHATSU Sirion II 1.3 i 16V 91 cv","Essence"
"ma-57","DAIHATSU","fa-197","Sirion","mo-1899","II (02/2005 - 01/2013)","02/2005","01/2013","35212","DAIHATSU Sirion","DAIHATSU Sirion II 1.3 i 4WD 16V 91 cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-197","Sirion","mo-1899","II (02/2005 - 01/2013)","02/2005","01/2013","27905","DAIHATSU Sirion","DAIHATSU Sirion II Sporty 1.5 i VVT 103 cv","Essence"
"ma-57","DAIHATSU","fa-197","Sirion","mo-1899","II (02/2005 - 01/2013)","02/2005","01/2013","25028","DAIHATSU Sirion","DAIHATSU Sirion II 1.3 i 4x4 87cv","Essence"
"ma-57","DAIHATSU","fa-197","Sirion","mo-1899","II (02/2005 - 01/2013)","02/2005","01/2013","35210","DAIHATSU Sirion","DAIHATSU Sirion II 1.3 i 16V 91 cv Caixa Automática","Essence"
"ma-57","DAIHATSU","fa-197","Sirion","mo-1899","II (02/2005 - 01/2013)","02/2005","01/2013","3372","DAIHATSU Sirion","DAIHATSU Sirion II 1.0 i 69cv","Essence"
"ma-57","DAIHATSU","fa-197","Sirion","mo-1899","II (02/2005 - 01/2013)","02/2005","01/2013","19493","DAIHATSU Sirion","DAIHATSU Sirion II 1.3 i 16V 87cv","Essence"
"ma-57","DAIHATSU","fa-197","Sirion","mo-1899","II (02/2005 - 01/2013)","02/2005","01/2013","27906","DAIHATSU Sirion","DAIHATSU Sirion II Sporty 1.5 i VVT 103 cv Caixa Automática","Essence"
