brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,69171,DAIMLER XJ,DAIMLER XJ Six 4.0 24V 241 cv,Gasolina
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,27549,DAIMLER XJ,DAIMLER XJ Sovereign 3.6 185 cv,Gasolina
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,69168,DAIMLER XJ,DAIMLER XJ Sovereign 3.6 24V 185 cv Transmisión automática,Gasolina
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,37829,DAIMLER XJ,DAIMLER XJ 4.0 4.0 i Berlina 226 cv Transmisión automática,Gasolina
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,37828,DAIMLER XJ,DAIMLER XJ 3.6 3.6 Berlina 224 cv,Gasolina
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,28925,DAIMLER XJ,DAIMLER XJ Doble Six 6.0 Berlina 311 cv Transmisión automática,Gasolina
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,69170,DAIMLER XJ,DAIMLER XJ 3.6 24V 212 cv,Gasolina
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,69172,DAIMLER XJ,DAIMLER XJ Doble Six 5.3 24V 289 cv Transmisión automática,Gasolina
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,28926,DAIMLER XJ,DAIMLER XJ Doble Six 6.0 Berlina 311 cv Transmisión automática,Gasolina
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,28928,DAIMLER XJ,DAIMLER XJ Six 4.0 Berlina 363 cv Transmisión automática,Gasolina
ma-261,DAIMLER,fa-1748,XJ,mo-3336, (01/1973 - 10/2002),01/1973,10/2002,35634,DAIMLER XJ,DAIMLER XJ 3.6 3.6 Berlina 224 cv Transmisión automática,Gasolina
