"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-256","DODGE","fa-1946","Journey","mo-3667"," (06/2008 - 05/2011)","06/2008","05/2011","29993","DODGE Journey","DODGE Journey 2.0 CRD DCT FAP - 7 places 140 cv Caixa Automática","Diesel"
"ma-256","DODGE","fa-1946","Journey","mo-3667"," (06/2008 - 05/2011)","06/2008","05/2011","69175","DODGE Journey","DODGE Journey 2.7 i 24V 186 cv","Essence"
"ma-256","DODGE","fa-1946","Journey","mo-3667"," (06/2008 - 05/2011)","06/2008","05/2011","33645","DODGE Journey","DODGE Journey 3.5 i V6 24V 235 cv Caixa Automática","Essence"
"ma-256","DODGE","fa-1946","Journey","mo-3667"," (06/2008 - 05/2011)","06/2008","05/2011","33644","DODGE Journey","DODGE Journey 2.4 i 16V Eco+ 170 cv","GPL"
"ma-256","DODGE","fa-1946","Journey","mo-3667"," (06/2008 - 05/2011)","06/2008","05/2011","33646","DODGE Journey","DODGE Journey 3.5 i V6 24V AWD 235 cv Caixa Automática","Essence"
"ma-256","DODGE","fa-1946","Journey","mo-3667"," (06/2008 - 05/2011)","06/2008","05/2011","29994","DODGE Journey","DODGE Journey 2.0 CRD FAP - 5 places 140 cv","Diesel"
"ma-256","DODGE","fa-1946","Journey","mo-3667"," (06/2008 - 05/2011)","06/2008","05/2011","29992","DODGE Journey","DODGE Journey 2.0 CRD DCT FAP - 5 places 140 cv Caixa Automática","Diesel"
"ma-256","DODGE","fa-1946","Journey","mo-3667"," (06/2008 - 05/2011)","06/2008","05/2011","29995","DODGE Journey","DODGE Journey 2.0 CRD FAP - 7 places 140 cv","Diesel"
"ma-256","DODGE","fa-1946","Journey","mo-3667"," (06/2008 - 05/2011)","06/2008","05/2011","29996","DODGE Journey","DODGE Journey 2.4 i 16V 173 cv","Essence"
"ma-256","DODGE","fa-1946","Journey","mo-3667"," (06/2008 - 05/2011)","06/2008","05/2011","29998","DODGE Journey","DODGE Journey 2.7 i V6 24V FlexFuel 186 cv","Flex Fuel"
