brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-264,FERRARI,fa-2134,458,mo-5673, (09/2009 - Hoje),09/2009,,56345,FERRARI 458,FERRARI 458 Italia 4.5 V8 Coupé 32V 600 cv,Essence
ma-264,FERRARI,fa-2134,458,mo-5673, (09/2009 - Hoje),09/2009,,41726,FERRARI 458,FERRARI 458 Italia 4.5 V8 Coupé 570 cv,Essence
ma-264,FERRARI,fa-2134,458,mo-5674,Spider (09/2011 - Hoje),09/2011,,58074,FERRARI 458,FERRARI 458 Spider 4.5 V8 Coupé Cabriolet 32V 600 cv,Essence
ma-264,FERRARI,fa-2134,458,mo-5674,Spider (09/2011 - Hoje),09/2011,,41727,FERRARI 458,FERRARI 458 Spider 4.5 V8 Coupé Cabriolet 570 cv,Essence
ma-264,FERRARI,fa-2164,California,mo-5955, (05/2008 - Hoje),05/2008,,46442,FERRARI California,FERRARI California 4.3 V8 Coupé Cabriolet 32V F1 490 cv Caixa Automática,Essence
ma-264,FERRARI,fa-2164,California,mo-5955, (05/2008 - Hoje),05/2008,,46443,FERRARI California,FERRARI California 3.9 T V8 Coupé Cabriolet 32V F1 560 cv Caixa Automática,Essence
ma-264,FERRARI,fa-2164,California,mo-5955, (05/2008 - Hoje),05/2008,,46441,FERRARI California,FERRARI California 4.3 V8 Coupé Cabriolet 32V F1 460 cv Caixa Automática,Essence
ma-264,FERRARI,fa-2142,360,mo-5709,F1 (03/1999 - 03/2005),03/1999,03/2005,27470,FERRARI 360,FERRARI 360 F1 3.6 400 cv,Essence
ma-264,FERRARI,fa-2142,360,mo-5709,F1 (03/1999 - 03/2005),03/1999,03/2005,27128,FERRARI 360,FERRARI 360 F1 360 F1 400 cv,Essence
ma-264,FERRARI,fa-1272,348,mo-3343, (09/1989 - 05/1994),09/1989,05/1994,27471,FERRARI 348,FERRARI 348 3.4 TB 300 cv,Essence
ma-264,FERRARI,fa-1272,348,mo-3343, (09/1989 - 05/1994),09/1989,05/1994,27160,FERRARI 348,FERRARI 348 3.4 320 cv,Essence
ma-264,FERRARI,fa-1272,348,mo-3343, (09/1989 - 05/1994),09/1989,05/1994,27490,FERRARI 348,FERRARI 348 3.4 TS 300 cv,Essence
ma-264,FERRARI,fa-1272,348,mo-3343, (09/1989 - 05/1994),09/1989,05/1994,27351,FERRARI 348,FERRARI 348 3.4 320 cv,Essence
ma-264,FERRARI,fa-1272,348,mo-3343, (09/1989 - 05/1994),09/1989,05/1994,48747,FERRARI 348,FERRARI 348 3.4 Cabriolet 32V 320 cv,Essence
ma-264,FERRARI,fa-1332,F430,mo-3079,Spider (05/2005 - Hoje),05/2005,,27570,FERRARI F430,FERRARI F430 Spider 4.3 490 cv,Essence
ma-264,FERRARI,fa-1332,F430,mo-5676,Spider (05/2005 - 12/2009),05/2005,12/2009,41730,FERRARI F430,FERRARI F430 Spider 4.3 V8 Cabriolet Spider F1 486 cv Caixa Automática,Essence
ma-264,FERRARI,fa-1332,F430,mo-5676,Spider (05/2005 - 12/2009),05/2005,12/2009,41731,FERRARI F430,FERRARI F430 Spider 4.3 V8 Cabriolet Spider 486 cv,Essence
ma-264,FERRARI,fa-1332,F430,mo-3078,Coupé (03/2005 - Hoje),03/2005,,27344,FERRARI F430,FERRARI F430 Coupé 4.3 V8 490 cv,Essence
ma-264,FERRARI,fa-1332,F430,mo-5675,Coupé (10/2004 - 12/2009),10/2004,12/2009,41729,FERRARI F430,FERRARI F430 Coupé 4.3 V8 486 cv,Essence
ma-264,FERRARI,fa-1332,F430,mo-5675,Coupé (10/2004 - 12/2009),10/2004,12/2009,41728,FERRARI F430,FERRARI F430 Coupé 4.3 V8 F1 486 cv Caixa Automática,Essence
ma-264,FERRARI,fa-1332,F430,mo-5675,Coupé (10/2004 - 12/2009),10/2004,12/2009,56343,FERRARI F430,FERRARI F430 Coupé 4.3 V8 32V F1 506 cv Caixa Automática,Essence
ma-264,FERRARI,fa-1753,308,mo-3341, (08/1973 - 10/1985),08/1973,10/1985,60202,FERRARI 308,FERRARI 308 GTBi 2.9i 215 cv,Essence
ma-264,FERRARI,fa-1753,308,mo-3341, (08/1973 - 10/1985),08/1973,10/1985,27173,FERRARI 308,FERRARI 308 GTS 2.9 255 cv,Essence
ma-264,FERRARI,fa-1753,308,mo-3341, (08/1973 - 10/1985),08/1973,10/1985,27202,FERRARI 308,FERRARI 308 Dino GT4/GT4 2.9 255 cv,Essence
ma-264,FERRARI,fa-1753,308,mo-3341, (08/1973 - 10/1985),08/1973,10/1985,60203,FERRARI 308,FERRARI 308 GTSi 2.9i 215 cv,Essence
ma-264,FERRARI,fa-1753,308,mo-3341, (08/1973 - 10/1985),08/1973,10/1985,27255,FERRARI 308,FERRARI 308 GTB 2.9 255 cv,Essence
ma-264,FERRARI,fa-1753,308,mo-3341, (08/1973 - 10/1985),08/1973,10/1985,27541,FERRARI 308,FERRARI 308 GTS 2.9 Qv 240 cv,Essence
ma-264,FERRARI,fa-1753,308,mo-3341, (08/1973 - 10/1985),08/1973,10/1985,28930,FERRARI 308,FERRARI 308 GTB 2.9 Qv 240 cv,Essence
ma-264,FERRARI,fa-1361,MODENA,mo-3126,360 MODENA (F131) (03/1999 - Hoje),03/1999,,27513,FERRARI MODENA,FERRARI MODENA 360 MODENA (F131) Challenge Stradale 425 cv,Essence
ma-264,FERRARI,fa-1317,DINO,mo-3055,GT (206/246) (02/1969 - 10/1973),02/1969,10/1973,27107,FERRARI DINO,FERRARI DINO GT (206/246) 206 180 cv,Essence
ma-264,FERRARI,fa-1317,DINO,mo-3055,GT (206/246) (02/1969 - 10/1973),02/1969,10/1973,27311,FERRARI DINO,FERRARI DINO GT (206/246) 246 195 cv,Essence
ma-264,FERRARI,fa-1317,DINO,mo-3056,GT4 (208/308) (02/1973 - 06/1980),02/1973,06/1980,27119,FERRARI DINO,FERRARI DINO GT4 (208/308) 208 170 cv,Essence
ma-264,FERRARI,fa-1317,DINO,mo-3057,GTS (206/246) (04/1972 - 10/1973),04/1972,10/1973,27433,FERRARI DINO,FERRARI DINO GTS (206/246) 246 195 cv,Essence
ma-264,FERRARI,fa-2238,488,mo-6640,GTB (04/2015 - Hoje),04/2015,,57403,FERRARI 488,FERRARI 488 GTB 3.9 V8 Coupé 32V 670 cv,Essence
ma-264,FERRARI,fa-2319,SF90,mo-7187, (06/2020 - Hoje),06/2020,,65676,FERRARI SF90,FERRARI SF90 Stradale Spider 4.0 i 32V 1000 PHEV 4WD F1 781 cv Caixa Automática,Essence
ma-264,FERRARI,fa-2319,SF90,mo-7187, (06/2020 - Hoje),06/2020,,65675,FERRARI SF90,FERRARI SF90 Stradale Coupé 4.0 i 32V 1000 PHEV 4WD F1 781 cv Caixa Automática,Essence
ma-264,FERRARI,fa-2170,FF,mo-6011, (06/2011 - Hoje),06/2011,,46766,FERRARI FF,FERRARI FF 6.3 i V12 Coupé 48V 660 cv,Essence
ma-264,FERRARI,fa-2261,PORTOFINO,mo-6757, (08/2017 - Hoje),08/2017,,58714,FERRARI PORTOFINO,FERRARI PORTOFINO 3.9 600 cv,Essence
ma-264,FERRARI,fa-1761,Mondial,mo-3349, (03/1980 - 09/1994),03/1980,09/1994,28945,FERRARI Mondial,FERRARI Mondial Mondial t 3.4 Coupé 300 cv,Essence
ma-264,FERRARI,fa-1761,Mondial,mo-3349, (03/1980 - 09/1994),03/1980,09/1994,27601,FERRARI Mondial,FERRARI Mondial 8 Quattrovalvole 240 cv,Essence
ma-264,FERRARI,fa-1761,Mondial,mo-3349, (03/1980 - 09/1994),03/1980,09/1994,28942,FERRARI Mondial,FERRARI Mondial Mondial t 3.0 Cabriolet 239 cv,Essence
