"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-76","FIAT","fa-234","Punto","mo-1645","(188) (07/1999 - 06/2003)","07/1999","06/2003","12484","FIAT Punto","FIAT Punto (188) 1.2 i 16V CVT 80cv Caixa Automática","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1645","(188) (07/1999 - 06/2003)","07/1999","06/2003","12485","FIAT Punto","FIAT Punto (188) HGT 1.8 i 16V 130cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1645","(188) (07/1999 - 06/2003)","07/1999","06/2003","12483","FIAT Punto","FIAT Punto (188) 1.2 i 16V 80cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1645","(188) (07/1999 - 06/2003)","07/1999","06/2003","3971","FIAT Punto","FIAT Punto (188) 1.9 D 60cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1645","(188) (07/1999 - 06/2003)","07/1999","06/2003","3970","FIAT Punto","FIAT Punto (188) 1.9 D Fourgon 60cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1645","(188) (07/1999 - 06/2003)","07/1999","06/2003","12486","FIAT Punto","FIAT Punto (188) 1.9 JTD 85cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1645","(188) (07/1999 - 06/2003)","07/1999","06/2003","2877","FIAT Punto","FIAT Punto (188) 1.9 JTD 80cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1645","(188) (07/1999 - 06/2003)","07/1999","06/2003","3969","FIAT Punto","FIAT Punto (188) 1.2 i 60cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1645","(188) (07/1999 - 06/2003)","07/1999","06/2003","3972","FIAT Punto","FIAT Punto (188) 1.9 JTD Fourgon 85cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1645","(188) (07/1999 - 06/2003)","07/1999","06/2003","3968","FIAT Punto","FIAT Punto (188) 1.2 i Fourgon 60cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","3976","FIAT Punto","FIAT Punto (176) 1.7 D 58cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","3975","FIAT Punto","FIAT Punto (176) 1.4 i GT Turbo 136cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","19717","FIAT Punto","FIAT Punto (176) 1.2 i 75cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","19718","FIAT Punto","FIAT Punto (176) 1.4 i GT Turbo 131cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","2881","FIAT Punto","FIAT Punto (176) 1.2 i 16V 85cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","2882","FIAT Punto","FIAT Punto (176) 1.2 i 60cv Selecta Caixa Automática","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","12554","FIAT Punto","FIAT Punto (176) 1.7 TD 70cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","19715","FIAT Punto","FIAT Punto (176) 1.1 i 54cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","12553","FIAT Punto","FIAT Punto (176) 1.7 TD Société 71cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","3974","FIAT Punto","FIAT Punto (176) 1.2 i 58 cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","19720","FIAT Punto","FIAT Punto (176) 1.7 TD 63cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","2883","FIAT Punto","FIAT Punto (176) 1.7 TD 72cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","12489","FIAT Punto","FIAT Punto (176) 1.6 i 90cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","63320","FIAT Punto","FIAT Punto (176) 1.2 i 60 cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1642","(176) (07/1993 - 09/1999)","07/1993","09/1999","2880","FIAT Punto","FIAT Punto (176) 1.1 i 55cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","29305","FIAT Punto","FIAT Punto (188) Phase 2 1.2 i Selespeed 60 cv Caixa Automática","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","19708","FIAT Punto","FIAT Punto (188) Phase 2 1.2 i Bipower 60cv","Flex Fuel"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","3965","FIAT Punto","FIAT Punto (188) Phase 2 Van 1.3 JTD 70cv","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","3964","FIAT Punto","FIAT Punto (188) Phase 2 Van 1.2 i Bipower 60cv","Flex Fuel"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","30017","FIAT Punto","FIAT Punto (188) Phase 2 Van 1.3 JTD Selespeed 70 cv Caixa Automática","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","19707","FIAT Punto","FIAT Punto (188) Phase 2 1.2 i 16V 80cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","29307","FIAT Punto","FIAT Punto (188) Phase 2 1.3 JTD Selespeed 70 cv Caixa Automática","Diesel"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","37862","FIAT Punto","FIAT Punto (188) Phase 2 1.2 i Dualogic 60 cv Caixa Automática","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","37861","FIAT Punto","FIAT Punto (188) Phase 2 1.2 i 16V Speedgear 80 cv Caixa Automática","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","12478","FIAT Punto","FIAT Punto (188) Phase 2 1.4 i 95cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","19709","FIAT Punto","FIAT Punto (188) Phase 2 HGT 1.8 i 16V 130cv","Essence"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","31812","FIAT Punto","FIAT Punto (188) Phase 2 1.2 i GPL 60 cv","GPL"
"ma-76","FIAT","fa-234","Punto","mo-1646","(188) Phase 2 (07/2003 - 11/2010)","07/2003","11/2010","2875","FIAT Punto","FIAT Punto (188) Phase 2 1.2 i 60cv","Essence"
