brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,32055,FORD Fiesta,FORD Fiesta VI 5 portes 1.6 TDCi 16V FAP ECOnetic 90 cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,29590,FORD Fiesta,FORD Fiesta VI 5 portes 1.4 TDCi 68 cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,29588,FORD Fiesta,FORD Fiesta VI 5 portes 1.4 i 16V 96 cv Boîte auto,Essence
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,31404,FORD Fiesta,FORD Fiesta VI 5 portes 1.4 i 16V Flexifuel 96 cv Boîte auto,Flex Fuel
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,29587,FORD Fiesta,FORD Fiesta VI 5 portes 1.4 i 16V 96 cv,Essence
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,29586,FORD Fiesta,FORD Fiesta VI 5 portes 1.25 i 16V 82 cv,Essence
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,43780,FORD Fiesta,FORD Fiesta VI 5 portes 1.4 TDCi FAP 70 cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,43781,FORD Fiesta,FORD Fiesta VI 5 portes 1.6 TDCi FAP ECOnetic 95 cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,29591,FORD Fiesta,FORD Fiesta VI 5 portes 1.6 TDCi 16V FAP 90 cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,33196,FORD Fiesta,FORD Fiesta VI 5 portes 1.6 TDCi FAP 95 cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,31405,FORD Fiesta,FORD Fiesta VI 5 portes 1.4 i 16V Flexifuel 96 cv,Flex Fuel
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,63608,FORD Fiesta,FORD Fiesta VI 5 portes 1.6 TDCi 16V DPF 75 cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,29585,FORD Fiesta,FORD Fiesta VI 5 portes 1.25 i 16V 60 cv,Essence
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,33195,FORD Fiesta,FORD Fiesta VI 5 portes 1.6 TDCi 16V 90 cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-4548,VI 5 portes (10/2008 - 05/2013),10/2008,05/2013,29589,FORD Fiesta,FORD Fiesta VI 5 portes 1.6 Ti VCT 120 cv,Essence
ma-77,FORD,fa-258,Fiesta,mo-965,V Phase 2 (10/2005 - 11/2008),10/2005,11/2008,58084,FORD Fiesta,FORD Fiesta V Phase 2 Van 1.6 TDCi 16V 90 cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-965,V Phase 2 (10/2005 - 11/2008),10/2005,11/2008,3412,FORD Fiesta,FORD Fiesta V Phase 2 1.6 i 16V 101 cv Boîte auto,Essence
ma-77,FORD,fa-258,Fiesta,mo-965,V Phase 2 (10/2005 - 11/2008),10/2005,11/2008,28983,FORD Fiesta,FORD Fiesta V Phase 2 1.2 i 16V 75 cv,Essence
ma-77,FORD,fa-258,Fiesta,mo-965,V Phase 2 (10/2005 - 11/2008),10/2005,11/2008,3410,FORD Fiesta,FORD Fiesta V Phase 2 1.3 i 60cv,Essence
ma-77,FORD,fa-258,Fiesta,mo-965,V Phase 2 (10/2005 - 11/2008),10/2005,11/2008,19911,FORD Fiesta,FORD Fiesta V Phase 2 ST 2.0 i 16V 150cv,Essence
ma-77,FORD,fa-258,Fiesta,mo-965,V Phase 2 (10/2005 - 11/2008),10/2005,11/2008,19910,FORD Fiesta,FORD Fiesta V Phase 2 1.6 TDCi 16V 90cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-965,V Phase 2 (10/2005 - 11/2008),10/2005,11/2008,19909,FORD Fiesta,FORD Fiesta V Phase 2 1.4 i 16V Durashift (boîte pilotée) 80 cv,Essence
ma-77,FORD,fa-258,Fiesta,mo-965,V Phase 2 (10/2005 - 11/2008),10/2005,11/2008,12800,FORD Fiesta,FORD Fiesta V Phase 2 1.4 TDCi 68cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-965,V Phase 2 (10/2005 - 11/2008),10/2005,11/2008,30565,FORD Fiesta,FORD Fiesta V Phase 2 Van 1.4 TDCi 68 cv,Diesel
ma-77,FORD,fa-258,Fiesta,mo-965,V Phase 2 (10/2005 - 11/2008),10/2005,11/2008,19908,FORD Fiesta,FORD Fiesta V Phase 2 1.3 i 70cv,Essence
