brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-269,FORD USA,fa-1770,Probe,mo-3374, (10/1992 - 12/1997),10/1992,12/1997,27436,FORD USA Probe,FORD USA Probe 2.5 V6 24V 162 cv,Gasolina
ma-269,FORD USA,fa-1770,Probe,mo-3374, (10/1992 - 12/1997),10/1992,12/1997,28183,FORD USA Probe,FORD USA Probe 2.0 i Coupe 115 cv,Gasolina
ma-269,FORD USA,fa-1770,Probe,mo-3141,II (ECP) (07/1993 - 03/1998),07/1993,03/1998,27340,FORD USA Probe,FORD USA Probe II (ECP) 2.5 V6 24V 163 cv,Gasolina
ma-269,FORD USA,fa-1770,Probe,mo-3142,I (08/1988 - 07/1993),08/1988,07/1993,27572,FORD USA Probe,FORD USA Probe I 3.0 V6 141 cv,Gasolina
ma-269,FORD USA,fa-1770,Probe,mo-3142,I (08/1988 - 07/1993),08/1988,07/1993,27590,FORD USA Probe,FORD USA Probe I 2.2 112 cv,Gasolina
ma-269,FORD USA,fa-1770,Probe,mo-3142,I (08/1988 - 07/1993),08/1988,07/1993,27588,FORD USA Probe,FORD USA Probe I 2.2 GT 147 cv,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6368,VI coupe (05/2014 - 02/2018),05/2014,02/2018,63803,FORD USA MUSTANG,FORD USA MUSTANG VI coupe 3.7 i V6 24V 304 cv,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6368,VI coupe (05/2014 - 02/2018),05/2014,02/2018,52330,FORD USA MUSTANG,FORD USA MUSTANG VI coupe 2.3 Ti EcoBoost 24V 309 cv,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6368,VI coupe (05/2014 - 02/2018),05/2014,02/2018,63802,FORD USA MUSTANG,FORD USA MUSTANG VI coupe 3.7 i V6 24V Automatic 304 cv Transmisión automática,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6368,VI coupe (05/2014 - 02/2018),05/2014,02/2018,52329,FORD USA MUSTANG,FORD USA MUSTANG VI coupe 2.3 Ti EcoBoost 24V 309 cv Transmisión automática,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6368,VI coupe (05/2014 - 02/2018),05/2014,02/2018,52332,FORD USA MUSTANG,FORD USA MUSTANG VI coupe 5.0 i V8 24V 419 cv,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6368,VI coupe (05/2014 - 02/2018),05/2014,02/2018,52331,FORD USA MUSTANG,FORD USA MUSTANG VI coupe 5.0 i V8 24V 421 cv Transmisión automática,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6766,VI Fase 2 Coupe (02/2018 - Hoy),02/2018,,68356,FORD USA MUSTANG,FORD USA MUSTANG VI Fase 2 Coupe Bullitt 5.0 V8 32V 460 cv,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6766,VI Fase 2 Coupe (02/2018 - Hoy),02/2018,,59041,FORD USA MUSTANG,FORD USA MUSTANG VI Fase 2 Coupe 2.3 Ti EcoBoost 24V 290 cv Transmisión automática,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6766,VI Fase 2 Coupe (02/2018 - Hoy),02/2018,,59042,FORD USA MUSTANG,FORD USA MUSTANG VI Fase 2 Coupe 2.3 Ti EcoBoost 24V 290 cv,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6766,VI Fase 2 Coupe (02/2018 - Hoy),02/2018,,59043,FORD USA MUSTANG,FORD USA MUSTANG VI Fase 2 Coupe 5.0 i V8 24V 450 cv Transmisión automática,Gasolina
ma-269,FORD USA,fa-1365,MUSTANG,mo-6766,VI Fase 2 Coupe (02/2018 - Hoy),02/2018,,59044,FORD USA MUSTANG,FORD USA MUSTANG VI Fase 2 Coupe 5.0 i V8 32V 450 cv,Gasolina
