brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,38165,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.6 CRDi 16V Blue Drive 110 cv,Diesel
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,38163,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.6 CRDi 16V 128 cv Transmisión automática,Diesel
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,38160,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.4 CRDi 16V Blue Drive 90 cv,Diesel
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,38167,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.6 i 16V 118 cv,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,38162,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.6 CRDi 16V 110 cv Transmisión automática,Diesel
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,39033,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.6 GDi 16V 135 cv,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,39035,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.6 GDi 16V 129 cv,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,38161,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.4 i 16V 100 cv,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,39032,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.6 GDi 16V 135 cv Transmisión automática,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,38164,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.6 CRDi 16V 128 cv,Diesel
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,38166,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.6 i 16V 118 cv Transmisión automática,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-5389,II (CZE) HB (03/2012 - 05/2015),03/2012,05/2015,39034,HYUNDAI i30,HYUNDAI i30 II (CZE) HB 1.6 GDi 16V 129 cv Transmisión automática,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,56777,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.6 CRDi 16V (D4FB) DCT7 S&S 136 cv Transmisión automática,Diesel
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,56774,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.4 T-GDi 16V S&S 140 cv,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,59847,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.4 T-GDi 16V GPF DCT7 S&S 140 cv Transmisión automática,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,59848,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.4 T-GDi 16V GPF S&S 140 cv,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,59002,HYUNDAI i30,HYUNDAI i30 III Hatchback N 2.0 T-GDi 16V 250 cv,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,59849,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.6 CRDi 16V DCT7 S&S 116 cv Transmisión automática,Diesel
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,59846,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.4 MPi 16V S&S 100 cv,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,62338,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.6 CRDi 16V mHEV DCT7 S&S 136 cv Transmisión automática,Diesel
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,62337,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.0 T-GDi 12V mHEV S&S 120 cv,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,56773,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.4 T-GDi 16V DCT7 S&S 140 cv Transmisión automática,Gasolina
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,56779,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.6 CRDi 16V S&S 95 cv,Diesel
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,56775,HYUNDAI i30,HYUNDAI i30 III Hatchback 1.6 CRDi 16V DCT7 S&S 110 cv Transmisión automática,Diesel
ma-100,HYUNDAI,fa-317,i30,mo-6600,III Hatchback (03/2017 - 01/2021),03/2017,01/2021,59003,HYUNDAI i30,HYUNDAI i30 III Hatchback N Performance 2.0 T-GDi 16V 275 cv,Gasolina
