brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-302,INFINITI,fa-1951,FX,mo-3672,QX70/FX (07/2008 - 07/2013),07/2008,07/2013,29931,INFINITI FX,INFINITI FX QX70/FX FX35 3.5 i V6 AWD SUV 24V Auto-S7 303 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-1951,FX,mo-3672,QX70/FX (07/2008 - 07/2013),07/2008,07/2013,31548,INFINITI FX,INFINITI FX QX70/FX FX37 3.7 i V6 AWD 24V Auto-S7 320 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-1951,FX,mo-3672,QX70/FX (07/2008 - 07/2013),07/2008,07/2013,31549,INFINITI FX,INFINITI FX QX70/FX FX50 5.0 i V8 AWD RAS 32V Auto-S7 390 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-1951,FX,mo-3672,QX70/FX (07/2008 - 07/2013),07/2008,07/2013,32371,INFINITI FX,INFINITI FX QX70/FX FX30 3.0 d V6 AWD RAS 24V Auto-S7 238 cv Transmisión automática,Diesel
ma-302,INFINITI,fa-1951,FX,mo-5979,QX70(S51) (08/2013 - 08/2018),08/2013,08/2018,46448,INFINITI FX,INFINITI FX QX70(S51) 5.0 i V8 AWD RAS 32V Auto-S7 390 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-1951,FX,mo-5979,QX70(S51) (08/2013 - 08/2018),08/2013,08/2018,46446,INFINITI FX,INFINITI FX QX70(S51) 3.0 d DPF V6 AWD RAS 24V Auto-S7 238 cv Transmisión automática,Diesel
ma-302,INFINITI,fa-1951,FX,mo-5979,QX70(S51) (08/2013 - 08/2018),08/2013,08/2018,46447,INFINITI FX,INFINITI FX QX70(S51) 3.7 i V8 AWD RAS 24V Auto-S7 320 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-1951,FX,mo-5980, (01/2003 - 12/2008),01/2003,12/2008,56087,INFINITI FX,INFINITI FX FX45 4.5 i V8 AWD 32V 315 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-1951,FX,mo-5980, (01/2003 - 12/2008),01/2003,12/2008,56086,INFINITI FX,INFINITI FX FX35 3.5 i V6 AWD 24V 280 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-2120,Q50,mo-5565, (06/2013 - 03/2020),06/2013,03/2020,56082,INFINITI Q50,INFINITI Q50 S 3.0 t V6 berlina 24V 405 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-2120,Q50,mo-5565, (06/2013 - 03/2020),06/2013,03/2020,40634,INFINITI Q50,INFINITI Q50 HYBRID 3.5 i V6-Hybrid-364 AWD Berlina 24V 306 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-2120,Q50,mo-5565, (06/2013 - 03/2020),06/2013,03/2020,48592,INFINITI Q50,INFINITI Q50 2.0 Turbo Berlina 16V 211 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-2120,Q50,mo-5565, (06/2013 - 03/2020),06/2013,03/2020,40632,INFINITI Q50,INFINITI Q50 2.2 D Berlina 16V 170 cv Transmisión automática,Diesel
ma-302,INFINITI,fa-2120,Q50,mo-5565, (06/2013 - 03/2020),06/2013,03/2020,40633,INFINITI Q50,INFINITI Q50 2.2 D Berlina 16V 170 cv,Diesel
ma-302,INFINITI,fa-2120,Q50,mo-5565, (06/2013 - 03/2020),06/2013,03/2020,40635,INFINITI Q50,INFINITI Q50 HYBRID 3.5 i V6-Hybrid-364 Berlina 24V 306 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-2120,Q50,mo-5565, (06/2013 - 03/2020),06/2013,03/2020,56081,INFINITI Q50,INFINITI Q50 S 3.0 t V6 AWD berlina 24V 405 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-2189,Q30,mo-6253, (10/2015 - 03/2020),10/2015,03/2020,56079,INFINITI Q30,INFINITI Q30 2.0 t 16V 7DCT 211 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-2189,Q30,mo-6253, (10/2015 - 03/2020),10/2015,03/2020,49121,INFINITI Q30,INFINITI Q30 2.0 t AWD 16V 7DCT 211 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-2189,Q30,mo-6253, (10/2015 - 03/2020),10/2015,03/2020,49120,INFINITI Q30,INFINITI Q30 1.6 t 16V 122 cv,Gasolina
ma-302,INFINITI,fa-2189,Q30,mo-6253, (10/2015 - 03/2020),10/2015,03/2020,56078,INFINITI Q30,INFINITI Q30 1.6 t 156 16V 7G-DCT 156 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-2189,Q30,mo-6253, (10/2015 - 03/2020),10/2015,03/2020,49122,INFINITI Q30,INFINITI Q30 2.2 D AWD 16V 7DCT 170 cv Transmisión automática,Diesel
ma-302,INFINITI,fa-2189,Q30,mo-6253, (10/2015 - 03/2020),10/2015,03/2020,56077,INFINITI Q30,INFINITI Q30 1.5 D 16V 7G-DCT 109 cv Transmisión automática,Diesel
ma-302,INFINITI,fa-2189,Q30,mo-6253, (10/2015 - 03/2020),10/2015,03/2020,56080,INFINITI Q30,INFINITI Q30 2.2 D 16V 7DCT 170 cv Transmisión automática,Diesel
ma-302,INFINITI,fa-2189,Q30,mo-6253, (10/2015 - 03/2020),10/2015,03/2020,49119,INFINITI Q30,INFINITI Q30 1.5 D 16V 109 cv,Diesel
ma-302,INFINITI,fa-1952,G25/G37/G35,mo-3741,G37 Coupe (10/2007 - 05/2014),10/2007,05/2014,31550,INFINITI G25/G37/G35,INFINITI G25/G37/G35 G37 Coupe 3.7 i V6 24V 320 cv,Gasolina
ma-302,INFINITI,fa-1952,G25/G37/G35,mo-3741,G37 Coupe (10/2007 - 05/2014),10/2007,05/2014,29933,INFINITI G25/G37/G35,INFINITI G25/G37/G35 G37 Coupe 3.7 i V6 24V 320 cv Transmisión automática,Gasolina
ma-302,INFINITI,fa-1952,G25/G37/G35,mo-4569,G37 Sedan (06/2008 - 12/2014),06/2008,12/2014,31884,INFINITI G25/G37/G35,INFINITI G25/G37/G35 G37 Sedan 3.7 i V6 Berlina 24V Auto-S7 320 cv Transmisión automática,Gasolina
