"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-302","INFINITI","fa-2189","Q30","mo-6253"," (10/2015 - 03/2020)","10/2015","03/2020","56079","INFINITI Q30","INFINITI Q30 2.0 T 16V 7DCT 211 cv Caixa Automática","Essence"
"ma-302","INFINITI","fa-2189","Q30","mo-6253"," (10/2015 - 03/2020)","10/2015","03/2020","49120","INFINITI Q30","INFINITI Q30 1.6 T 16V 122 cv","Essence"
"ma-302","INFINITI","fa-2189","Q30","mo-6253"," (10/2015 - 03/2020)","10/2015","03/2020","49122","INFINITI Q30","INFINITI Q30 2.2 D 16V AWD 7DCT 170 cv Caixa Automática","Diesel"
"ma-302","INFINITI","fa-2189","Q30","mo-6253"," (10/2015 - 03/2020)","10/2015","03/2020","56080","INFINITI Q30","INFINITI Q30 2.2 D 16V 7DCT 170 cv Caixa Automática","Diesel"
"ma-302","INFINITI","fa-2189","Q30","mo-6253"," (10/2015 - 03/2020)","10/2015","03/2020","56078","INFINITI Q30","INFINITI Q30 1.6 T 16V 7G-DCT 156 cv Caixa Automática","Essence"
"ma-302","INFINITI","fa-2189","Q30","mo-6253"," (10/2015 - 03/2020)","10/2015","03/2020","56077","INFINITI Q30","INFINITI Q30 1.5 D 16V 7G-DCT 109 cv Caixa Automática","Diesel"
"ma-302","INFINITI","fa-2189","Q30","mo-6253"," (10/2015 - 03/2020)","10/2015","03/2020","49119","INFINITI Q30","INFINITI Q30 1.5 D 16V 109 cv","Diesel"
"ma-302","INFINITI","fa-2189","Q30","mo-6253"," (10/2015 - 03/2020)","10/2015","03/2020","49121","INFINITI Q30","INFINITI Q30 2.0 T 16V AWD 7DCT 211 cv Caixa Automática","Essence"
"ma-302","INFINITI","fa-1951","QX70/FX","mo-3672","FX (S51) (07/2008 - 07/2013)","07/2008","07/2013","31548","INFINITI QX70/FX","INFINITI QX70/FX FX (S51) 37 3.7 i V6 24V AWD Auto-S7 320 cv Caixa Automática","Essence"
"ma-302","INFINITI","fa-1951","QX70/FX","mo-3672","FX (S51) (07/2008 - 07/2013)","07/2008","07/2013","29931","INFINITI QX70/FX","INFINITI QX70/FX FX (S51) 35 3.5 i V6 24V AWD Auto-S7 307 cv Caixa Automática","Essence"
"ma-302","INFINITI","fa-1951","QX70/FX","mo-3672","FX (S51) (07/2008 - 07/2013)","07/2008","07/2013","31549","INFINITI QX70/FX","INFINITI QX70/FX FX (S51) 50 5.0 i V8 32V AWD Auto-S7 390 cv Caixa Automática","Essence"
"ma-302","INFINITI","fa-1951","QX70/FX","mo-3672","FX (S51) (07/2008 - 07/2013)","07/2008","07/2013","32371","INFINITI QX70/FX","INFINITI QX70/FX FX (S51) 30d 3.0 d V6 24V AWD Auto-S7 238 cv Caixa Automática","Diesel"
"ma-302","INFINITI","fa-1951","QX70/FX","mo-5980","FX (01/2003 - 12/2008)","01/2003","12/2008","56086","INFINITI QX70/FX","INFINITI QX70/FX FX 35 3.5 i V6 24V AWD 280 cv Caixa Automática","Essence"
"ma-302","INFINITI","fa-1951","QX70/FX","mo-5980","FX (01/2003 - 12/2008)","01/2003","12/2008","56087","INFINITI QX70/FX","INFINITI QX70/FX FX 45 4.5 i V8 32V AWD 315 cv Caixa Automática","Essence"
"ma-302","INFINITI","fa-1951","QX70/FX","mo-5979","QX70 (S51) (08/2013 - 08/2018)","08/2013","08/2018","46448","INFINITI QX70/FX","INFINITI QX70/FX QX70 (S51) 50 5.0 i V8 32V AWD Auto-S7 390 cv Caixa Automática","Essence"
