"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-105","ISUZU","fa-351","Trooper","mo-2117","(UBS) (02/1981 - 12/1997)","02/1981","12/1997","6065","ISUZU Trooper","ISUZU Trooper (UBS) 2600 i Pickup 122cv","Gasolina"
"ma-105","ISUZU","fa-351","Trooper","mo-2117","(UBS) (02/1981 - 12/1997)","02/1981","12/1997","29022","ISUZU Trooper","ISUZU Trooper (UBS) 2.2 D 4WD Familiar entoldado 61 cv","Diesel"
"ma-105","ISUZU","fa-351","Trooper","mo-2117","(UBS) (02/1981 - 12/1997)","02/1981","12/1997","4172","ISUZU Trooper","ISUZU Trooper (UBS) 3.1 TD Familiar 114cv","Diesel"
"ma-105","ISUZU","fa-351","Trooper","mo-2117","(UBS) (02/1981 - 12/1997)","02/1981","12/1997","29021","ISUZU Trooper","ISUZU Trooper (UBS) 2.2 D 4WD Familiar 61 cv","Diesel"
"ma-105","ISUZU","fa-351","Trooper","mo-2117","(UBS) (02/1981 - 12/1997)","02/1981","12/1997","15022","ISUZU Trooper","ISUZU Trooper (UBS) 2300 Wagon Familiar 96cv","Gasolina"
"ma-105","ISUZU","fa-351","Trooper","mo-2117","(UBS) (02/1981 - 12/1997)","02/1981","12/1997","32373","ISUZU Trooper","ISUZU Trooper (UBS) 2.2 TD 4WD Familiar entoldado 72 cv","Diesel"
"ma-105","ISUZU","fa-351","Trooper","mo-2117","(UBS) (02/1981 - 12/1997)","02/1981","12/1997","4173","ISUZU Trooper","ISUZU Trooper (UBS) 3.2 i V6 Familiar 177cv","Gasolina"
"ma-105","ISUZU","fa-351","Trooper","mo-2117","(UBS) (02/1981 - 12/1997)","02/1981","12/1997","6067","ISUZU Trooper","ISUZU Trooper (UBS) 2800 TD Wagon Familiar 97cv","Diesel"
"ma-105","ISUZU","fa-351","Trooper","mo-2117","(UBS) (02/1981 - 12/1997)","02/1981","12/1997","6068","ISUZU Trooper","ISUZU Trooper (UBS) 2800 TDid Intercooler Familiar 108cv","Diesel"
"ma-105","ISUZU","fa-351","Trooper","mo-2117","(UBS) (02/1981 - 12/1997)","02/1981","12/1997","15024","ISUZU Trooper","ISUZU Trooper (UBS) 2600 i Wagon Familiar 122cv","Gasolina"
