brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,15098,IVECO Daily,IVECO Daily 99 Furgón 35S15V15 2.8 TD Furgón 146cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,63023,IVECO Daily,IVECO Daily 99 Furgón 29L14V12 2.3 TD furgón mediano 136 cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,63024,IVECO Daily,IVECO Daily 99 Furgón 29L14V9 2.3 TD furgón corto 136 cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,6190,IVECO Daily,IVECO Daily 99 Furgón 35S15V17 2.8 TD Furgón 146cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,63035,IVECO Daily,IVECO Daily 99 Furgón 35S17 3.0 TD furgón largo sobre-elevado 166 cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,51192,IVECO Daily,IVECO Daily 99 Furgón 35S9V12 2.8 D mediano capota rigida 90 cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,15091,IVECO Daily,IVECO Daily 99 Furgón 35S12V12 2.3 TD Furgón 116cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,4311,IVECO Daily,IVECO Daily 99 Furgón 35C9V15 2.8 D Furgón 85cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,6116,IVECO Daily,IVECO Daily 99 Furgón 35C13V8 2.8 TD Furgón 125cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,4394,IVECO Daily,IVECO Daily 99 Furgón 50C13V15 2.8 TD Furgón 125cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,6188,IVECO Daily,IVECO Daily 99 Furgón 35S13V15 2.8 TD Furgón 125cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,20498,IVECO Daily,IVECO Daily 99 Furgón 35S13V10 2.8 TD Furgón 125cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,15101,IVECO Daily,IVECO Daily 99 Furgón 35S9V13 2.8 D Furgón 85cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,6106,IVECO Daily,IVECO Daily 99 Furgón 29L11V8 2.8 TD Furgón 105cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,15107,IVECO Daily,IVECO Daily 99 Furgón 50C15V17 2.8 TD Furgón 146cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,4299,IVECO Daily,IVECO Daily 99 Furgón 35C11V15 2.8 TD Furgón 105cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,4309,IVECO Daily,IVECO Daily 99 Furgón 35C15V17 2.8 TD Furgón 146cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,4286,IVECO Daily,IVECO Daily 99 Furgón 29L10V9 2.3 TD Furgón 96cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,20491,IVECO Daily,IVECO Daily 99 Furgón 35C9V13 2.8 D Furgón 85cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,15066,IVECO Daily,IVECO Daily 99 Furgón 29L12V9 2.3 TD Furgón 116cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,20500,IVECO Daily,IVECO Daily 99 Furgón 35S9V17 2.8 D Furgón 85cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,4298,IVECO Daily,IVECO Daily 99 Furgón 35C11V12 2.8 TD Furgón 105cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,6187,IVECO Daily,IVECO Daily 99 Furgón 35S13V13 2.8 TD Furgón 125cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,6196,IVECO Daily,IVECO Daily 99 Furgón 35S9V8 2.8 D Furgón 85cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,20468,IVECO Daily,IVECO Daily 99 Furgón 29L10V7 2.3 TD Furgón 96cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,6203,IVECO Daily,IVECO Daily 99 Furgón 65C15V17 2.8 TD Furgón 146cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,15103,IVECO Daily,IVECO Daily 99 Furgón 50C11V12 2.8 TD Furgón 105cv,Diesel
ma-107,IVECO,fa-352,Daily,mo-5248,99 Furgón (05/1999 - 04/2006),05/1999,04/2006,4312,IVECO Daily,IVECO Daily 99 Furgón 35C9V8 2.8 D Furgón 85cv,Diesel
