"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","51182","IVECO Daily","IVECO Daily III Châssis Cabine 35C9D 2.8 D Châssis double cabine moyen 90 cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","4295","IVECO Daily","IVECO Daily III Châssis Cabine 35C11 2.8 TD Châssis cabine moyen 105cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","20496","IVECO Daily","IVECO Daily III Châssis Cabine 35S12D 2.3 TD Châssis double cabine moyen 116cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","15106","IVECO Daily","IVECO Daily III Châssis Cabine 50C15D 2.8 TD Châssis double cabine moyen 146cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","15102","IVECO Daily","IVECO Daily III Châssis Cabine 50C11 2.8 TD Châssis cabine long 105cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","6200","IVECO Daily","IVECO Daily III Châssis Cabine 50C13 2.8 TD Châssis cabine long 125cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","4301","IVECO Daily","IVECO Daily III Châssis Cabine 35C12 2.3 TD Châssis cabine long 116cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","6119","IVECO Daily","IVECO Daily III Châssis Cabine 35S10D 2.3 TD Châssis double cabine moyen 96cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","20479","IVECO Daily","IVECO Daily III Châssis Cabine 35C11 2.8 TD Châssis cabine long 105cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","43984","IVECO Daily","IVECO Daily III Châssis Cabine 35C17 3.0 TD Châssis cabine long 166 cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","4285","IVECO Daily","IVECO Daily III Châssis Cabine 29L10D 2.3 TD Châssis double cabine moyen 96cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","15105","IVECO Daily","IVECO Daily III Châssis Cabine 50C15 2.8 TD Châssis cabine long 146cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","6117","IVECO Daily","IVECO Daily III Châssis Cabine 35C15 2.8 TD Châssis cabine long 146cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","20474","IVECO Daily","IVECO Daily III Châssis Cabine 29L12 2.3 TD Châssis cabine court 116cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","6193","IVECO Daily","IVECO Daily III Châssis Cabine 35S9D 2.8 D Châssis double cabine court 85cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","6105","IVECO Daily","IVECO Daily III Châssis Cabine 29L11D 2.8 TD Châssis Double cabine moyen 105cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","51184","IVECO Daily","IVECO Daily III Châssis Cabine 35S9 2.8 D Châssis cabine moyen 90 cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","20475","IVECO Daily","IVECO Daily III Châssis Cabine 29L12D 2.3 TD Châssis double cabine moyen 116cv","Diesel"
"ma-107","IVECO","fa-352","Daily","mo-5249","III Châssis Cabine (05/1999 - 04/2006)","05/1999","04/2006","4392","IVECO Daily","IVECO Daily III Châssis Cabine 50C11D 2.8 TD Châssis double cabine moyen 105cv","Diesel"
