"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-108","JAGUAR","fa-1789","XF","mo-3398","(X250) Berline (08/2007 - 05/2012)","08/2007","05/2012","31431","JAGUAR XF","JAGUAR XF (X250) Berline 3.0 D V6 24V 240 cv Caixa Automática","Diesel"
"ma-108","JAGUAR","fa-1789","XF","mo-3398","(X250) Berline (08/2007 - 05/2012)","08/2007","05/2012","28060","JAGUAR XF","JAGUAR XF (X250) Berline 2.7 D V6 24V 207 cv Caixa Automática","Diesel"
"ma-108","JAGUAR","fa-1789","XF","mo-3398","(X250) Berline (08/2007 - 05/2012)","08/2007","05/2012","31432","JAGUAR XF","JAGUAR XF (X250) Berline 3.0 DS V6 24V 275 cv Caixa Automática","Diesel"
"ma-108","JAGUAR","fa-1789","XF","mo-3398","(X250) Berline (08/2007 - 05/2012)","08/2007","05/2012","31433","JAGUAR XF","JAGUAR XF (X250) Berline 5.0 i V8 32V 385 cv Caixa Automática","Essence"
"ma-108","JAGUAR","fa-1789","XF","mo-3398","(X250) Berline (08/2007 - 05/2012)","08/2007","05/2012","28063","JAGUAR XF","JAGUAR XF (X250) Berline SV8 4.2 i V8 32V Compresseur 416 cv Caixa Automática","Essence"
"ma-108","JAGUAR","fa-1789","XF","mo-3398","(X250) Berline (08/2007 - 05/2012)","08/2007","05/2012","31434","JAGUAR XF","JAGUAR XF (X250) Berline XFR 5.0 i V8 32V 510 cv Caixa Automática","Essence"
"ma-108","JAGUAR","fa-1789","XF","mo-3398","(X250) Berline (08/2007 - 05/2012)","08/2007","05/2012","40750","JAGUAR XF","JAGUAR XF (X250) Berline 3.0 D V6 24V 211 cv Caixa Automática","Diesel"
"ma-108","JAGUAR","fa-1789","XF","mo-3398","(X250) Berline (08/2007 - 05/2012)","08/2007","05/2012","28062","JAGUAR XF","JAGUAR XF (X250) Berline 4.2 i V8 32V 298 cv Caixa Automática","Essence"
"ma-108","JAGUAR","fa-1789","XF","mo-3398","(X250) Berline (08/2007 - 05/2012)","08/2007","05/2012","28061","JAGUAR XF","JAGUAR XF (X250) Berline 3.0 i V6 24V 238 cv Caixa Automática","Essence"
"ma-108","JAGUAR","fa-1789","XF","mo-5394","(X250) Berline Phase 2 (05/2011 - 03/2015)","05/2011","03/2015","35635","JAGUAR XF","JAGUAR XF (X250) Berline Phase 2 2.2 D 16V 190 cv Caixa Automática","Diesel"
"ma-108","JAGUAR","fa-1789","XF","mo-5394","(X250) Berline Phase 2 (05/2011 - 03/2015)","05/2011","03/2015","40751","JAGUAR XF","JAGUAR XF (X250) Berline Phase 2 3.0 S/C V6 24V 4WD 340 cv Caixa Automática","Essence"
"ma-108","JAGUAR","fa-1789","XF","mo-5394","(X250) Berline Phase 2 (05/2011 - 03/2015)","05/2011","03/2015","37384","JAGUAR XF","JAGUAR XF (X250) Berline Phase 2 XFR 5.0 S/C V8 32V 510 cv Caixa Automática","Essence"
"ma-108","JAGUAR","fa-1789","XF","mo-5394","(X250) Berline Phase 2 (05/2011 - 03/2015)","05/2011","03/2015","35636","JAGUAR XF","JAGUAR XF (X250) Berline Phase 2 3.0 D 24V 240 cv Caixa Automática","Diesel"
"ma-108","JAGUAR","fa-1789","XF","mo-5394","(X250) Berline Phase 2 (05/2011 - 03/2015)","05/2011","03/2015","37385","JAGUAR XF","JAGUAR XF (X250) Berline Phase 2 XFR-S 5.0 S/C V8 32V 550 cv Caixa Automática","Essence"
"ma-108","JAGUAR","fa-1789","XF","mo-5394","(X250) Berline Phase 2 (05/2011 - 03/2015)","05/2011","03/2015","37383","JAGUAR XF","JAGUAR XF (X250) Berline Phase 2 3.0 S/C V6 24V 340 cv Caixa Automática","Essence"
