brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-109,JEEP,fa-362,Grand Cherokee,mo-1049,III (WH) (06/2005 - 03/2008),06/2005,03/2008,15137,JEEP Grand Cherokee,JEEP Grand Cherokee III (WH) SRT8 6.1 i V8 4WD 426 cv Transmisión automática,Gasolina
ma-109,JEEP,fa-362,Grand Cherokee,mo-1049,III (WH) (06/2005 - 03/2008),06/2005,03/2008,20540,JEEP Grand Cherokee,JEEP Grand Cherokee III (WH) 4.7 i V8 4WD 231 cv Transmisión automática,Gasolina
ma-109,JEEP,fa-362,Grand Cherokee,mo-1049,III (WH) (06/2005 - 03/2008),06/2005,03/2008,4425,JEEP Grand Cherokee,JEEP Grand Cherokee III (WH) 5.7 i V8 4WD 326 cv Transmisión automática,Gasolina
ma-109,JEEP,fa-362,Grand Cherokee,mo-1049,III (WH) (06/2005 - 03/2008),06/2005,03/2008,6236,JEEP Grand Cherokee,JEEP Grand Cherokee III (WH) 3.0 CRD 24V 4WD 218 cv Transmisión automática,Diesel
ma-109,JEEP,fa-362,Grand Cherokee,mo-1049,III (WH) (06/2005 - 03/2008),06/2005,03/2008,28097,JEEP Grand Cherokee,JEEP Grand Cherokee III (WH) 3.7 V6 12V 4WD 214 cv Transmisión automática,Gasolina
ma-109,JEEP,fa-362,Grand Cherokee,mo-1049,III (WH) (06/2005 - 03/2008),06/2005,03/2008,38270,JEEP Grand Cherokee,JEEP Grand Cherokee III (WH) 4.7 i V8 4WD 223 cv Transmisión automática,Gasolina
ma-109,JEEP,fa-362,Grand Cherokee,mo-1049,III (WH) (06/2005 - 03/2008),06/2005,03/2008,56430,JEEP Grand Cherokee,JEEP Grand Cherokee III (WH) 3.0 CRD 24V 4WD 211 cv Transmisión automática,Diesel
ma-109,JEEP,fa-362,Grand Cherokee,mo-1050,I (ZJ/ZG) (01/1993 - 07/2000),01/1993,07/2000,20542,JEEP Grand Cherokee,JEEP Grand Cherokee I (ZJ/ZG) 4.0 i 193 cv Transmisión automática,Gasolina
ma-109,JEEP,fa-362,Grand Cherokee,mo-1050,I (ZJ/ZG) (01/1993 - 07/2000),01/1993,07/2000,20543,JEEP Grand Cherokee,JEEP Grand Cherokee I (ZJ/ZG) 5.9 i 241 cv Transmisión automática,Gasolina
ma-109,JEEP,fa-362,Grand Cherokee,mo-1050,I (ZJ/ZG) (01/1993 - 07/2000),01/1993,07/2000,30729,JEEP Grand Cherokee,JEEP Grand Cherokee I (ZJ/ZG) 4.0 i 177 cv Transmisión automática,Gasolina
ma-109,JEEP,fa-362,Grand Cherokee,mo-1050,I (ZJ/ZG) (01/1993 - 07/2000),01/1993,07/2000,20541,JEEP Grand Cherokee,JEEP Grand Cherokee I (ZJ/ZG) 2.5 TD 4WD 116 cv,Diesel
ma-109,JEEP,fa-362,Grand Cherokee,mo-1050,I (ZJ/ZG) (01/1993 - 07/2000),01/1993,07/2000,6238,JEEP Grand Cherokee,JEEP Grand Cherokee I (ZJ/ZG) 4.7 i V8 220 cv Transmisión automática,Gasolina
ma-109,JEEP,fa-362,Grand Cherokee,mo-1050,I (ZJ/ZG) (01/1993 - 07/2000),01/1993,07/2000,6237,JEEP Grand Cherokee,JEEP Grand Cherokee I (ZJ/ZG) 3.1 TD 140 cv Transmisión automática,Diesel
ma-109,JEEP,fa-362,Grand Cherokee,mo-1050,I (ZJ/ZG) (01/1993 - 07/2000),01/1993,07/2000,4426,JEEP Grand Cherokee,JEEP Grand Cherokee I (ZJ/ZG) 5.2 i 211 cv Transmisión automática,Gasolina
