brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50112,KIA Sportage,KIA Sportage (SVK) 1.6 T-GDi 4x2 16V 177 cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50114,KIA Sportage,KIA Sportage (SVK) 1.7 CRDi VGT 4x2 16V 115 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50116,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT 4x2 16V 136 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50119,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT 4x4 16V 136 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50120,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT 4x4 16V 185 cv Transmisión automática,Diesel
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50113,KIA Sportage,KIA Sportage (SVK) 1.6 T-GDi 4x4 16V 177 cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50111,KIA Sportage,KIA Sportage (SVK) 1.6 GDi CVVT 4x2 16V ISG 132 cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50117,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT 4x2 16V ISG 136 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50110,KIA Sportage,KIA Sportage (SVK) 1.6 GDi CVVT 4x2 16V 132 cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50118,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT 4x4 16V 136 cv Transmisión automática,Diesel
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,64361,KIA Sportage,KIA Sportage (SVK) 1.6 T-GDi 16V 4x4 DCT7 177 cv Transmisión automática,Gasolina
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50121,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT 4x4 16V 185 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,50115,KIA Sportage,KIA Sportage (SVK) 1.7 CRDi VGT 4x2 16V ISG 115 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-6287,(SVK) (09/2015 - 07/2018),09/2015,07/2018,57235,KIA Sportage,KIA Sportage (SVK) 1.7 CRDi VGT 16V 4x2 DCT7 141 cv Transmisión automática,Diesel
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,37187,KIA Sportage,KIA Sportage (Fab. Slovaquie) 1.7 CRDi VGT DPF 4x2 115 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,37188,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 CRDi VGT DPF 4x2 136 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,40883,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 CRDi VGT DPF 184 4x2 184 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,40885,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 CRDi VGT DPF 184 4x4 184 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,37193,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 GDi CVVT 4x4 163 cv Transmisión automática,Gasolina
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,40884,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 CRDi VGT DPF 184 4x4 184 cv Transmisión automática,Diesel
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,37191,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 GDi CVVT 4x2 163 cv Transmisión automática,Gasolina
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,37194,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 GDi CVVT 4x4 163 cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,61798,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 GDi CVVT 4x2 16V Automatic 150 cv Transmisión automática,Gasolina
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,37189,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 CRDi VGT DPF 4x4 136 cv Transmisión automática,Diesel
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,37192,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 GDi CVVT 4x2 163 cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,37190,KIA Sportage,KIA Sportage (Fab. Slovaquie) 2.0 CRDi VGT DPF 4x4 136 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-4880,(Fab. Slovaquie) (06/2010 - 12/2013),06/2010,12/2013,37186,KIA Sportage,KIA Sportage (Fab. Slovaquie) 1.6 GDi CVVT 4x2 135 cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44290,KIA Sportage,KIA Sportage (SVK) 1.6 GDi CVVT 4x2 135 cv Transmisión automática,Gasolina
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44295,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT DPF 4x4 136 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44297,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT DPF 4x4 184 cv Transmisión automática,Diesel
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44291,KIA Sportage,KIA Sportage (SVK) 1.6 GDi CVVT 4x2 135 cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44294,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT DPF 4x4 136 cv Transmisión automática,Diesel
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44300,KIA Sportage,KIA Sportage (SVK) 2.0 GDi VVT 4x2 166 cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,64342,KIA Sportage,KIA Sportage (SVK) 1.7 CRDi VGT 16V 4x2 115 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44293,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT DPF 4x2 136 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44299,KIA Sportage,KIA Sportage (SVK) 2.0 GDi VVT 4x2 166 cv Transmisión automática,Gasolina
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44296,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT DPF 4x2 184 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44302,KIA Sportage,KIA Sportage (SVK) 2.0 GDi VVT 4x4 166 cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44301,KIA Sportage,KIA Sportage (SVK) 2.0 GDi VVT 4x4 166 cv Transmisión automática,Gasolina
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44298,KIA Sportage,KIA Sportage (SVK) 2.0 CRDi VGT DPF 4x4 184 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-5775,(SVK) (01/2014 - 12/2015),01/2014,12/2015,44292,KIA Sportage,KIA Sportage (SVK) 1.7 CRDi VGT DPF 4x2 115 cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-1931,II (12/2004 - 12/2006),12/2004,12/2006,37397,KIA Sportage,KIA Sportage II 2.0 CRDi 4x4 136 cv Transmisión automática,Diesel
ma-114,KIA,fa-390,Sportage,mo-1931,II (12/2004 - 12/2006),12/2004,12/2006,20584,KIA Sportage,KIA Sportage II 2.0 CRDi 140cv Transmisión automática,Diesel
ma-114,KIA,fa-390,Sportage,mo-1931,II (12/2004 - 12/2006),12/2004,12/2006,20583,KIA Sportage,KIA Sportage II 2.0 CRDi 112cv,Diesel
ma-114,KIA,fa-390,Sportage,mo-1931,II (12/2004 - 12/2006),12/2004,12/2006,24888,KIA Sportage,KIA Sportage II 2.0 i 16V 143cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-1931,II (12/2004 - 12/2006),12/2004,12/2006,4500,KIA Sportage,KIA Sportage II 2.7 i V6 175cv Transmisión automática,Gasolina
ma-114,KIA,fa-390,Sportage,mo-1931,II (12/2004 - 12/2006),12/2004,12/2006,15207,KIA Sportage,KIA Sportage II 2.0 i 16V 4x4 143cv,Gasolina
ma-114,KIA,fa-390,Sportage,mo-1931,II (12/2004 - 12/2006),12/2004,12/2006,25062,KIA Sportage,KIA Sportage II 2.0 CRDi 4x4 140cv Transmisión automática,Diesel
ma-114,KIA,fa-390,Sportage,mo-1931,II (12/2004 - 12/2006),12/2004,12/2006,25061,KIA Sportage,KIA Sportage II 2.0 CRDi 4x4 112cv,Diesel
