"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32504","KIA Ceed","KIA Ceed I SW Phase 2 2.0 i CVVT 16V 143 cv","Essence"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32492","KIA Ceed","KIA Ceed I SW Phase 2 1.4 i CVVT 16V S&S 90 cv","Essence"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32491","KIA Ceed","KIA Ceed I SW Phase 2 1.4 i CVVT 16V 90 cv","Essence"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","45931","KIA Ceed","KIA Ceed I SW Phase 2 2.0 CRDi 16V DPF VGT 140 cv","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","45925","KIA Ceed","KIA Ceed I SW Phase 2 1.6 CRDi 16V DPF VGT 115 cv Caixa Automática","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32496","KIA Ceed","KIA Ceed I SW Phase 2 1.6 CRDi 16V VGT 128 cv Caixa Automática","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","45929","KIA Ceed","KIA Ceed I SW Phase 2 1.6 CRDi 16V DPF VGT S&S 128 cv","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","34217","KIA Ceed","KIA Ceed I SW Phase 2 1.6 i CVVT 16V S&S 115 cv","Essence"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32494","KIA Ceed","KIA Ceed I SW Phase 2 1.6 CRDi 16V DPF VGT 115 cv","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","45926","KIA Ceed","KIA Ceed I SW Phase 2 1.6 CRDi 16V DPF VGT S&S 115 cv","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32502","KIA Ceed","KIA Ceed I SW Phase 2 2.0 CRDi 16V VGT 140 cv","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32497","KIA Ceed","KIA Ceed I SW Phase 2 1.6 CRDi 16V VGT 128 cv","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32503","KIA Ceed","KIA Ceed I SW Phase 2 2.0 i CVVT 16V 143 cv Caixa Automática","Essence"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32493","KIA Ceed","KIA Ceed I SW Phase 2 1.6 CRDi 16V VGT 115 cv Caixa Automática","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32500","KIA Ceed","KIA Ceed I SW Phase 2 1.6 i CVVT 16V 125 cv","Essence"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","45923","KIA Ceed","KIA Ceed I SW Phase 2 1.6 CRDi 16V VGT S&S 90 cv","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","34216","KIA Ceed","KIA Ceed I SW Phase 2 1.6 i CVVT 16V 115 cv","Essence"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","45930","KIA Ceed","KIA Ceed I SW Phase 2 1.6 CRDi 16V DPF VGT 90 cv","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","65104","KIA Ceed","KIA Ceed I SW Phase 2 1.6 i CVVT 16V 126 cv","Essence"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32499","KIA Ceed","KIA Ceed I SW Phase 2 1.6 CRDi 16V VGT 90 cv","Diesel"
"ma-114","KIA","fa-369","Ceed","mo-4875","I SW Phase 2 (08/2009 - 12/2011)","08/2009","12/2011","32501","KIA Ceed","KIA Ceed I SW Phase 2 1.6 i CVVT 16V S&S 125 cv","Essence"
