brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-119,LADA,fa-399,Niva 4x4,mo-5356,Niva (01/1993 - 01/2006),01/1993,01/2006,6375,LADA Niva 4x4,LADA Niva 4x4 Niva 1.9 D 4x4 75 cv,Diesel
ma-119,LADA,fa-399,Niva 4x4,mo-5356,Niva (01/1993 - 01/2006),01/1993,01/2006,15221,LADA Niva 4x4,LADA Niva 4x4 Niva 1.9 D 4x4 64 cv,Diesel
ma-119,LADA,fa-399,Niva 4x4,mo-5356,Niva (01/1993 - 01/2006),01/1993,01/2006,37072,LADA Niva 4x4,LADA Niva 4x4 Niva 1.7 i 4x4 83 cv,Essence
ma-119,LADA,fa-399,Niva 4x4,mo-5356,Niva (01/1993 - 01/2006),01/1993,01/2006,4510,LADA Niva 4x4,LADA Niva 4x4 Niva 1.9 D 4x4 64 cv,Diesel
ma-119,LADA,fa-399,Niva 4x4,mo-5356,Niva (01/1993 - 01/2006),01/1993,01/2006,37073,LADA Niva 4x4,LADA Niva 4x4 Niva 1.7 i 4x4 79 cv,Essence
ma-119,LADA,fa-399,Niva 4x4,mo-5356,Niva (01/1993 - 01/2006),01/1993,01/2006,4509,LADA Niva 4x4,LADA Niva 4x4 Niva 1.7 4x4 80 cv,Essence
ma-119,LADA,fa-399,Niva 4x4,mo-1474,Niva (03/1976 - 03/1999),03/1976,03/1999,20593,LADA Niva 4x4,LADA Niva 4x4 Niva 1.6 4x4 76 cv,Essence
ma-119,LADA,fa-399,Niva 4x4,mo-1474,Niva (03/1976 - 03/1999),03/1976,03/1999,6374,LADA Niva 4x4,LADA Niva 4x4 Niva 1.7 i 4x4 82 cv,Essence
ma-119,LADA,fa-399,Niva 4x4,mo-1474,Niva (03/1976 - 03/1999),03/1976,03/1999,69244,LADA Niva 4x4,LADA Niva 4x4 Niva 1900 D Break 4x4 65 cv,Diesel
ma-119,LADA,fa-399,Niva 4x4,mo-1474,Niva (03/1976 - 03/1999),03/1976,03/1999,15220,LADA Niva 4x4,LADA Niva 4x4 Niva 1.6 4x4 73 cv,Essence
ma-119,LADA,fa-399,Niva 4x4,mo-5357,Niva (01/2006 - 12/2019),01/2006,12/2019,37071,LADA Niva 4x4,LADA Niva 4x4 Niva 1.7 i 4x4 83 cv,Essence
ma-119,LADA,fa-399,Niva 4x4,mo-5357,Niva (01/2006 - 12/2019),01/2006,12/2019,69245,LADA Niva 4x4,LADA Niva 4x4 Niva Urban 1700 i 4x4 83 cv,Essence
ma-119,LADA,fa-399,Niva 4x4,mo-2460,Niva II (2123) (09/2002 - Aujourd'hui),09/2002,,68083,LADA Niva 4x4,LADA Niva 4x4 Niva II (2123) 1.7 83 cv,Essence
ma-119,LADA,fa-399,Niva 4x4,mo-2460,Niva II (2123) (09/2002 - Aujourd'hui),09/2002,,26656,LADA Niva 4x4,LADA Niva 4x4 Niva II (2123) 1.7 80 cv,Essence
ma-119,LADA,fa-399,Niva 4x4,mo-7645,Niva II (GM-AvtoVAZ) (08/1998 - Aujourd'hui),08/1998,,69246,LADA Niva 4x4,LADA Niva 4x4 Niva II (GM-AvtoVAZ) 1.7 i-LPG 4x4 78 cv,GPL
ma-119,LADA,fa-1792,Kalina,mo-5349,1119 Hatchback (10/2004 - Aujourd'hui),10/2004,,69235,LADA Kalina,LADA Kalina 1119 Hatchback 1.6 i 16V 98 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5349,1119 Hatchback (10/2004 - Aujourd'hui),10/2004,,29612,LADA Kalina,LADA Kalina 1119 Hatchback 1.4 i 90 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5349,1119 Hatchback (10/2004 - Aujourd'hui),10/2004,,69234,LADA Kalina,LADA Kalina 1119 Hatchback 1.4 i LPG 16V 90 cv,GPL
ma-119,LADA,fa-1792,Kalina,mo-5349,1119 Hatchback (10/2004 - Aujourd'hui),10/2004,,69236,LADA Kalina,LADA Kalina 1119 Hatchback 1.6 i 90 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5349,1119 Hatchback (10/2004 - Aujourd'hui),10/2004,,28217,LADA Kalina,LADA Kalina 1119 Hatchback 1.6 i 82 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5347,1117 Break (10/2004 - Aujourd'hui),10/2004,,69228,LADA Kalina,LADA Kalina 1117 Break 1.6 i 84 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5347,1117 Break (10/2004 - Aujourd'hui),10/2004,,38272,LADA Kalina,LADA Kalina 1117 Break 1.4 i 16V LPG 90 cv,GPL
ma-119,LADA,fa-1792,Kalina,mo-5347,1117 Break (10/2004 - Aujourd'hui),10/2004,,30734,LADA Kalina,LADA Kalina 1117 Break 1.6 i 82 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5347,1117 Break (10/2004 - Aujourd'hui),10/2004,,69229,LADA Kalina,LADA Kalina 1117 Break 1.6 i 87 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5347,1117 Break (10/2004 - Aujourd'hui),10/2004,,69227,LADA Kalina,LADA Kalina 1117 Break 1.6 i 16V 98 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5347,1117 Break (10/2004 - Aujourd'hui),10/2004,,29613,LADA Kalina,LADA Kalina 1117 Break 1.4 i 16V 90 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5348,1118 Berline (10/2004 - Aujourd'hui),10/2004,,69232,LADA Kalina,LADA Kalina 1118 Berline 1.6 i 16V 98 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5348,1118 Berline (10/2004 - Aujourd'hui),10/2004,,69233,LADA Kalina,LADA Kalina 1118 Berline 1.6 i 90 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5348,1118 Berline (10/2004 - Aujourd'hui),10/2004,,69230,LADA Kalina,LADA Kalina 1118 Berline 1.4 i 16V 90 cv,Essence
ma-119,LADA,fa-1792,Kalina,mo-5348,1118 Berline (10/2004 - Aujourd'hui),10/2004,,69231,LADA Kalina,LADA Kalina 1118 Berline 1.4 i LPG 16V 90 cv,GPL
ma-119,LADA,fa-1792,Kalina,mo-5348,1118 Berline (10/2004 - Aujourd'hui),10/2004,,26654,LADA Kalina,LADA Kalina 1118 Berline 1.6 i 82 cv,Essence
ma-119,LADA,fa-402,Samara,mo-1783,I (07/1986 - 12/1999),07/1986,12/1999,6381,LADA Samara,LADA Samara I 1500 71cv,Essence
ma-119,LADA,fa-402,Samara,mo-1783,I (07/1986 - 12/1999),07/1986,12/1999,6379,LADA Samara,LADA Samara I 1300 61cv,Essence
ma-119,LADA,fa-402,Samara,mo-1783,I (07/1986 - 12/1999),07/1986,12/1999,4514,LADA Samara,LADA Samara I 1100 53cv,Essence
ma-119,LADA,fa-402,Samara,mo-1783,I (07/1986 - 12/1999),07/1986,12/1999,6378,LADA Samara,LADA Samara I 1300 Utilitaire 65cv,Essence
ma-119,LADA,fa-402,Samara,mo-1783,I (07/1986 - 12/1999),07/1986,12/1999,6380,LADA Samara,LADA Samara I 1500 68cv,Essence
ma-119,LADA,fa-402,Samara,mo-1783,I (07/1986 - 12/1999),07/1986,12/1999,4515,LADA Samara,LADA Samara I 1300 65cv,Essence
ma-119,LADA,fa-402,Samara,mo-1783,I (07/1986 - 12/1999),07/1986,12/1999,6382,LADA Samara,LADA Samara I 1500 i 70cv,Essence
ma-119,LADA,fa-402,Samara,mo-3720,II Sedan (05/1997 - 12/2012),05/1997,12/2012,69260,LADA Samara,LADA Samara II Sedan 1.6 i 82 cv,Essence
ma-119,LADA,fa-402,Samara,mo-3720,II Sedan (05/1997 - 12/2012),05/1997,12/2012,69258,LADA Samara,LADA Samara II Sedan 1.5 76 cv,Essence
