brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-265,LAMBORGHINI,fa-2185,Aventador,mo-6198, (03/2011 - Hoje),03/2011,,48752,LAMBORGHINI Aventador,LAMBORGHINI Aventador 6.5 V12 4WD Coupé 48V 700 cv,Essence
ma-265,LAMBORGHINI,fa-1335,GALLARDO,mo-3084, (08/2003 - Hoje),08/2003,,27539,LAMBORGHINI GALLARDO,LAMBORGHINI GALLARDO 5.0 520 cv,Essence
ma-265,LAMBORGHINI,fa-1335,GALLARDO,mo-3084, (08/2003 - Hoje),08/2003,,27373,LAMBORGHINI GALLARDO,LAMBORGHINI GALLARDO 5.0 500 cv,Essence
ma-265,LAMBORGHINI,fa-1335,GALLARDO,mo-3085,SPYDER (08/2005 - Hoje),08/2005,,27393,LAMBORGHINI GALLARDO,LAMBORGHINI GALLARDO SPYDER 5.0 520 cv,Essence
ma-265,LAMBORGHINI,fa-1392,URRACO,mo-3174, (01/1974 - 12/1981),01/1974,12/1981,27231,LAMBORGHINI URRACO,LAMBORGHINI URRACO P200 182 cv,Essence
ma-265,LAMBORGHINI,fa-1392,URRACO,mo-3174, (01/1974 - 12/1981),01/1974,12/1981,27275,LAMBORGHINI URRACO,LAMBORGHINI URRACO P300 265 cv,Essence
ma-265,LAMBORGHINI,fa-1392,URRACO,mo-3174, (01/1974 - 12/1981),01/1974,12/1981,27289,LAMBORGHINI URRACO,LAMBORGHINI URRACO P250 220 cv,Essence
ma-265,LAMBORGHINI,fa-1360,MIURA,mo-3124, (01/1969 - 12/1972),01/1969,12/1972,27304,LAMBORGHINI MIURA,LAMBORGHINI MIURA P400 S 370 cv,Essence
ma-265,LAMBORGHINI,fa-1793,Countach,mo-3418, (01/1985 - 12/1990),01/1985,12/1990,27232,LAMBORGHINI Countach,LAMBORGHINI Countach LP500 S 375 cv,Essence
ma-265,LAMBORGHINI,fa-1793,Countach,mo-3418, (01/1985 - 12/1990),01/1985,12/1990,27534,LAMBORGHINI Countach,LAMBORGHINI Countach LP500 440 cv,Essence
ma-265,LAMBORGHINI,fa-1793,Countach,mo-3418, (01/1985 - 12/1990),01/1985,12/1990,27533,LAMBORGHINI Countach,LAMBORGHINI Countach LP400 385 cv,Essence
ma-265,LAMBORGHINI,fa-1793,Countach,mo-3418, (01/1985 - 12/1990),01/1985,12/1990,29023,LAMBORGHINI Countach,LAMBORGHINI Countach LP5000 5.2 V12 Coupé 450 cv,Essence
ma-265,LAMBORGHINI,fa-1794,Diablo,mo-3419, (07/1990 - 01/2004),07/1990,01/2004,27524,LAMBORGHINI Diablo,LAMBORGHINI Diablo VT 530 cv,Essence
ma-265,LAMBORGHINI,fa-1794,Diablo,mo-3419, (07/1990 - 01/2004),07/1990,01/2004,27236,LAMBORGHINI Diablo,LAMBORGHINI Diablo SE 525 cv,Essence
ma-265,LAMBORGHINI,fa-1794,Diablo,mo-3419, (07/1990 - 01/2004),07/1990,01/2004,27380,LAMBORGHINI Diablo,LAMBORGHINI Diablo GT 5.9 575 cv,Essence
ma-265,LAMBORGHINI,fa-1794,Diablo,mo-3419, (07/1990 - 01/2004),07/1990,01/2004,27179,LAMBORGHINI Diablo,LAMBORGHINI Diablo GT 2 640 cv,Essence
ma-265,LAMBORGHINI,fa-1794,Diablo,mo-3419, (07/1990 - 01/2004),07/1990,01/2004,29024,LAMBORGHINI Diablo,LAMBORGHINI Diablo 5.7 Coupé 492 cv,Essence
ma-265,LAMBORGHINI,fa-1794,Diablo,mo-3419, (07/1990 - 01/2004),07/1990,01/2004,27169,LAMBORGHINI Diablo,LAMBORGHINI Diablo SV 530 cv,Essence
ma-265,LAMBORGHINI,fa-1794,Diablo,mo-3054,Roadster (01/1998 - Hoje),01/1998,,27280,LAMBORGHINI Diablo,LAMBORGHINI Diablo Roadster 5.7 530 cv,Essence
ma-265,LAMBORGHINI,fa-1343,JARAMA,mo-3098, (01/1968 - 12/1976),01/1968,12/1976,27218,LAMBORGHINI JARAMA,LAMBORGHINI JARAMA 400 GTS 365 cv,Essence
ma-265,LAMBORGHINI,fa-1364,MURCIELAGO,mo-3131,MURCIÉLAGO (11/2001 - Hoje),11/2001,,27481,LAMBORGHINI MURCIELAGO,LAMBORGHINI MURCIELAGO MURCIÉLAGO LP 640 641 cv,Essence
ma-265,LAMBORGHINI,fa-1364,MURCIELAGO,mo-3131,MURCIÉLAGO (11/2001 - Hoje),11/2001,,27234,LAMBORGHINI MURCIELAGO,LAMBORGHINI MURCIELAGO MURCIÉLAGO 6.2 579 cv,Essence
ma-265,LAMBORGHINI,fa-1364,MURCIELAGO,mo-3132,MURCIÉLAGO Roadster (08/2004 - Hoje),08/2004,,27125,LAMBORGHINI MURCIELAGO,LAMBORGHINI MURCIELAGO MURCIÉLAGO Roadster 6.2 579 cv,Essence
ma-265,LAMBORGHINI,fa-1342,JALPA,mo-3097, (01/1982 - 12/1987),01/1982,12/1987,27155,LAMBORGHINI JALPA,LAMBORGHINI JALPA P 350 255 cv,Essence
