brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,28043,LANCIA Delta,LANCIA Delta (844) 1.4 TJet 120 cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,34266,LANCIA Delta,LANCIA Delta (844) 1.4 Turbo 16V MultiAir 140 cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,28045,LANCIA Delta,LANCIA Delta (844) 1.6 MJTD 120 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,30339,LANCIA Delta,LANCIA Delta (844) 1.6 MJTD 16V FAP 115 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,58235,LANCIA Delta,LANCIA Delta (844) 1.6 MJTD DPF 16V Selectronic 120 cv Transmisión automática,Diesel
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,28047,LANCIA Delta,LANCIA Delta (844) 2.0 MJTD DPF 165 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,34268,LANCIA Delta,LANCIA Delta (844) 2.0 MJTD DPF 16V 163 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,30338,LANCIA Delta,LANCIA Delta (844) 1.6 MJTD 16V 115 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,28046,LANCIA Delta,LANCIA Delta (844) 1.9 MJTD 190 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,28044,LANCIA Delta,LANCIA Delta (844) 1.4 TJet 150 cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,34267,LANCIA Delta,LANCIA Delta (844) 1.6 MJTD DPF 16V 120 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-3421,(844) (06/2008 - 04/2011),06/2008,04/2011,30735,LANCIA Delta,LANCIA Delta (844) 1.8 T Jet 16V 200 cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,15232,LANCIA Delta,LANCIA Delta (831) R86 2.0 i Turbo 185cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,20607,LANCIA Delta,LANCIA Delta (831) R86 1600 Turbo 140cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,6466,LANCIA Delta,LANCIA Delta (831) R86 2.0 i Turbo 165cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,20609,LANCIA Delta,LANCIA Delta (831) R86 2.0 i 16V Turbo Evo Integrale 215cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,4597,LANCIA Delta,LANCIA Delta (831) R86 2.0 i Turbo 180cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,6467,LANCIA Delta,LANCIA Delta (831) R86 2.0 i Turbo 200cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,15231,LANCIA Delta,LANCIA Delta (831) R86 1600 ie 90cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,6464,LANCIA Delta,LANCIA Delta (831) R86 1.1 i 64cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,4595,LANCIA Delta,LANCIA Delta (831) R86 1500 80cv Transmisión automática,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,4596,LANCIA Delta,LANCIA Delta (831) R86 1600 ie Turbo 132cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,20606,LANCIA Delta,LANCIA Delta (831) R86 1.9 TD 80cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,6465,LANCIA Delta,LANCIA Delta (831) R86 1600 ie 109cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,4594,LANCIA Delta,LANCIA Delta (831) R86 1300 75cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-836,(831) R86 (04/1986 - 12/1994),04/1986,12/1994,20608,LANCIA Delta,LANCIA Delta (831) R86 2.0 i 16V Turbo Evo Integrale 205cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-5033,(844) MY 2011 (11/2010 - 12/2014),11/2010,12/2014,34276,LANCIA Delta,LANCIA Delta (844) MY 2011 2.0 MJTD DPF 165 16V 165 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-5033,(844) MY 2011 (11/2010 - 12/2014),11/2010,12/2014,34272,LANCIA Delta,LANCIA Delta (844) MY 2011 1.6 MJTD DPF 16V 120 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-5033,(844) MY 2011 (11/2010 - 12/2014),11/2010,12/2014,34269,LANCIA Delta,LANCIA Delta (844) MY 2011 1.4 TJet 16V 120 cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-5033,(844) MY 2011 (11/2010 - 12/2014),11/2010,12/2014,34275,LANCIA Delta,LANCIA Delta (844) MY 2011 2.0 MJTD DPF 16V 163 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-5033,(844) MY 2011 (11/2010 - 12/2014),11/2010,12/2014,34274,LANCIA Delta,LANCIA Delta (844) MY 2011 1.9 MJTD DPF 16V 190 cv,Diesel
ma-120,LANCIA,fa-405,Delta,mo-5033,(844) MY 2011 (11/2010 - 12/2014),11/2010,12/2014,58234,LANCIA Delta,LANCIA Delta (844) MY 2011 1.6 MJTD DPF 16V Selectronic 120 cv Transmisión automática,Diesel
ma-120,LANCIA,fa-405,Delta,mo-5033,(844) MY 2011 (11/2010 - 12/2014),11/2010,12/2014,34270,LANCIA Delta,LANCIA Delta (844) MY 2011 1.4 Turbo 16V MultiAir 140 cv,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-5033,(844) MY 2011 (11/2010 - 12/2014),11/2010,12/2014,34273,LANCIA Delta,LANCIA Delta (844) MY 2011 1.8 T Jet 16V Sportronic 200 cv Transmisión automática,Gasolina
ma-120,LANCIA,fa-405,Delta,mo-5033,(844) MY 2011 (11/2010 - 12/2014),11/2010,12/2014,43852,LANCIA Delta,LANCIA Delta (844) MY 2011 1.6 MJTD DPF 16V 105 cv,Diesel
