"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-124","LEXUS","fa-2277","IS","mo-6824","II (XE20) Sedan (08/2005 - 12/2013)","08/2005","12/2013","31995","LEXUS IS","LEXUS IS II (XE20) Sedan 250 2.5 i V6 24V 208 cv","Essence"
"ma-124","LEXUS","fa-2277","IS","mo-6824","II (XE20) Sedan (08/2005 - 12/2013)","08/2005","12/2013","33296","LEXUS IS","LEXUS IS II (XE20) Sedan 200 2.2 D4-D 16V DPF 150 cv","Diesel"
"ma-124","LEXUS","fa-2277","IS","mo-6824","II (XE20) Sedan (08/2005 - 12/2013)","08/2005","12/2013","31994","LEXUS IS","LEXUS IS II (XE20) Sedan 250 2.5 i V6 24V 208 cv Boîte auto","Essence"
"ma-124","LEXUS","fa-2277","IS","mo-6824","II (XE20) Sedan (08/2005 - 12/2013)","08/2005","12/2013","33297","LEXUS IS","LEXUS IS II (XE20) Sedan 220 2.2 D4-D 16V DPF 177 cv","Diesel"
"ma-124","LEXUS","fa-2277","IS","mo-6824","II (XE20) Sedan (08/2005 - 12/2013)","08/2005","12/2013","29616","LEXUS IS","LEXUS IS II (XE20) Sedan 220 2.2 D4-D 16V 177 cv","Diesel"
"ma-124","LEXUS","fa-2277","IS","mo-6824","II (XE20) Sedan (08/2005 - 12/2013)","08/2005","12/2013","32000","LEXUS IS","LEXUS IS II (XE20) Sedan F 5.0 i V8 32V 423 cv Boîte auto","Essence"
"ma-124","LEXUS","fa-2277","IS","mo-6826","III Phase 1 (04/2013 - 12/2016)","04/2013","12/2016","39433","LEXUS IS","LEXUS IS III Phase 1 300h 2.5 16V 223 Hybride E-CVT 181 cv Boîte auto","Essence"
"ma-124","LEXUS","fa-2277","IS","mo-6826","III Phase 1 (04/2013 - 12/2016)","04/2013","12/2016","39432","LEXUS IS","LEXUS IS III Phase 1 250 2.5 i V6 24V 208 cv Boîte auto","Essence"
"ma-124","LEXUS","fa-2277","IS","mo-6826","III Phase 1 (04/2013 - 12/2016)","04/2013","12/2016","56455","LEXUS IS","LEXUS IS III Phase 1 200t 2.0 VVT-i 16V 245 cv Boîte auto","Essence"
"ma-124","LEXUS","fa-2277","IS","mo-6822","I (XE10) Sedan (03/1999 - 07/2005)","03/1999","07/2005","6758","LEXUS IS","LEXUS IS I (XE10) Sedan 200 2.0 i 24V 155 cv Boîte auto","Essence"
"ma-124","LEXUS","fa-2277","IS","mo-6822","I (XE10) Sedan (03/1999 - 07/2005)","03/1999","07/2005","6757","LEXUS IS","LEXUS IS I (XE10) Sedan 200 2.0 i 24V 155 cv","Essence"
