brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,20738,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 240 1.6 0cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,15416,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 220 1.8 D 0cv Fourgon,Diesel
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,6771,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 240 1.8 D 0cv Fourgon,Diesel
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,15417,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 230 1.7 79cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,20739,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 250 1.6 0cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,6773,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 250 1.8 D 0cv Fourgon,Diesel
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,6775,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 255 1.8 D 0cv Fourgon,Diesel
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,6769,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 230 1.8 D 0cv Fourgon,Diesel
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,6768,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 200 1.8 D 0cv Fourgon,Diesel
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,4774,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 185 1.8 D 0cv Fourgon,Diesel
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,6774,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 255 1.7 79cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,15418,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 250 1.7 79cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,6767,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 200 1.7 79cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,4775,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 215 1.6 0cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,4776,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 220 1.6 0cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2335, (09/1974 - 07/1982),09/1974,07/1982,15413,LEYLAND Sherpa,LEYLAND Sherpa Sherpa 185 1.6 0cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,4766,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 200 1.7 73cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,15412,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 350 2.5 D 70cv Fourgon,Diesel
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,4769,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 250 2.0 90cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,6764,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 255 2.0 90cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,4768,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 230 2.0 90cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,4773,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 350 2.0 90cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,20733,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 255 1.7 70cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,4771,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 280 2.0 90cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,6763,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 200 2.0 90cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,15408,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 250 1.7 70cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,20732,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 250 1.8 D 52cv Fourgon,Diesel
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,6765,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 285 2.0 90cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,15411,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 310 2.0 90cv Fourgon,Essence
ma-125,LEYLAND,fa-923,Sherpa,mo-2336,II (08/1982 - 12/1989),08/1982,12/1989,15406,LEYLAND Sherpa,LEYLAND Sherpa II Sherpa II 230 1.7 70cv Fourgon,Essence
