"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-288","MAHINDRA","fa-1987","Goa - Scorpio","mo-4563","Goa (04/2005 - Hoy)","04/2005","","31443","MAHINDRA Goa - Scorpio","MAHINDRA Goa - Scorpio Goa 2.6 TD 4WD Familiar 109 cv","Diesel"
"ma-288","MAHINDRA","fa-1987","Goa - Scorpio","mo-4563","Goa (04/2005 - Hoy)","04/2005","","41649","MAHINDRA Goa - Scorpio","MAHINDRA Goa - Scorpio Goa 2.5 CRDe 4WD Familiar 108 cv","Diesel"
"ma-288","MAHINDRA","fa-1987","Goa - Scorpio","mo-4563","Goa (04/2005 - Hoy)","04/2005","","31442","MAHINDRA Goa - Scorpio","MAHINDRA Goa - Scorpio Goa 2.6 TD 2WD Familiar 109 cv","Diesel"
"ma-288","MAHINDRA","fa-1987","Goa - Scorpio","mo-4563","Goa (04/2005 - Hoy)","04/2005","","31440","MAHINDRA Goa - Scorpio","MAHINDRA Goa - Scorpio Goa 2.2 CRDe 4WD Familiar 120 cv Transmisión automática","Diesel"
"ma-288","MAHINDRA","fa-1987","Goa - Scorpio","mo-4563","Goa (04/2005 - Hoy)","04/2005","","31439","MAHINDRA Goa - Scorpio","MAHINDRA Goa - Scorpio Goa 2.2 CRDe 2WD Familiar 120 cv","Diesel"
"ma-288","MAHINDRA","fa-1987","Goa - Scorpio","mo-4563","Goa (04/2005 - Hoy)","04/2005","","41651","MAHINDRA Goa - Scorpio","MAHINDRA Goa - Scorpio Goa 2.5 CRDe 4WD Pickup doble cabina 108 cv","Diesel"
"ma-288","MAHINDRA","fa-1987","Goa - Scorpio","mo-4563","Goa (04/2005 - Hoy)","04/2005","","41650","MAHINDRA Goa - Scorpio","MAHINDRA Goa - Scorpio Goa 2.5 CRDe 4WD Pickup 108 cv","Diesel"
"ma-288","MAHINDRA","fa-1987","Goa - Scorpio","mo-4563","Goa (04/2005 - Hoy)","04/2005","","31441","MAHINDRA Goa - Scorpio","MAHINDRA Goa - Scorpio Goa 2.2 CRDe 4WD Familiar 120 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","41365","MAHINDRA CJ","MAHINDRA CJ CJ-340 2.1 D Familiar 62 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69298","MAHINDRA CJ","MAHINDRA CJ CJ-4 2.2 familiar baché 4x2 72 cv","Gasolina"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69297","MAHINDRA CJ","MAHINDRA CJ CJ-3D 2.2 familiar baché 4x4 72 cv","Gasolina"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","28032","MAHINDRA CJ","MAHINDRA CJ CJ-14D 2.1 D Familiar entoldado 62 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69293","MAHINDRA CJ","MAHINDRA CJ CJ-3B 2.1 D familiar 4x4 62 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69309","MAHINDRA CJ","MAHINDRA CJ CJ-500 DP 2.1 D familiar 4x4 62 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69305","MAHINDRA CJ","MAHINDRA CJ CJ-500 DE 2.5 D familiar baché 4x4 39 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69310","MAHINDRA CJ","MAHINDRA CJ CJ-540 2.2 familiar baché 4x4 72 cv","Gasolina"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69304","MAHINDRA CJ","MAHINDRA CJ CJ-500 DE 2.5 D familiar baché 4x2 39 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69296","MAHINDRA CJ","MAHINDRA CJ CJ-3D 2.2 familiar baché 4x2 72 cv","Gasolina"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69302","MAHINDRA CJ","MAHINDRA CJ CJ-500 D 2.3 D familiar baché 4x2 38 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","41652","MAHINDRA CJ","MAHINDRA CJ CJ-540 2.1 D 4x4 Familiar entoldado 62 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69294","MAHINDRA CJ","MAHINDRA CJ CJ-3B 2.2 familiar baché 4x2 72 cv","Gasolina"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","28031","MAHINDRA CJ","MAHINDRA CJ CJ-13D 2.1 D Familiar 62 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69295","MAHINDRA CJ","MAHINDRA CJ CJ-3B 2.2 familiar baché 4x4 72 cv","Gasolina"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69300","MAHINDRA CJ","MAHINDRA CJ CJ-4A 2.2 familiar baché 4x2 72 cv","Gasolina"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","38287","MAHINDRA CJ","MAHINDRA CJ 640 DP 2.1 D 4x2 Familiar 62 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69292","MAHINDRA CJ","MAHINDRA CJ 640 DP 2.1 D familiar 4x4 62 cv","Diesel"
"ma-288","MAHINDRA","fa-1812","CJ","mo-3445"," (01/1954 - 12/2000)","01/1954","12/2000","69301","MAHINDRA CJ","MAHINDRA CJ CJ-4A 2.2 familiar baché 4x4 72 cv","Gasolina"
