brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68487,MAN TGE,MAN TGE 35 2.0 BiTDI 16V Fourgon extra long FWD 177 cv,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68521,MAN TGE,MAN TGE 35 2.0 TDI 16V Fourgon extra long AWD 140 cv,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68496,MAN TGE,MAN TGE 35 2.0 BiTDI 16V Châssis cabine long RWD 177 cv,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68495,MAN TGE,MAN TGE 35 2.0 BiTDI 16V Plancher cabine standard FWD 177 cv,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68526,MAN TGE,MAN TGE 35 2.0 TDI 16V Châssis cabine long FWD 140 cv Boîte auto,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68500,MAN TGE,MAN TGE 35 2.0 BiTDI 16V Fourgon long surélevé RWD 177 cv,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68468,MAN TGE,MAN TGE 35 2.0 BiTDI 16V Combi long AWD 177 cv,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68490,MAN TGE,MAN TGE 35 2.0 BiTDI 16V Fourgon standard FWD 177 cv Boîte auto,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68553,MAN TGE,MAN TGE 35 2.0 TDI 16V Fourgon standard RWD 140 cv,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68501,MAN TGE,MAN TGE 35 2.0 BiTDI 16V Fourgon standard RWD 177 cv,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68465,MAN TGE,MAN TGE 35 2.0 BiTDI 16V Châssis double cabine long AWD 177 cv,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68549,MAN TGE,MAN TGE 35 2.0 TDI 16V Châssis cabine standard RWD 140 cv,Diesel
ma-305,MAN,fa-2267,TGE,mo-6775,35 (02/2017 - Aujourd'hui),02/2017,,68547,MAN TGE,MAN TGE 35 2.0 TDI 16V Plancher cabine standard FWD 140 cv,Diesel
