"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-5752","III (08/2013 - 09/2017)","08/2013","09/2017","43389","MASERATI GHIBLI","MASERATI GHIBLI III 3.0 Berlina 32V 330 cv Transmisión automática","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-5752","III (08/2013 - 09/2017)","08/2013","09/2017","43387","MASERATI GHIBLI","MASERATI GHIBLI III 3.0 Berlina 32V 250 cv Transmisión automática","Diesel"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-5752","III (08/2013 - 09/2017)","08/2013","09/2017","43391","MASERATI GHIBLI","MASERATI GHIBLI III 3.0 Q4 Berlina 32V 410 cv Transmisión automática","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-5752","III (08/2013 - 09/2017)","08/2013","09/2017","43390","MASERATI GHIBLI","MASERATI GHIBLI III 3.0 Berlina 32V 410 cv Transmisión automática","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-5752","III (08/2013 - 09/2017)","08/2013","09/2017","43388","MASERATI GHIBLI","MASERATI GHIBLI III 3.0 Berlina 32V 274 cv Transmisión automática","Diesel"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-6777","III fase 2 (09/2017 - Hoy)","09/2017","","58772","MASERATI GHIBLI","MASERATI GHIBLI III fase 2 3.0 berlina 24V 274 cv Transmisión automática","Diesel"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-6777","III fase 2 (09/2017 - Hoy)","09/2017","","58774","MASERATI GHIBLI","MASERATI GHIBLI III fase 2 3.0 Q4 berlina 24V 430 cv","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-6777","III fase 2 (09/2017 - Hoy)","09/2017","","58773","MASERATI GHIBLI","MASERATI GHIBLI III fase 2 3.0 berlina 24V 350 cv Transmisión automática","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-3086","II (04/1992 - 12/1997)","04/1992","12/1997","59348","MASERATI GHIBLI","MASERATI GHIBLI II 2.0 24V Biturbo 330 cv","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-3086","II (04/1992 - 12/1997)","04/1992","12/1997","27463","MASERATI GHIBLI","MASERATI GHIBLI II 2.8 24V Biturbo 284 cv","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-3086","II (04/1992 - 12/1997)","04/1992","12/1997","27131","MASERATI GHIBLI","MASERATI GHIBLI II 2.0 24V Biturbo 306 cv","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-3087"," (01/1967 - 12/1973)","01/1967","12/1973","27606","MASERATI GHIBLI","MASERATI GHIBLI 5.0 335 cv","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-3087"," (01/1967 - 12/1973)","01/1967","12/1973","27621","MASERATI GHIBLI","MASERATI GHIBLI 4.7 310 cv","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-3088","I Spider (01/1967 - 12/1973)","01/1967","12/1973","27580","MASERATI GHIBLI","MASERATI GHIBLI I Spider 4.9 335 cv","Gasolina"
"ma-267","MASERATI","fa-1336","GHIBLI","mo-3088","I Spider (01/1967 - 12/1973)","01/1967","12/1973","27448","MASERATI GHIBLI","MASERATI GHIBLI I Spider 4.7 310 cv","Gasolina"
