"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-267","MASERATI","fa-1336","Ghibli","mo-5752","III (08/2013 - 09/2017)","08/2013","09/2017","43389","MASERATI Ghibli","MASERATI Ghibli III 3.0 i 24V 330 cv Boîte auto","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-5752","III (08/2013 - 09/2017)","08/2013","09/2017","43387","MASERATI Ghibli","MASERATI Ghibli III 3.0 D 24V 250 cv Boîte auto","Diesel"
"ma-267","MASERATI","fa-1336","Ghibli","mo-5752","III (08/2013 - 09/2017)","08/2013","09/2017","43388","MASERATI Ghibli","MASERATI Ghibli III 3.0 D 24V 274 cv Boîte auto","Diesel"
"ma-267","MASERATI","fa-1336","Ghibli","mo-5752","III (08/2013 - 09/2017)","08/2013","09/2017","43390","MASERATI Ghibli","MASERATI Ghibli III S 3.0 i 24V 410 cv Boîte auto","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-5752","III (08/2013 - 09/2017)","08/2013","09/2017","43391","MASERATI Ghibli","MASERATI Ghibli III S Q4 3.0 i 24V 410 cv Boîte auto","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-6777","III phase 2 (09/2017 - Aujourd'hui)","09/2017","","58772","MASERATI Ghibli","MASERATI Ghibli III phase 2 3.0 D 24V 274 cv Boîte auto","Diesel"
"ma-267","MASERATI","fa-1336","Ghibli","mo-6777","III phase 2 (09/2017 - Aujourd'hui)","09/2017","","58773","MASERATI Ghibli","MASERATI Ghibli III phase 2 3.0 i 24V 350 cv Boîte auto","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-6777","III phase 2 (09/2017 - Aujourd'hui)","09/2017","","58774","MASERATI Ghibli","MASERATI Ghibli III phase 2 S Q4 3.0 i 24V 430 cv","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-3086","II (04/1992 - 12/1997)","04/1992","12/1997","27131","MASERATI Ghibli","MASERATI Ghibli II 2.0 24V Biturbo 306 cv","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-3086","II (04/1992 - 12/1997)","04/1992","12/1997","59348","MASERATI Ghibli","MASERATI Ghibli II 2.0 24V Biturbo 330 cv","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-3086","II (04/1992 - 12/1997)","04/1992","12/1997","27463","MASERATI Ghibli","MASERATI Ghibli II 2.8 24V Biturbo 284 cv","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-3087","I (01/1967 - 12/1973)","01/1967","12/1973","27621","MASERATI Ghibli","MASERATI Ghibli I 4.7 310 cv","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-3087","I (01/1967 - 12/1973)","01/1967","12/1973","27606","MASERATI Ghibli","MASERATI Ghibli I 5.0 335 cv","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-3088","I Spider (01/1967 - 12/1973)","01/1967","12/1973","27448","MASERATI Ghibli","MASERATI Ghibli I Spider 4.7 310 cv","Essence"
"ma-267","MASERATI","fa-1336","Ghibli","mo-3088","I Spider (01/1967 - 12/1973)","01/1967","12/1973","27580","MASERATI Ghibli","MASERATI Ghibli I Spider 4.9 335 cv","Essence"
"ma-267","MASERATI","fa-2147","GranTurismo","mo-5753"," (08/2007 - Aujourd'hui)","08/2007","","43399","MASERATI GranTurismo","MASERATI GranTurismo 4.7 Coupé 32V 450 cv","Essence"
"ma-267","MASERATI","fa-2147","GranTurismo","mo-5753"," (08/2007 - Aujourd'hui)","08/2007","","43397","MASERATI GranTurismo","MASERATI GranTurismo 4.7 Coupé 32V 460 cv Boîte auto","Essence"
"ma-267","MASERATI","fa-2147","GranTurismo","mo-5753"," (08/2007 - Aujourd'hui)","08/2007","","43398","MASERATI GranTurismo","MASERATI GranTurismo 4.7 Coupé 32V 440 cv","Essence"
"ma-267","MASERATI","fa-2147","GranTurismo","mo-5753"," (08/2007 - Aujourd'hui)","08/2007","","43395","MASERATI GranTurismo","MASERATI GranTurismo 4.2 Coupé 32V 405 cv Boîte auto","Essence"
"ma-267","MASERATI","fa-2147","GranTurismo","mo-5753"," (08/2007 - Aujourd'hui)","08/2007","","58243","MASERATI GranTurismo","MASERATI GranTurismo 4.7 Coupé 32V BVR6 460 cv Boîte auto","Essence"
"ma-267","MASERATI","fa-2147","GranTurismo","mo-5753"," (08/2007 - Aujourd'hui)","08/2007","","43396","MASERATI GranTurismo","MASERATI GranTurismo 4.7 Coupé 32V 440 cv Boîte auto","Essence"
"ma-267","MASERATI","fa-2259","Levante","mo-6743"," (06/2016 - Aujourd'hui)","06/2016","","58717","MASERATI Levante","MASERATI Levante Q4 3.0 D 24V 250 cv Boîte auto","Diesel"
"ma-267","MASERATI","fa-2259","Levante","mo-6743"," (06/2016 - Aujourd'hui)","06/2016","","58346","MASERATI Levante","MASERATI Levante Q4 3.0 D 24V 275 cv Boîte auto","Diesel"
