"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-137","MAZDA","fa-453","3","mo-1347","Mazda 3 I Hatchback (06/2003 - 02/2006)","06/2003","02/2006","15507","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback 1.6 i 105cv Transmisión automática","Gasolina"
"ma-137","MAZDA","fa-453","3","mo-1347","Mazda 3 I Hatchback (06/2003 - 02/2006)","06/2003","02/2006","7021","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback 1.4 i 84cv","Gasolina"
"ma-137","MAZDA","fa-453","3","mo-1347","Mazda 3 I Hatchback (06/2003 - 02/2006)","06/2003","02/2006","15508","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback 2.0 i 141cv","Gasolina"
"ma-137","MAZDA","fa-453","3","mo-1347","Mazda 3 I Hatchback (06/2003 - 02/2006)","06/2003","02/2006","15506","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback 1.6 DE 109cv","Diesel"
"ma-137","MAZDA","fa-453","3","mo-1347","Mazda 3 I Hatchback (06/2003 - 02/2006)","06/2003","02/2006","7022","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback 1.6 i 105cv","Gasolina"
"ma-137","MAZDA","fa-453","3","mo-1347","Mazda 3 I Hatchback (06/2003 - 02/2006)","06/2003","02/2006","30345","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback 2.0 i 16V 141 cv Transmisión automática","Gasolina"
"ma-137","MAZDA","fa-453","3","mo-1347","Mazda 3 I Hatchback (06/2003 - 02/2006)","06/2003","02/2006","15505","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback 1.6 DE 90cv","Diesel"
"ma-137","MAZDA","fa-453","3","mo-1347","Mazda 3 I Hatchback (06/2003 - 02/2006)","06/2003","02/2006","62543","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback 2.0 i 16V 150 cv","Gasolina"
"ma-137","MAZDA","fa-453","3","mo-1348","Mazda 3 I Hatchback Fase 2 (03/2006 - 11/2008)","03/2006","11/2008","4895","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback Fase 2 1.6 i 105cv Transmisión automática","Gasolina"
"ma-137","MAZDA","fa-453","3","mo-1348","Mazda 3 I Hatchback Fase 2 (03/2006 - 11/2008)","03/2006","11/2008","30752","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback Fase 2 2.0 i 16V 150 cv Transmisión automática","Gasolina"
"ma-137","MAZDA","fa-453","3","mo-1348","Mazda 3 I Hatchback Fase 2 (03/2006 - 11/2008)","03/2006","11/2008","7023","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback Fase 2 1.6 MZ-CD 90cv","Diesel"
"ma-137","MAZDA","fa-453","3","mo-1348","Mazda 3 I Hatchback Fase 2 (03/2006 - 11/2008)","03/2006","11/2008","7024","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback Fase 2 1.6 MZ-CD 109cv","Diesel"
"ma-137","MAZDA","fa-453","3","mo-1348","Mazda 3 I Hatchback Fase 2 (03/2006 - 11/2008)","03/2006","11/2008","15509","MAZDA 3","MAZDA 3 Mazda 3 I Hatchback Fase 2 1.4 i 84cv","Gasolina"
