brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-137,MAZDA,fa-453,3,mo-1347,Mazda 3 I Hatchback (06/2003 - 02/2006),06/2003,02/2006,15506,MAZDA 3,MAZDA 3 Mazda 3 I Hatchback 1.6 DE 109cv,Diesel
ma-137,MAZDA,fa-453,3,mo-1347,Mazda 3 I Hatchback (06/2003 - 02/2006),06/2003,02/2006,7021,MAZDA 3,MAZDA 3 Mazda 3 I Hatchback 1.4 i 84cv,Essence
ma-137,MAZDA,fa-453,3,mo-1347,Mazda 3 I Hatchback (06/2003 - 02/2006),06/2003,02/2006,7022,MAZDA 3,MAZDA 3 Mazda 3 I Hatchback 1.6 i 105cv,Essence
ma-137,MAZDA,fa-453,3,mo-1347,Mazda 3 I Hatchback (06/2003 - 02/2006),06/2003,02/2006,15507,MAZDA 3,MAZDA 3 Mazda 3 I Hatchback 1.6 i 105cv Boîte auto,Essence
ma-137,MAZDA,fa-453,3,mo-1347,Mazda 3 I Hatchback (06/2003 - 02/2006),06/2003,02/2006,15505,MAZDA 3,MAZDA 3 Mazda 3 I Hatchback 1.6 DE 90cv,Diesel
ma-137,MAZDA,fa-453,3,mo-1347,Mazda 3 I Hatchback (06/2003 - 02/2006),06/2003,02/2006,15508,MAZDA 3,MAZDA 3 Mazda 3 I Hatchback 2.0 i 141cv,Essence
ma-137,MAZDA,fa-453,3,mo-1347,Mazda 3 I Hatchback (06/2003 - 02/2006),06/2003,02/2006,30345,MAZDA 3,MAZDA 3 Mazda 3 I Hatchback 2.0 i 141cv Boîte auto,Essence
ma-137,MAZDA,fa-453,3,mo-1347,Mazda 3 I Hatchback (06/2003 - 02/2006),06/2003,02/2006,62543,MAZDA 3,MAZDA 3 Mazda 3 I Hatchback 2.0 i 150cv,Essence
ma-137,MAZDA,fa-453,3,mo-4523,Mazda 3 II Hatchback (12/2008 - 10/2011),12/2008,10/2011,48198,MAZDA 3,MAZDA 3 Mazda 3 II Hatchback 2.0 i 16V 150 cv Boîte auto,Essence
ma-137,MAZDA,fa-453,3,mo-4523,Mazda 3 II Hatchback (12/2008 - 10/2011),12/2008,10/2011,30756,MAZDA 3,MAZDA 3 Mazda 3 II Hatchback 1.6 i 16V 105 cv,Essence
ma-137,MAZDA,fa-453,3,mo-4523,Mazda 3 II Hatchback (12/2008 - 10/2011),12/2008,10/2011,30755,MAZDA 3,MAZDA 3 Mazda 3 II Hatchback 1.6 i 16V Activematic 105 cv Boîte auto,Essence
ma-137,MAZDA,fa-453,3,mo-4523,Mazda 3 II Hatchback (12/2008 - 10/2011),12/2008,10/2011,65343,MAZDA 3,MAZDA 3 Mazda 3 II Hatchback 2.0 i 16V 150 cv,Essence
ma-137,MAZDA,fa-453,3,mo-4523,Mazda 3 II Hatchback (12/2008 - 10/2011),12/2008,10/2011,30758,MAZDA 3,MAZDA 3 Mazda 3 II Hatchback 2.0 i 16V i-STOP 150 cv,Essence
ma-137,MAZDA,fa-453,3,mo-4523,Mazda 3 II Hatchback (12/2008 - 10/2011),12/2008,10/2011,30760,MAZDA 3,MAZDA 3 Mazda 3 II Hatchback 2.2 CDVi 16V 185 cv,Diesel
ma-137,MAZDA,fa-453,3,mo-4523,Mazda 3 II Hatchback (12/2008 - 10/2011),12/2008,10/2011,30759,MAZDA 3,MAZDA 3 Mazda 3 II Hatchback 2.2 CDVi 16V 150 cv,Diesel
ma-137,MAZDA,fa-453,3,mo-4523,Mazda 3 II Hatchback (12/2008 - 10/2011),12/2008,10/2011,33541,MAZDA 3,MAZDA 3 Mazda 3 II Hatchback 1.6 MZ-CD 115 cv,Diesel
