"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","7267","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 230 2.5 i V6 24V 204 cv","Essence"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","31486","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 250 CDi 2.1 CDI 16V DPF 4MATIC 204 cv Boîte auto","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","31483","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 250 CGI 1.8 16V CGI 204 cv Boîte auto","Essence"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","66305","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 180 Kompressor 1.6 i 16V 156 cv Boîte auto","Essence"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","29639","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 180 Kompressor 1.6 i 16V BlueEFFICIENCY 156 cv","Essence"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","46524","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 200 CDi 2.1 CDI 16V DPF 136 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","29635","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 200 CDi 2.2 CDI 16V BlueEFFICIENCY 136 cv Boîte auto","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","31481","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 250 CDi 2.1 CDI 16V BlueEFFICIENCY 204 cv Boîte auto","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","28301","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 320 CDi 3.0 CDI 24V 4MATIC 7G-TRONIC 224 cv Boîte auto","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","15602","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 320 CDi 3.0 CDI 24V 7G-TRONIC 224 cv Boîte auto","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","20946","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 180 Kompressor 1.8 i 16V 156 cv","Essence"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","24698","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 280 3.0 i V6 24V 4MATIC 7G-TRONIC 231 cv Boîte auto","Essence"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","29634","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 250 CDi 2.1 CDI 16V DPF BlueEFFICIENCY 204 cv","Diesel"
"ma-140","MERCEDES-BENZ","fa-482","Classe C","mo-665","(204) Berline (01/2007 - 02/2011)","01/2007","02/2011","35766","MERCEDES-BENZ Classe C","MERCEDES-BENZ Classe C (204) Berline 220 CDi 2.2 CDI 16V 163 cv","Diesel"
