brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-140,MERCEDES-BENZ,fa-482,Classe C,mo-659,(203) Berline (04/2000 - 12/2003),04/2000,12/2003,5046,MERCEDES-BENZ Classe C,MERCEDES-BENZ Classe C (203) Berline 320 3.2 i 18V 218 cv Caixa Automática,Essence
ma-140,MERCEDES-BENZ,fa-482,Classe C,mo-659,(203) Berline (04/2000 - 12/2003),04/2000,12/2003,20918,MERCEDES-BENZ Classe C,MERCEDES-BENZ Classe C (203) Berline 200 CDi 2.2 CDI 16V 116 cv,Diesel
ma-140,MERCEDES-BENZ,fa-482,Classe C,mo-659,(203) Berline (04/2000 - 12/2003),04/2000,12/2003,5045,MERCEDES-BENZ Classe C,MERCEDES-BENZ Classe C (203) Berline 30 CDi AMG 3.0 CDI 20V 231 cv Caixa Automática,Diesel
ma-140,MERCEDES-BENZ,fa-482,Classe C,mo-659,(203) Berline (04/2000 - 12/2003),04/2000,12/2003,25073,MERCEDES-BENZ Classe C,MERCEDES-BENZ Classe C (203) Berline 240 2.6 i 18V 4Matic 170 cv Caixa Automática,Essence
ma-140,MERCEDES-BENZ,fa-482,Classe C,mo-659,(203) Berline (04/2000 - 12/2003),04/2000,12/2003,15573,MERCEDES-BENZ Classe C,MERCEDES-BENZ Classe C (203) Berline 200 Kompressor 2.0 i 16V 163 cv,Essence
ma-140,MERCEDES-BENZ,fa-482,Classe C,mo-659,(203) Berline (04/2000 - 12/2003),04/2000,12/2003,5043,MERCEDES-BENZ Classe C,MERCEDES-BENZ Classe C (203) Berline 240 2.6 i 18V 170 cv,Essence
ma-140,MERCEDES-BENZ,fa-482,Classe C,mo-659,(203) Berline (04/2000 - 12/2003),04/2000,12/2003,5042,MERCEDES-BENZ Classe C,MERCEDES-BENZ Classe C (203) Berline 220 CDi 2.2 CDI 16V 143 cv Caixa Automática,Diesel
ma-140,MERCEDES-BENZ,fa-482,Classe C,mo-659,(203) Berline (04/2000 - 12/2003),04/2000,12/2003,20919,MERCEDES-BENZ Classe C,MERCEDES-BENZ Classe C (203) Berline 200 CDi 2.2 CDI 16V 102 cv Caixa Automática,Diesel
ma-140,MERCEDES-BENZ,fa-482,Classe C,mo-659,(203) Berline (04/2000 - 12/2003),04/2000,12/2003,7171,MERCEDES-BENZ Classe C,MERCEDES-BENZ Classe C (203) Berline 200 Kompressor 1.8 i 16V 163 cv Caixa Automática,Essence
ma-140,MERCEDES-BENZ,fa-482,Classe C,mo-659,(203) Berline (04/2000 - 12/2003),04/2000,12/2003,5040,MERCEDES-BENZ Classe C,MERCEDES-BENZ Classe C (203) Berline 200 Kompressor 2.0 i 16V 163 cv Caixa Automática,Essence
