brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-259,MG,fa-505,MG ZR,mo-1384, (06/2001 - 04/2005),06/2001,04/2005,8222,MG MG ZR,MG MG ZR 115 2.0 TD 113 cv,Diesel
ma-259,MG,fa-505,MG ZR,mo-1384, (06/2001 - 04/2005),06/2001,04/2005,8221,MG MG ZR,MG MG ZR 100 2.0 TD 101 cv,Diesel
ma-259,MG,fa-505,MG ZR,mo-1384, (06/2001 - 04/2005),06/2001,04/2005,5604,MG MG ZR,MG MG ZR 160 1.8 i VVC 16V 160 cv,Essence
ma-259,MG,fa-505,MG ZR,mo-1384, (06/2001 - 04/2005),06/2001,04/2005,8223,MG MG ZR,MG MG ZR 120 1.8 i 16V Stepspeed 120 cv Caixa Automática,Essence
ma-259,MG,fa-505,MG ZR,mo-1384, (06/2001 - 04/2005),06/2001,04/2005,5603,MG MG ZR,MG MG ZR 105 1.4 i 16V 103 cv,Essence
ma-259,MG,fa-505,MG ZR,mo-1384, (06/2001 - 04/2005),06/2001,04/2005,15956,MG MG ZR,MG MG ZR 120 1.8 i 16V 120 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,21329,MG MG ZT,MG MG ZT ZT-T Break 135 2.0 CDTi 16V 131 cv Caixa Automática,Diesel
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,21331,MG MG ZT,MG MG ZT ZT-T Break 190 2.5 i V6 24V 190 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,21330,MG MG ZT,MG MG ZT ZT-T Break 180 2.5 i V6 24V 177 cv Caixa Automática,Essence
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,15959,MG MG ZT,MG MG ZT ZT-T Break 180 2.5 i V6 24V 177 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,5614,MG MG ZT,MG MG ZT ZT-T Break 120 2.0 CDTi 16V 116 cv,Diesel
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,8233,MG MG ZT,MG MG ZT ZT-T Break 180 2.5 i V6 24V 160 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,56181,MG MG ZT,MG MG ZT ZT-T Break 120 2.0 CDTi 16V 116 cv Caixa Automática,Diesel
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,5616,MG MG ZT,MG MG ZT ZT-T Break 260 4.6 i V8 16V 260 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,5615,MG MG ZT,MG MG ZT ZT-T Break 160 1.8 i 16V Turbo 160 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,21328,MG MG ZT,MG MG ZT ZT-T Break 135 2.0 CDTi 16V 131 cv,Diesel
ma-259,MG,fa-507,MG ZT,mo-1387,ZT-T Break (06/2001 - 04/2005),06/2001,04/2005,8232,MG MG ZT,MG MG ZT ZT-T Break 120 1.8 i 16V 120 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,8231,MG MG ZT,MG MG ZT Berline 260 4.6 i V8 16V 260 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,5613,MG MG ZT,MG MG ZT Berline 190 2.5 i V6 24V 190 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,8230,MG MG ZT,MG MG ZT Berline 180 2.5 i V6 24V 177 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,8229,MG MG ZT,MG MG ZT Berline 160 1.8 i 16V Turbo 160 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,5612,MG MG ZT,MG MG ZT Berline 180 2.5 i V6 24V 160 cv,Essence
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,33409,MG MG ZT,MG MG ZT Berline 180 2.5 i V6 24V 177 cv Caixa Automática,Essence
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,50384,MG MG ZT,MG MG ZT Berline 120 2.0 CDTi 16V 116 cv Caixa Automática,Diesel
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,15958,MG MG ZT,MG MG ZT Berline 135 2.0 CDTi 16V 131 cv,Diesel
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,5610,MG MG ZT,MG MG ZT Berline 120 2.0 CDTi 16V 116 cv,Diesel
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,5611,MG MG ZT,MG MG ZT Berline 135 2.0 CDTi 16V 131 cv Caixa Automática,Diesel
ma-259,MG,fa-507,MG ZT,mo-1386,Berline (06/2001 - 04/2005),06/2001,04/2005,8228,MG MG ZT,MG MG ZT Berline 120 1.8 i 16V 120 cv,Essence
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,8226,MG MG ZS,MG MG ZS ZS 115 2.0 TD Berline 113 cv,Diesel
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,8224,MG MG ZS,MG MG ZS ZS 100 2.0 TD berline 101 cv,Diesel
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,8227,MG MG ZS,MG MG ZS ZS 180 2.5 i V6 24V Berline 177 cv,Essence
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,5606,MG MG ZS,MG MG ZS ZS 120 1.8 i 16V Stepspeed 120 cv Caixa Automática,Essence
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,21327,MG MG ZS,MG MG ZS ZS 120 1.8 i 16V 120 cv,Essence
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,5605,MG MG ZS,MG MG ZS ZS 100 2.0 TD 101 cv,Diesel
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,33408,MG MG ZS,MG MG ZS ZS 180 2.5 i V6 24V Berline 177 cv Caixa Automática,Essence
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,21326,MG MG ZS,MG MG ZS ZS 110 1.6 i 16V 109 cv,Essence
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,5607,MG MG ZS,MG MG ZS ZS 120 1.8 i 16V Berline 120 cv,Essence
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,5609,MG MG ZS,MG MG ZS ZS 180 2.5 i V6 24V 177 cv,Essence
ma-259,MG,fa-506,MG ZS,mo-1385,ZS (07/2001 - 04/2005),07/2001,04/2005,15957,MG MG ZS,MG MG ZS ZS 115 2.0 TD 113 cv,Diesel
