brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,62432,MINI MINI,MINI MINI (R50/53) JCW GP 1.6 i 16V 218 cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,21332,MINI MINI,MINI MINI (R50/53) Cooper 1.6 i 16V CVT 115cv Transmisión automática,Gasolina
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,8234,MINI MINI,MINI MINI (R50/53) Cooper S 1.6 i 16V 163cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,8236,MINI MINI,MINI MINI (R50/53) One 1.4 d 75cv,Diesel
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,5619,MINI MINI,MINI MINI (R50/53) One 1.6 i 16V 90cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,30406,MINI MINI,MINI MINI (R50/53) One 1.4 i 16V 75 cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,21333,MINI MINI,MINI MINI (R50/53) Cooper S 1.6 i 16V 170cv Transmisión automática,Gasolina
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,15960,MINI MINI,MINI MINI (R50/53) Cooper Works 1.6 i 16V 210cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,15961,MINI MINI,MINI MINI (R50/53) One D 1.4 CRTDI 88cv,Diesel
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,5618,MINI MINI,MINI MINI (R50/53) Cooper S 1.6 i 16V 170cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,5617,MINI MINI,MINI MINI (R50/53) Cooper 1.6 i 16V 115cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1405,(R50/53) (09/2001 - 11/2006),09/2001,11/2006,21334,MINI MINI,MINI MINI (R50/53) One 1.6 i 16V CVT 90cv Transmisión automática,Gasolina
ma-141,MINI,fa-509,MINI,mo-1406,2 (R56) (11/2006 - 07/2010),11/2006,07/2010,32776,MINI MINI,MINI MINI 2 (R56) Mini One 1.4 i 16V 75 cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1406,2 (R56) (11/2006 - 07/2010),11/2006,07/2010,38455,MINI MINI,MINI MINI 2 (R56) Cooper S 1.6 i Turbo 16V 163 cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1406,2 (R56) (11/2006 - 07/2010),11/2006,07/2010,5623,MINI MINI,MINI MINI 2 (R56) One 1.4 i 16V 95cv Transmisión automática,Gasolina
ma-141,MINI,fa-509,MINI,mo-1406,2 (R56) (11/2006 - 07/2010),11/2006,07/2010,21337,MINI MINI,MINI MINI 2 (R56) Cooper S 1.6 i 16V Turbo 175cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1406,2 (R56) (11/2006 - 07/2010),11/2006,07/2010,5621,MINI MINI,MINI MINI 2 (R56) Cooper 1.6 i 16V 120cv,Gasolina
ma-141,MINI,fa-509,MINI,mo-1406,2 (R56) (11/2006 - 07/2010),11/2006,07/2010,15964,MINI MINI,MINI MINI 2 (R56) Cooper 1.6 i 16V 120cv Transmisión automática,Gasolina
ma-141,MINI,fa-509,MINI,mo-1406,2 (R56) (11/2006 - 07/2010),11/2006,07/2010,36127,MINI MINI,MINI MINI 2 (R56) Cooper D 1.6 D 16V 110 cv Transmisión automática,Diesel
ma-141,MINI,fa-509,MINI,mo-1406,2 (R56) (11/2006 - 07/2010),11/2006,07/2010,40926,MINI MINI,MINI MINI 2 (R56) Cooper 1.6 i 16V 115 cv Transmisión automática,Gasolina
