"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","32776","MINI MINI","MINI MINI 2 (R56) One 1.4 i 16V 75 cv","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","38455","MINI MINI","MINI MINI 2 (R56) Cooper S 1.6 i 16V Turbo 163 cv","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","5623","MINI MINI","MINI MINI 2 (R56) One 1.4 i 16V 95cv Caixa Automática","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","21337","MINI MINI","MINI MINI 2 (R56) Cooper S 1.6 i 16V Turbo 175cv","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","5621","MINI MINI","MINI MINI 2 (R56) Cooper 1.6 i 16V 120cv","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","15964","MINI MINI","MINI MINI 2 (R56) Cooper 1.6 i 16V 120cv Caixa Automática","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","36127","MINI MINI","MINI MINI 2 (R56) Cooper D 1.6 D 16V 110 cv Caixa Automática","Diesel"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","40926","MINI MINI","MINI MINI 2 (R56) Cooper 1.6 i 16V 115 cv Caixa Automática","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","33689","MINI MINI","MINI MINI 2 (R56) One D 1.6 D 16V 90 cv","Diesel"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","40927","MINI MINI","MINI MINI 2 (R56) Cooper 1.6 i 16V 115 cv","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","15965","MINI MINI","MINI MINI 2 (R56) One 1.4 i 16V 95cv","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","5622","MINI MINI","MINI MINI 2 (R56) Cooper S 1.6 i 16V Turbo 175cv Caixa Automática","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","29643","MINI MINI","MINI MINI 2 (R56) Cooper S JCW 1.6 i 16V Turbo 211 cv","Essence"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","8237","MINI MINI","MINI MINI 2 (R56) Cooper D 1.6 d 16V 110cv","Diesel"
"ma-141","MINI","fa-509","MINI","mo-1406","2 (R56) (11/2006 - 07/2010)","11/2006","07/2010","32775","MINI MINI","MINI MINI 2 (R56) Cooper S JCW 1.6 i 16V Turbo 192 cv","Essence"
"ma-141","MINI","fa-509","MINI","mo-5929","2 (R60) Countryman (08/2010 - 07/2014)","08/2010","07/2014","33564","MINI MINI","MINI MINI 2 (R60) Countryman One 1.4 i 16V Steptronic 98 cv Caixa Automática","Essence"
