"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","16056","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.0 i V6 Break baché 150cv","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","5928","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 2.5 TD Break baché 99cv","Diesel"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","21455","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.0 i V6 Break 177cv Boîte auto","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","21453","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.0 i V6 Break baché 150cv Boîte auto","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","21454","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.0 i V6 Break 177cv","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","16058","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.5 i V6 Break 194cv","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","8477","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.0 i V6 Break baché 177cv Boîte auto","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","8400","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 2.4 i Break baché 112cv","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","8474","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 2.5 TD Break 99cv","Diesel"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","5930","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 2.8 TD Break 125cv Boîte auto","Diesel"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","5931","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.0 i V6 Break baché 177cv","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","8479","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.5 i V6 Break 208cv Boîte auto","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","5933","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.5 i V6 Break 194cv Boîte auto","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","5929","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 2.5 TD Break 87cv","Diesel"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","8476","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 2.5 TD Break 115cv","Diesel"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","16055","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 2.8 TD Break 125cv","Diesel"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","16057","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.0 i V6 Break 150cv","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","8401","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 2.4 i Break 112cv","Essence"
"ma-142","MITSUBISHI","fa-527","Pajero","mo-1515","2 (V2/4) (12/1990 - 04/2004)","12/1990","04/2004","8478","MITSUBISHI Pajero","MITSUBISHI Pajero 2 (V2/4) 3.5 i V6 Break 208cv","Essence"
