"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-262","MORRIS","fa-1353","MARINA","mo-3110"," (04/1971 - 06/1980)","04/1971","06/1980","27505","MORRIS MARINA","MORRIS MARINA 1500 Diesel 50 cv","Diesel"
"ma-262","MORRIS","fa-1353","MARINA","mo-3110"," (04/1971 - 06/1980)","04/1971","06/1980","27457","MORRIS MARINA","MORRIS MARINA 1.8 82 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3110"," (04/1971 - 06/1980)","04/1971","06/1980","27225","MORRIS MARINA","MORRIS MARINA 1800 HL 95 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3110"," (04/1971 - 06/1980)","04/1971","06/1980","27308","MORRIS MARINA","MORRIS MARINA 1300 60 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3110"," (04/1971 - 06/1980)","04/1971","06/1980","27360","MORRIS MARINA","MORRIS MARINA 1800 73 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3110"," (04/1971 - 06/1980)","04/1971","06/1980","27331","MORRIS MARINA","MORRIS MARINA 1.8 TC 92 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3110"," (04/1971 - 06/1980)","04/1971","06/1980","27301","MORRIS MARINA","MORRIS MARINA 1800 GT 95 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3113","II (10/1975 - 09/1978)","10/1975","09/1978","27426","MORRIS MARINA","MORRIS MARINA II 2600 (ZA) 110 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3113","II (10/1975 - 09/1978)","10/1975","09/1978","27466","MORRIS MARINA","MORRIS MARINA II 1800 73 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3113","II (10/1975 - 09/1978)","10/1975","09/1978","27214","MORRIS MARINA","MORRIS MARINA II 1500 Diesel 50 cv","Diesel"
"ma-262","MORRIS","fa-1353","MARINA","mo-3113","II (10/1975 - 09/1978)","10/1975","09/1978","27117","MORRIS MARINA","MORRIS MARINA II 1300 57 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3113","II (10/1975 - 09/1978)","10/1975","09/1978","27293","MORRIS MARINA","MORRIS MARINA II 1750 (ZA) 79 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3111","Coupé (04/1971 - 06/1980)","04/1971","06/1980","27374","MORRIS MARINA","MORRIS MARINA Coupé 1800 TC 95 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3111","Coupé (04/1971 - 06/1980)","04/1971","06/1980","27302","MORRIS MARINA","MORRIS MARINA Coupé 1800 72 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3111","Coupé (04/1971 - 06/1980)","04/1971","06/1980","27259","MORRIS MARINA","MORRIS MARINA Coupé 1300 57 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3115","II Station Wagon (10/1975 - 10/1980)","10/1975","10/1980","27256","MORRIS MARINA","MORRIS MARINA II Station Wagon 1800 78 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3115","II Station Wagon (10/1975 - 10/1980)","10/1975","10/1980","27205","MORRIS MARINA","MORRIS MARINA II Station Wagon 1300 58 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3112","Break (04/1971 - 12/1997)","04/1971","12/1997","27277","MORRIS MARINA","MORRIS MARINA Break 1800 78 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3116","III Break (10/1978 - 10/1980)","10/1978","10/1980","27462","MORRIS MARINA","MORRIS MARINA III Break 1.7 79 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3116","III Break (10/1978 - 10/1980)","10/1978","10/1980","27354","MORRIS MARINA","MORRIS MARINA III Break 1.3 58 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3114","III (10/1978 - 10/1980)","10/1978","10/1980","27455","MORRIS MARINA","MORRIS MARINA III 1,5 Diesel 50 cv","Diesel"
"ma-262","MORRIS","fa-1353","MARINA","mo-3114","III (10/1978 - 10/1980)","10/1978","10/1980","27295","MORRIS MARINA","MORRIS MARINA III 1,3 57 cv","Essence"
"ma-262","MORRIS","fa-1353","MARINA","mo-3114","III (10/1978 - 10/1980)","10/1978","10/1980","27501","MORRIS MARINA","MORRIS MARINA III 1.7 79 cv","Essence"
"ma-262","MORRIS","fa-1340","ITAL","mo-3094"," (07/1980 - 03/1984)","07/1980","03/1984","27123","MORRIS ITAL","MORRIS ITAL 1.7 79 cv","Essence"
"ma-262","MORRIS","fa-1340","ITAL","mo-3094"," (07/1980 - 03/1984)","07/1980","03/1984","27238","MORRIS ITAL","MORRIS ITAL 1.3 60 cv","Essence"
"ma-262","MORRIS","fa-1340","ITAL","mo-3094"," (07/1980 - 03/1984)","07/1980","03/1984","27194","MORRIS ITAL","MORRIS ITAL 2.0 91 cv","Essence"
"ma-262","MORRIS","fa-1340","ITAL","mo-3095","Station Wagon (07/1980 - 03/1984)","07/1980","03/1984","27135","MORRIS ITAL","MORRIS ITAL Station Wagon 2.0 91 cv","Essence"
"ma-262","MORRIS","fa-1340","ITAL","mo-3095","Station Wagon (07/1980 - 03/1984)","07/1980","03/1984","27149","MORRIS ITAL","MORRIS ITAL Station Wagon 1.7 79 cv","Essence"
"ma-262","MORRIS","fa-1340","ITAL","mo-3095","Station Wagon (07/1980 - 03/1984)","07/1980","03/1984","27439","MORRIS ITAL","MORRIS ITAL Station Wagon 1.3 60 cv","Essence"
