brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,42053,NISSAN Qashqai,NISSAN Qashqai II (J11E) 1.6 dCi 16V 4WD S&S 130 cv,Diesel
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,42049,NISSAN Qashqai,NISSAN Qashqai II (J11E) 1.2 DIG-T 16V 2WD S&S 115 cv,Essence
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,59154,NISSAN Qashqai,NISSAN Qashqai II (J11E) 2.0 i 16V 4WD 144 cv,Essence
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,42050,NISSAN Qashqai,NISSAN Qashqai II (J11E) 1.5 dCi 2WD S&S 110 cv,Diesel
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,59151,NISSAN Qashqai,NISSAN Qashqai II (J11E) 2.0 i 16V 2WD CVT 144 cv Caixa Automática,Essence
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,48284,NISSAN Qashqai,NISSAN Qashqai II (J11E) 1.6 DIG-T 16V 2WD S&S 163 cv,Essence
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,59152,NISSAN Qashqai,NISSAN Qashqai II (J11E) 2.0 i 16V 2WD 144 cv,Essence
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,59153,NISSAN Qashqai,NISSAN Qashqai II (J11E) 2.0 i 16V 4WD CVT 144 cv Caixa Automática,Essence
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,42052,NISSAN Qashqai,NISSAN Qashqai II (J11E) 1.6 dCi 16V 2WD Xtronic CVT S&S 130 cv Caixa Automática,Diesel
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,48723,NISSAN Qashqai,NISSAN Qashqai II (J11E) 1.2 DIG-T 16V 2WD Xtronic CVT S&S 115 cv Caixa Automática,Essence
ma-158,NISSAN,fa-562,Qashqai,mo-5611,II (J11E) (12/2013 - 05/2017),12/2013,05/2017,42051,NISSAN Qashqai,NISSAN Qashqai II (J11E) 1.6 dCi 16V 2WD S&S 130 cv,Diesel
ma-158,NISSAN,fa-562,Qashqai,mo-6735,II Phase 2 (J11E) (06/2017 - 07/2021),06/2017,07/2021,59689,NISSAN Qashqai,NISSAN Qashqai II Phase 2 (J11E) 1.5 dCi 2WD DCT7 S&S 115 cv Caixa Automática,Diesel
ma-158,NISSAN,fa-562,Qashqai,mo-6735,II Phase 2 (J11E) (06/2017 - 07/2021),06/2017,07/2021,58383,NISSAN Qashqai,NISSAN Qashqai II Phase 2 (J11E) 1.6 dCi 16V 2WD Xtronic CVT S&S 130 cv Caixa Automática,Diesel
