brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,16416,OPEL Corsa,OPEL Corsa B 1.4 i 60 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,9279,OPEL Corsa,OPEL Corsa B Van 1.2 i 45 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,16415,OPEL Corsa,OPEL Corsa B Affaire 1.4 i 60 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,9277,OPEL Corsa,OPEL Corsa B 1.0 i 12V 54 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,21825,OPEL Corsa,OPEL Corsa B Van 1.5 TD 67 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,9282,OPEL Corsa,OPEL Corsa B 1.4 Si 82 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,9278,OPEL Corsa,OPEL Corsa B 1.2 45 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,16488,OPEL Corsa,OPEL Corsa B 1.4 i 16V 90 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,21821,OPEL Corsa,OPEL Corsa B 1.2 i 16V 65 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,9284,OPEL Corsa,OPEL Corsa B 1.6 i 16V 106 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,6560,OPEL Corsa,OPEL Corsa B Van 1.7 D 60 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,21823,OPEL Corsa,OPEL Corsa B 1.4 i 60 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,21824,OPEL Corsa,OPEL Corsa B 1.5 D 50 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,16489,OPEL Corsa,OPEL Corsa B 1.5 TD 67cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,9283,OPEL Corsa,OPEL Corsa B 1.6 i 16V 103 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,41183,OPEL Corsa,OPEL Corsa B 1.4 i 16V 86 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,9285,OPEL Corsa,OPEL Corsa B GSI 1.6 i 16V 109 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,16414,OPEL Corsa,OPEL Corsa B 1.2 i 16V 65 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,9280,OPEL Corsa,OPEL Corsa B 1.2 i 45 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,9281,OPEL Corsa,OPEL Corsa B Van 1.4 i 60 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,6559,OPEL Corsa,OPEL Corsa B Van 1.5 D 50 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,21826,OPEL Corsa,OPEL Corsa B Affaire 1.7 D 60 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,21822,OPEL Corsa,OPEL Corsa B 1.4 i 16V 90 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,41182,OPEL Corsa,OPEL Corsa B 1.4 i 16V 86 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-769,B (03/1993 - 08/2000),03/1993,08/2000,21827,OPEL Corsa,OPEL Corsa B 1.7 D 60 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,16491,OPEL Corsa,OPEL Corsa C 1.2 i 16V 75 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,16493,OPEL Corsa,OPEL Corsa C 1.4 i 16V 90 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,9287,OPEL Corsa,OPEL Corsa C 1.0 i 12V 58 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,16490,OPEL Corsa,OPEL Corsa C Van 1.2 i 16V Easytronic 75 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,6564,OPEL Corsa,OPEL Corsa C 1.7 DTi 16V 75 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,21828,OPEL Corsa,OPEL Corsa C Van 1.2 i 16V 75 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,16492,OPEL Corsa,OPEL Corsa C 1.2 i 16V Easytronic 75 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,21830,OPEL Corsa,OPEL Corsa C 1.8 i 16V 125 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,9286,OPEL Corsa,OPEL Corsa C 1.0 i 12V 58 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,6563,OPEL Corsa,OPEL Corsa C Van 1.7 DTi 16V 75 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,6562,OPEL Corsa,OPEL Corsa C 1.7 DI 16V 65 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,21829,OPEL Corsa,OPEL Corsa C 1.4 i 16V 90 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-770,C (09/2000 - 08/2003),09/2000,08/2003,6561,OPEL Corsa,OPEL Corsa C Van 1.7 DI 16V 65 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,41130,OPEL Corsa,OPEL Corsa D 5 portes 1.4 i 16V Twinport GPL 87 cv,GPL
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,34762,OPEL Corsa,OPEL Corsa D 5 portes 1.2 i 16V Twinport GPL 75 cv,GPL
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,34764,OPEL Corsa,OPEL Corsa D 5 portes 1.3 CDTI 16V DPF ecoFLEX 95 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,6566,OPEL Corsa,OPEL Corsa D 5 portes 1.7 CDTI 16V DPF 125 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,65127,OPEL Corsa,OPEL Corsa D 5 portes 1.4 i 16V Twinport 100 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,16494,OPEL Corsa,OPEL Corsa D 5 portes 1.0 i 12V Twinport 60 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,34765,OPEL Corsa,OPEL Corsa D 5 portes 1.3 CDTI 16V DPF ecoFLEX S&S 95 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,65131,OPEL Corsa,OPEL Corsa D 5 portes 1.4 i 16V Twinport 87 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,47286,OPEL Corsa,OPEL Corsa D 5 portes 1.3 CDTI 16V 90 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,16495,OPEL Corsa,OPEL Corsa D 5 portes 1.3 CDTI 16V 75 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,65129,OPEL Corsa,OPEL Corsa D 5 portes 1.4 i 16V Twinport 100 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,28386,OPEL Corsa,OPEL Corsa D 5 portes 1.3 CDTI 16V Easytronic 90 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,65130,OPEL Corsa,OPEL Corsa D 5 portes 1.4 i 16V Twinport 90 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,21831,OPEL Corsa,OPEL Corsa D 5 portes 1.2 i 16V Twinport 80 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,34769,OPEL Corsa,OPEL Corsa D 5 portes 1.7 CDTI 16V DPF 130 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,65126,OPEL Corsa,OPEL Corsa D 5 portes 1.2 i 16V Twinport 70 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,41129,OPEL Corsa,OPEL Corsa D 5 portes 1.2 i 16V Twinport GPL 80 cv,GPL
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,50251,OPEL Corsa,OPEL Corsa D 5 portes 1.2 i 16V Twinport 85 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,21832,OPEL Corsa,OPEL Corsa D 5 portes 1.2 i 16V Twinport Easytronic 80 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,48168,OPEL Corsa,OPEL Corsa D 5 portes 1.3 CDTI 16V DPF ecoFLEX 75 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-5600,D 5 portes (07/2006 - 11/2010),07/2006,11/2010,65128,OPEL Corsa,OPEL Corsa D 5 portes 1.4 i 16V Twinport 90 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-771,C Phase 2 (09/2003 - 07/2006),09/2003,07/2006,16405,OPEL Corsa,OPEL Corsa C Phase 2 1.3 CDTI 16V Easytronic 70 cv Caixa Automática,Diesel
ma-163,OPEL,fa-583,Corsa,mo-771,C Phase 2 (09/2003 - 07/2006),09/2003,07/2006,21815,OPEL Corsa,OPEL Corsa C Phase 2 1.7 CDTI 16V 100 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-771,C Phase 2 (09/2003 - 07/2006),09/2003,07/2006,6550,OPEL Corsa,OPEL Corsa C Phase 2 1.0 i 12V Twinport Easytonic 60 cv Caixa Automática,Essence
ma-163,OPEL,fa-583,Corsa,mo-771,C Phase 2 (09/2003 - 07/2006),09/2003,07/2006,16403,OPEL Corsa,OPEL Corsa C Phase 2 Van 1.3 CDTI 16V Easytronic 70 cv Caixa Automática,Diesel
ma-163,OPEL,fa-583,Corsa,mo-771,C Phase 2 (09/2003 - 07/2006),09/2003,07/2006,21808,OPEL Corsa,OPEL Corsa C Phase 2 Van 1.0 i 12V Twinport 60 cv,Essence
ma-163,OPEL,fa-583,Corsa,mo-771,C Phase 2 (09/2003 - 07/2006),09/2003,07/2006,6552,OPEL Corsa,OPEL Corsa C Phase 2 Van 1.7 CDTI 16V 100 cv,Diesel
ma-163,OPEL,fa-583,Corsa,mo-771,C Phase 2 (09/2003 - 07/2006),09/2003,07/2006,6551,OPEL Corsa,OPEL Corsa C Phase 2 1.4 i 16V Twinport Easytronic 90 cv Caixa Automática,Essence
