brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,10183,PEUGEOT 307,PEUGEOT 307 1.4 i Affaire 75cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,16848,PEUGEOT 307,PEUGEOT 307 2.0 i 16V 141cv Transmisión automática,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,16847,PEUGEOT 307,PEUGEOT 307 2.0 i 16V 138cv Transmisión automática,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,6980,PEUGEOT 307,PEUGEOT 307 2.0 i 16V 141cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,6979,PEUGEOT 307,PEUGEOT 307 2.0 i 16V 138cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,6977,PEUGEOT 307,PEUGEOT 307 1.4 HDi Affaire 70cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,16843,PEUGEOT 307,PEUGEOT 307 1.4 i 90cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,16844,PEUGEOT 307,PEUGEOT 307 1.6 HDi 110cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,10185,PEUGEOT 307,PEUGEOT 307 2.0 HDi Affaire 90cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,10184,PEUGEOT 307,PEUGEOT 307 1.4 i 75cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,44695,PEUGEOT 307,PEUGEOT 307 1.6 HDi FAP 16V 110 cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,16846,PEUGEOT 307,PEUGEOT 307 2.0 HDi 90cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,6978,PEUGEOT 307,PEUGEOT 307 1.6 i 110cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,16845,PEUGEOT 307,PEUGEOT 307 1.6 i 110cv Transmisión automática,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,16842,PEUGEOT 307,PEUGEOT 307 1.4 HDi 70cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,10186,PEUGEOT 307,PEUGEOT 307 2.0 HDi 107cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,10187,PEUGEOT 307,PEUGEOT 307 2.0 HDi 136cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-133, (03/2001 - 06/2005),03/2001,06/2005,22097,PEUGEOT 307,PEUGEOT 307 1.6 HDi 16V 90cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,10193,PEUGEOT 307,PEUGEOT 307 SW SW 1.6 HDi Familiar 110cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,22098,PEUGEOT 307,PEUGEOT 307 SW SW 1.6 i 16V Familiar 110cv Transmisión automática,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,10195,PEUGEOT 307,PEUGEOT 307 SW SW 2.0 i 16V Familiar 138cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,16858,PEUGEOT 307,PEUGEOT 307 SW SW 2.0 i 16V Familiar 141cv Transmisión automática,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,6983,PEUGEOT 307,PEUGEOT 307 SW SW 2.0 HDi Familiar 136cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,10196,PEUGEOT 307,PEUGEOT 307 SW SW 2.0 i 16V Familiar 141cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,32082,PEUGEOT 307,PEUGEOT 307 SW 1.6 HDi 16V FAP110 cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,16857,PEUGEOT 307,PEUGEOT 307 SW SW 2.0 i 16V Familiar 138cv Transmisión automática,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,44699,PEUGEOT 307,PEUGEOT 307 SW 1.6 HDi 16V 90 cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,6982,PEUGEOT 307,PEUGEOT 307 SW SW 1.6 i 16V Familiar 110cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,10194,PEUGEOT 307,PEUGEOT 307 SW 2.0 HDi 8V FAP 107 cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-136,SW (03/2002 - 06/2005),03/2002,06/2005,16856,PEUGEOT 307,PEUGEOT 307 SW SW 2.0 HDi Familiar 90cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,10202,PEUGEOT 307,PEUGEOT 307 Restyling 1.6 i 16V 110cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,44693,PEUGEOT 307,PEUGEOT 307 Restyling 1.6 HDi 16V 110 cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,22099,PEUGEOT 307,PEUGEOT 307 Restyling 2.0 HDi 136cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,37264,PEUGEOT 307,PEUGEOT 307 Restyling BioFlex 1.6 i 16V 110 cv,Flex Fuel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,10204,PEUGEOT 307,PEUGEOT 307 Restyling 2.0 i 16V 177cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,44690,PEUGEOT 307,PEUGEOT 307 Restyling 1.6 HDi FAP 16V 110 cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,10201,PEUGEOT 307,PEUGEOT 307 Restyling 1.6 HDi 90cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,6988,PEUGEOT 307,PEUGEOT 307 Restyling 2.0 i 16V 141cv Transmisión automática,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,6985,PEUGEOT 307,PEUGEOT 307 Restyling 1.4 i 16V 90cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,6987,PEUGEOT 307,PEUGEOT 307 Restyling 2.0 HDi 90cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,44694,PEUGEOT 307,PEUGEOT 307 Restyling 1.6 HDi FAP 16V 110 cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,44692,PEUGEOT 307,PEUGEOT 307 Restyling 1.4 i 16V 90 cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,16861,PEUGEOT 307,PEUGEOT 307 Restyling 2.0 i 16V 141cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,16859,PEUGEOT 307,PEUGEOT 307 Restyling 1.4 i 16V Affaire 90cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,10200,PEUGEOT 307,PEUGEOT 307 Restyling 1.6 HDi Affaire 90cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,44691,PEUGEOT 307,PEUGEOT 307 Restyling 1.6 HDi 16V 90 cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,16860,PEUGEOT 307,PEUGEOT 307 Restyling 1.6 HDi Affaire 110cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,22100,PEUGEOT 307,PEUGEOT 307 Restyling 2.0 HDi 136cv Transmisión automática,Diesel
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,10203,PEUGEOT 307,PEUGEOT 307 Restyling 1.6 i 16V 110cv Transmisión automática,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-139,Restyling (06/2005 - 12/2009),06/2005,12/2009,6986,PEUGEOT 307,PEUGEOT 307 Restyling 1.6 HDi 110cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-140,SW Restyling (06/2005 - 12/2009),06/2005,12/2009,44698,PEUGEOT 307,PEUGEOT 307 SW Restyling 1.6 HDi FAP 16V 110 cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-140,SW Restyling (06/2005 - 12/2009),06/2005,12/2009,6991,PEUGEOT 307,PEUGEOT 307 SW Restyling SW 1.6 HDi Familiar 90cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-140,SW Restyling (06/2005 - 12/2009),06/2005,12/2009,6992,PEUGEOT 307,PEUGEOT 307 SW Restyling SW 2.0 HDi Familiar 136cv Transmisión automática,Diesel
ma-168,PEUGEOT,fa-612,307,mo-140,SW Restyling (06/2005 - 12/2009),06/2005,12/2009,22107,PEUGEOT 307,PEUGEOT 307 SW Restyling SW 2.0 HDi Familiar 90cv,Diesel
ma-168,PEUGEOT,fa-612,307,mo-140,SW Restyling (06/2005 - 12/2009),06/2005,12/2009,6993,PEUGEOT 307,PEUGEOT 307 SW Restyling SW 2.0 i 16V Familiar 141cv Transmisión automática,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-140,SW Restyling (06/2005 - 12/2009),06/2005,12/2009,10208,PEUGEOT 307,PEUGEOT 307 SW Restyling SW 1.6 i 16V Familiar 110cv Transmisión automática,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-140,SW Restyling (06/2005 - 12/2009),06/2005,12/2009,16866,PEUGEOT 307,PEUGEOT 307 SW Restyling SW 1.6 i 16V Familiar 110cv,Gasolina
ma-168,PEUGEOT,fa-612,307,mo-140,SW Restyling (06/2005 - 12/2009),06/2005,12/2009,28447,PEUGEOT 307,PEUGEOT 307 SW Restyling BioFlex 1.6 i 112 cv,Flex Fuel
ma-168,PEUGEOT,fa-612,307,mo-140,SW Restyling (06/2005 - 12/2009),06/2005,12/2009,22106,PEUGEOT 307,PEUGEOT 307 SW Restyling SW 1.6 HDi Familiar 110cv,Diesel
