"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","32087","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 1.6 HDi 8V FAP Blue Lion 92 cv","Diesel"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","31265","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 1.6 HDi 16V FAP 110 cv","Diesel"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","31270","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 2.0 HDi 16V FAP 136 cv Boîte auto","Diesel"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","32094","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 1.6 THP 16V 150 cv","Essence"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","31266","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 1.6 VTi 16V 120 cv","Essence"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","31267","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 1.6 HDi 16V 90 cv","Diesel"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","31529","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 2.0 HDi 16V FAP 140 cv","Diesel"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","64175","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 1.6 HDi 16V FAP Blue Lion BVM6 110 cv","Diesel"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","34064","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 2.0 HDi 16V FAP 150 cv","Diesel"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","32089","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 1.6 HDi 8V FAP Blue Lion BMP6 112 cv","Diesel"
"ma-168","PEUGEOT","fa-1830","308","mo-3501","(T7) 5 Portes (09/2007 - 06/2013)","09/2007","06/2013","32092","PEUGEOT 308","PEUGEOT 308 (T7) 5 Portes 1.6 THP 16V 156 cv Boîte auto","Essence"
