brandId,brandName,familyId,familyName,modelId,modelName,manufacturedFrom,manufacturedTo,typeId,typeName,typeFullName,energy
ma-292,PIAGGIO,fa-1835,Porter,mo-3510,Puertasr II (06/1998 - 12/2009),06/1998,12/2009,28424,PIAGGIO Porter,PIAGGIO Porter Puertasr II 1.4 D Pickup 38 cv,Diesel
ma-292,PIAGGIO,fa-1835,Porter,mo-3510,Puertasr II (06/1998 - 12/2009),06/1998,12/2009,28423,PIAGGIO Porter,PIAGGIO Porter Puertasr II 1.4 D Furgón/Van corto capota rigida 38 cv,Diesel
ma-292,PIAGGIO,fa-1835,Porter,mo-3510,Puertasr II (06/1998 - 12/2009),06/1998,12/2009,28422,PIAGGIO Porter,PIAGGIO Porter Puertasr II 1.3 i Furgón/Van corto capota rigida 65 cv,Gasolina
ma-292,PIAGGIO,fa-1835,Porter,mo-3510,Puertasr II (06/1998 - 12/2009),06/1998,12/2009,68736,PIAGGIO Porter,PIAGGIO Porter Puertasr II 1.3 i 16V Pickup 65 cv,Gasolina
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,68743,PIAGGIO Porter,PIAGGIO Porter Puertasr III 1.3 i 16V Pickup 83 cv,Gasolina
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,68737,PIAGGIO Porter,PIAGGIO Porter Puertasr III 1.3 i 16V chasis cabina benne 83 cv,Gasolina
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,41738,PIAGGIO Porter,PIAGGIO Porter Puertasr III D120 1.2 D Pickup 65 cv,Diesel
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,68744,PIAGGIO Porter,PIAGGIO Porter Puertasr III Multitech 1.3 i 16V GPL Pickup Maxxi 69 cv,GPL
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,68739,PIAGGIO Porter,PIAGGIO Porter Puertasr III 1.3 i 16V GNV chasis cabina benne 73 cv,GPL
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,41743,PIAGGIO Porter,PIAGGIO Porter Puertasr III Multitech 1.3 i GPL Furgón/Van corto capota rigida 69 cv,GPL
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,41742,PIAGGIO Porter,PIAGGIO Porter Puertasr III Multitech 1.3 i GNV Pickup Maxxi 62 cv,GPL
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,68748,PIAGGIO Porter,PIAGGIO Porter Puertasr III 1.3 i 16V GPL chasis cabina benne 83 cv,GPL
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,41740,PIAGGIO Porter,PIAGGIO Porter Puertasr III Multitech 1.3 i Furgón/Van corto capota rigida 71 cv,Gasolina
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,68740,PIAGGIO Porter,PIAGGIO Porter Puertasr III 1.3 i 16V GNV Pickup 73 cv,GPL
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,41733,PIAGGIO Porter,PIAGGIO Porter Puertasr III 1.3 i GPL Furgón/Van corto capota rigida 63 cv,GPL
ma-292,PIAGGIO,fa-1835,Porter,mo-5661,Puertasr III (06/2009 - 04/2021),06/2009,04/2021,41737,PIAGGIO Porter,PIAGGIO Porter Puertasr III D120 1.2 D Furgón/Van corto capota rigida 65 cv,Diesel
