"brandId","brandName","familyId","familyName","modelId","modelName","manufacturedFrom","manufacturedTo","typeId","typeName","typeFullName","energy"
"ma-268","PONTIAC","fa-1838","Trans sport","mo-3514"," (06/1989 - 12/2005)","06/1989","12/2005","27359","PONTIAC Trans sport","PONTIAC Trans sport 3.8 172 cv","Gasolina"
"ma-268","PONTIAC","fa-1838","Trans sport","mo-3514"," (06/1989 - 12/2005)","06/1989","12/2005","27265","PONTIAC Trans sport","PONTIAC Trans sport 2.3 147 cv","Gasolina"
"ma-268","PONTIAC","fa-1838","Trans sport","mo-3514"," (06/1989 - 12/2005)","06/1989","12/2005","27109","PONTIAC Trans sport","PONTIAC Trans sport 3.8 152 cv","Gasolina"
"ma-268","PONTIAC","fa-1838","Trans sport","mo-3514"," (06/1989 - 12/2005)","06/1989","12/2005","27403","PONTIAC Trans sport","PONTIAC Trans sport 3.1 122 cv","Gasolina"
"ma-268","PONTIAC","fa-1838","Trans sport","mo-3514"," (06/1989 - 12/2005)","06/1989","12/2005","27326","PONTIAC Trans sport","PONTIAC Trans sport 3.8 167 cv","Gasolina"
"ma-268","PONTIAC","fa-1838","Trans sport","mo-3514"," (06/1989 - 12/2005)","06/1989","12/2005","29164","PONTIAC Trans sport","PONTIAC Trans sport Trans Sport 3.4 V6 Monospace 186 cv Transmisión automática","Gasolina"
"ma-268","PONTIAC","fa-1838","Trans sport","mo-3514"," (06/1989 - 12/2005)","06/1989","12/2005","27285","PONTIAC Trans sport","PONTIAC Trans sport 3.1 141 cv","Gasolina"
"ma-268","PONTIAC","fa-1838","Trans sport","mo-3514"," (06/1989 - 12/2005)","06/1989","12/2005","32026","PONTIAC Trans sport","PONTIAC Trans sport Sport 3.2 V6 122 cv Transmisión automática","Gasolina"
"ma-268","PONTIAC","fa-1838","Trans sport","mo-3514"," (06/1989 - 12/2005)","06/1989","12/2005","27486","PONTIAC Trans sport","PONTIAC Trans sport 2.3 137 cv","Gasolina"
"ma-268","PONTIAC","fa-1838","Trans sport","mo-3173","'97 (03/1997 - Hoy)","03/1997","","27248","PONTIAC Trans sport","PONTIAC Trans sport '97 3.4 182 cv","Gasolina"
"ma-268","PONTIAC","fa-1334","FIREBIRD","mo-3083","Descapotable (01/1993 - Hoy)","01/1993","","27449","PONTIAC FIREBIRD","PONTIAC FIREBIRD Descapotable 3.4 162 cv","Gasolina"
"ma-268","PONTIAC","fa-1334","FIREBIRD","mo-3081","'89 (10/1989 - Hoy)","10/1989","","27578","PONTIAC FIREBIRD","PONTIAC FIREBIRD '89 Trans Am 3.2 141 cv","Gasolina"
"ma-268","PONTIAC","fa-1334","FIREBIRD","mo-3082","'81 (12/1981 - 09/1989)","12/1981","09/1989","27573","PONTIAC FIREBIRD","PONTIAC FIREBIRD '81 TransAm 5.0 173 cv","Gasolina"
"ma-268","PONTIAC","fa-1334","FIREBIRD","mo-3082","'81 (12/1981 - 09/1989)","12/1981","09/1989","27428","PONTIAC FIREBIRD","PONTIAC FIREBIRD '81 Formula 5.0 152 cv","Gasolina"
"ma-268","PONTIAC","fa-1368","PHOENIX","mo-3137","Coupe (04/1979 - 12/1981)","04/1979","12/1981","27444","PONTIAC PHOENIX","PONTIAC PHOENIX Coupe 2.8 117 cv","Gasolina"
"ma-268","PONTIAC","fa-1368","PHOENIX","mo-3138"," (04/1979 - 12/1981)","04/1979","12/1981","27370","PONTIAC PHOENIX","PONTIAC PHOENIX 2.8 116 cv","Gasolina"
"ma-268","PONTIAC","fa-1379","SUNBIRD","mo-3156"," (10/1975 - 12/1981)","10/1975","12/1981","27217","PONTIAC SUNBIRD","PONTIAC SUNBIRD 3.8 113 cv","Gasolina"
"ma-268","PONTIAC","fa-1301","BONNEVILLE","mo-3032"," (09/1986 - Hoy)","09/1986","","27145","PONTIAC BONNEVILLE","PONTIAC BONNEVILLE 3.8 V6 203 cv","Gasolina"
"ma-268","PONTIAC","fa-1301","BONNEVILLE","mo-3032"," (09/1986 - Hoy)","09/1986","","27630","PONTIAC BONNEVILLE","PONTIAC BONNEVILLE 3.8 V6 166 cv","Gasolina"
